word analysis, grammar gutenberg, text mining, word frequency, trends english, grammar books, keyword analysis, mining word, english words, mining english
content analyzed, topic modeling, textual data, offline textual, trend ghanaian, ghanaian politics, trends african, text mining, textual, trends ghana
banking features, topic modelling, digital banking, mining digital, text mining, banking application, banking industry, digital banks, banking reviews, application reviews
mining research, using hathitrust, text analysis, mining hathitrust, hathitrust research, text mining, hathitrust digital, attendees hathitrust, hathitrust data, hathitrust tutorial
computational linguistics, information text, text document, extraction information, python, text mining, linguistics python, information retrieval, document text, information extraction
textual database, data mining, knowledge discovery, discovery textual, text mining, documents classification, unstructured text, mining techniques, information extraction, mining knowledge
deep semantic, mining rnn, xlnet bilstm, softmax function, finally softmax, emotion classification, softmax, prediction text, rnn emotion, deep semantics
text contain, occurrence typos, typos text, contain typos, mining typos, ways typos, interact text, typos exploited, typos algorithms, document classification
analyze tweet, classifier, tweet data, derived tweets, tweets process, text mining, person tweet, words twitter, mining naive, indonesian swear
mining classification, text clustering, classification, text mining, svm algorithm, classify complaints, classification community, classifying documents, svm, mining classify
information classification, content classified, text classification, mining geo, text mining, best classification, stop word, infrastructures text, word selection, text content
mining analysis, environmental report, corporate behavior, report corporate, text mining, corporate management, analyzing text, analysis environmental, companies analyze, environmental costs
review scientific, text mining, extracting abbreviations, abbreviations extracted, sciencedirect abbreviations, extract abbreviations, abbreviations texts, knowledge abbreviation, texts predictive, texts scientific
grammar text, formal grammar, text mining, creating ontology, construction ontology, making parse, grammar application, parse tree, translation ontology, ontology network
sales, sales forecasting, online sales, sales products, fast sales, sales based, sales using, text mining, product sales, sales data
content mining, web content, algorithm application, structure mining, mining basic, extract web, realization web, web structure, mining web, web mining
software text, mining paper, word stat, text mining, stat knowledge, analyst word, knowledge discover, cases text, text analyst, mining software
summarization content, summarization paper, extractive text, text mining, summarization based, summarization using, multidimensional knowledge, text summarization, dimensional text, summarization
discourse structure, discourse, structure conversation, discourse analysis, mining discourse, discourse processing, conversation structure, nlp tasks, discourse taken, conversational discourse
peer recommendation, people forums, recommender, mining algorithm, forums recommender, text mining, peer, recommender recommends, recommends people, recommendation based
tzu analyzed, source python, visualization technology, mining text, text mining, python, sun tzu, war sun, art war, tzu text
mines mining, mining industry, text mining, mining accidents, indian mining, analyzing mining, coal mining, mining natural, mining activities, coal mines
text classification, classification unsupervised, text data, component analysis, text mining, learning classification, unstructured data, knowledge text, texts produced, extracting useful
social media, application healthmine, twitter medhelp, healthmine tool, tweets, health social, text mining, healthmine, twitter, content social
data mining, sentiment analysis, scientific articles, analyze text, language texts, semantic analysis, unstructured text, entity recognition, google scholar, taxonomy text
comments undergraduate, student sentiment, text mining, student surveys, evaluation comments, comments extract, sentiment views, student comments, terms comments, comments student
consumer, consumer financing, consumer satisfaction, loyalty customer, loyalty consumer, consumer loyalty, loyalty automotive, consumer perceived, structural equation, customer loyalty
mining classification, discovered relevance, terms categories, features terms, text mining, features text, feature discovery, discovery text, relevance feature, relevance features
evaluation universities, characteristics universities, university evaluation, text mining, integrated reports, japanese universities, reports using, universities integrated, integrated report, characteristics university
crafts comprehensively, crafts users, sentiment analysis, traditional crafts, text mining, mining traditional, crafts sentiment, visualization traditional, visualize traditional, mining sentiment
text clustering, features textual, itemset mining, frequent itemsets, categorization text, text mining, text categorization, categorization extracted, gram termsets, frequent itemset
specifically textrank, using textrank, summarizing articles, summarization research, text mining, abbreviation extraction, textrank owing, textrank algorithm, textrank, automatic summarization
text clustering, research fuzzy, fuzzy logic, mining text, text mining, fuzzy approach, clustering text, based fuzzy, text analysis, mining sentiment
nlp processing, ai text, nlp healthcare, nlp based, nlp algorithms, processing nlp, mining text, language nlp, text mining, study nlp
mining method, computational linguistics, scoring using, automated essay, essay scoring, processing text, text mining, keywords automated, natural language, language processing
text clustering, classification text, categorise cluster, cluster documents, cluster classify, clustering categorisation, documents extraction, documents classification, clustering text, clustering
data mining, mining rules, mining paper, chinese medicine, hypertension text, text mining, hypertension proposed, medical data, useful mining, treating hypertension
mining method, education qualitative, analyze students, mining methodology, qualitative research, text data, text mining, research methodology, analyze text, mining qualitative
online reviews, mining online, sentiment strength, text mining, calculate sentiment, sentiment, volume sentiment, reviews commerce, sentiment values, corresponding sentiment
patterns, pattern discovery, patterns form, visualization method, text mining, data pattern, discover patterns, discovery text, tf idf, visualized pattern
analysis textual, content mining, textual information, unstructured textual, unstructured information, predictive analytics, text mining, textual content, processing sentiment, mining information
introduction data, business analytics, analytics, analytics minitrack, business, minitrack na, minitrack, mining business, web mining, mining
neural networks, performance rnn, lstm based, word embeddings, deep neural, deep learning, text mining, named sentiment5k, using deep, rnn lstm
text information, convolutional neural, text data, deep learning, networks deep, learning text, text, review text, text analysis, text learning
information text, text process, mining finding, text messages, text mining, unstructured text, text, information extraction, natural language, extraction text
genomics, extract genes, text mining, pubmed semantic, documents extraction, extract literature, identifying genes, genomics text, scholar semantic, semantic scholar
threat criminal, criminal behavior, text mining, criminal activities, threat cybercrime, threats using, location criminal, computer crime, crime activity, detect criminal
summarization considered, summarization according, summarization systems, mining text, text mining, summarization approaches, text summarization, summarization essential, summarization process, summarization
organizing word, incidents incidents, text data, text mining, incident reports, collected text, related incidents, incidents categorized, incidents related, data incident
social media, systems decision, mining managerial, text web, mining papers, data text, decision support, web, web mining, support systems
biographical database, text retrieval, biographies, biographies specifically, taiwan biographical, biographical, taiwanese historical, personage biographies, biographies beneficial, people taiwan
categorizing, categorization, categorization report, categorizing data, information categorization, text mining, text search, semantic analysis, search keywords, problem categorizing
transformer, transformer failures, substation transformer, text mining, mining transformer, power transformer, transformer failure, substation, text analysis, causes transformer
chinese herbal, chinese medicine, software cytoscape, chinese biomedical, mining results, text mining, cytoscape text, medicine tcm, herbal medicine, herbal
diabetic disease, patterns diabetic, gaining informative, diabetes, text mining, medical literatures, diabetic diseases, facts diabetes, mining web, diabetic patients
railroad traffic, narrative crash, railroad agencies, text mining, crashes train, train struck, highway rail, vehicle crashes, crashes highway, mining narrative
mining method, project management, projects, research projects, research development, classify text, text mining, topic research, projects important, project selection
data software, data mining, clustering classification, mining clustering, software engineering, text mining, software development, data analytics, mining techniques, software industry
svm, biomedical documents, biomedical text, extraction svm, extraction biomedical, text mining, text extraction, machine svm, svm information, information extraction
investor sentiment, sentiment index, sentiment analysis, stock review, forecast stock, stock reviews, sentiment stock, stock prices, text mining, stock forum
amazon reviews, product reviews, text mining, review summarizer, fake reviews, fraudulent reviews, reviews filtering, detection summarization, reviews based, amazon review
monitoring application, application based, road conditions, application monitoring, java needed, monitoring road, java highway, text mining, mining information, road condition
mining clinical, training corpus, text clinical, informatics text, text mining, lexicon simclins, corpus, corpus use, informatics clinical, health informatics
ship collision, maritime accident, risk maritime, mining corpus, river collision, text mining, collision inland, factors corpus, accident inland, ship factors
market prediction, improve prediction, based news, currency market, news particular, prediction currency, text mining, news headlines, prediction news, headlines evaluation
summarization sum, text mining, summarization critical, summarization technique, summarize textual, text summarization, summarization process, summarization produce, document summaries, summarization
data mining, classification critical, random forest, text mining, forest text, indicators classification, classifiers, classification related, outperform classifiers, forest algorithm
automatic credibility, tweets annotated, credibility events, credibility twitter, twitter events, event credibility, credibility assessment, text mining, corpus tweets, assessing credibility
engineering, systems engineering, individual engineers, performance systems, engineers, engineering skill, engineers integration, systems engineer, engineers manage, systems engineers
classifier, information crime, crime algorithm, text mining, detection crime, classifier logistic, number crime, crime rate, mining social, classification tweet
mining analysis, knowledge emergence, data mining, text data, text mining, emergence using, mining systems, knowledge creation, output knowledge, mining techniques
value evaluation, quality perceived, buy satisfactory, evaluation product, mining fuzzy, evaluation method, satisfactory product, purchase satisfactory, product quality, perceived value
analyze subjective, graph visualize, graph concepts, visualize relationships, text mining, visualization, keyword graph, texts data, words hierarchical, visualization method
meteorological services, meteorological yearbook, korea meteorological, news weather, text mining, weather status, weather related, meteorological administration, trends meteorological, meteorological
mining analysis, data mining, text data, identification text, investigation text, grid safety, text mining, danger text, danger texts, power grid
classification english, support vector, vector machine, text information, text classification, text unstructured, text mining, pattern classification, classification method, patterns text
proactive personality, text classification, based weibo, personality algorithms, personality weibo, predicting proactive, classification proactive, personality evaluated, personality text, text weibo
time series, texts using, correlations rhythmicities, texts, rhythmicities terms, observed texts, text mining, text analysis, natural language, language processing
data mining, dialogue pilots, text data, cockpit voice, recitation dialogue, mining dialogue, text processing, based text, recorded cockpit, dialogue pilot
genes desulfovibrio, srb genes, desulfovibrio alaskensis, bacteria srb, genes biocorrosion, srb ecological, bacteria, genes annotated, mining biological, genes srb
classification text, text classification, concluded svm, indonesia covid, text mining, tweets indonesia, recall svm, svm method, opinion classes, naive bayes
text clustering, power customers, power customer, prediction method, demand risk, text mining, risk prediction, decision tree, clustering, clustering analysis
literature mining, mining gene, biomedical text, itemset mining, mining biomedical, frequent itemsets, text mining, disease association, association extraction, frequent itemset
social networks, recommendation users, filtered data, filtering location, social recommendation, information filtering, text mining, location based, social network, filtering
data mining, text classification, optimization independent, particle swarm, component analysis, text mining, ica algorithm, components independent, independent component, classification compared
customer claims, automating customer, claim registration, mining machine, customer claim, improving customer, text mining, registration text, registering customer, machine learning
approaches identify, opioid use, opioid, incidence opioid, text mining, term opioid, using text, mining approach, opioid therapy, identify opioid
disaster, gis analysis, quickly disasters, text mining, mining gis, vulnerable disaster, disaster type, disaster prevention, heat index, disasters
transformer, text classification, transformer dictionary, classifying transformer, main transformer, training cnn, cnn rcnn, transformer defects, rcnn networks, transformer based
requirement validation, requirement engineering, validating requirement, requirement specification, validate requirement, software requirements, software requirement, requirement elicitation, automating requirement, requirement specifications
classification text, classifying texts, text classification, arabic texts, ontology arabic, classifying articles, text mining, algorithm arabic, automatically classifying, arabic words
dirichlet allocation, policy texts, topics policy, policy text, text mining, care policy, chinese policy, policy industry, mining texts, latent dirichlet
corpus based, extracted corpus, corpus extraction, text mining, principle corpus, corpus, chinese english, comparable corpus, machine translation, english comparable
ideas text, summarization paper, summaries text, graphs texts, text mining, write summaries, writing summaries, summarization method, text summarization, summarization
software, developing software, specification srs, software requirements, software study, text mining, document consistency, software development, srs document, development srs
pattern discovery, data mining, patterns frequent, pattern mining, discovering patterns, mining text, text mining, patterns finding, patterns document, text patterns
educational text, teaching text, modeling sentiment, sentiment analysis, educational texts, text mining, text sentiment, learning emotions, bert fasttext, sentiment
qi deficiency, genes qi, syndromes biological, chinese medicine, related genes, deficiency pattern, disease search, deficiency qi, genes related, pattern genes
analyzing texts, textual data, term text, knowledge discovery, tokenization stemming, text mining, mining term, mining techniques, mining package, texts comparisons
keywords fhar, relation keywords, mining text, text mining, hash table, association rule, fhar algorithm, apriori algorithm, apriori, text association
medicine texts, written covid, topic modeling, texts written, writings health, writings patients, narrative medicine, characterize narrative, disease narrative, mining narrative
policy evaluation, policy texts, policies implementation, government policies, policies, policy, text mining, evaluation policy, policy modeling, modular policy
adopts hadoop, data hadoop, big data, mining educational, hadoop, text mining, hadoop development, hadoop platform, literature big, educational big
similarities assignments, similarities students, assignments prepared, text analyses, text mining, students assignments, grades text, assignments assignments, assignments students, mining students
text clustering, information clustering, clustering data, useful clustering, mining text, text mining, clustering text, clustering purposes, clustering information, clustering
using sentiment, sentiment analysis, text classification, hotel reviews, text mining, hotel tourist, sentiment information, hotel industry, mining sentiment, hotel aspects
semantically enriched, metabolomics, text mining, ontologies scientific, qspr ontologies, molecules text, metabolomics data, business intelligence, include metabolomics, literature search
ehr functionality, ehrs youtube, data usability, information ehr, ehr tutorials, text mining, informatics ehr, usability text, usability information, health informatics
identify business, mining methodology, exploring text, business marketing, text mining, business, business environment, impact business, business intelligence, mining techniques
relations network, globalization use, text mining, complex international, international relations, globalization, national relations, information technology, international trends, relations countries
similarity student, discussion research, similarities lecturers, study similarity, lecture notes, discussion forums, text mining, students discussion, discussion lecturers, similarity discussion
sorting text, text classification, deep learning, better classification, text mining, classification international, text grouping, international relations, text sorting, topic recognition
predicting stock, sentiment analysis, automatic prediction, prediction stock, predict financial, text mining, stock market, review predicting, sentiment, mining sentiment
decision diagnosing, help dog, behavior pet, text mining, diseases dogs, diagnosing diseases, disease behavior, dog measure, dogs behavior, dogs behaviors
case descriptions, description based, activity diagram, text analysis, description using, text mining, similarity activity, activity diagrams, analyze text, processed text
language processing, summarizations, summarization raised, summarization frequently, text mining, automated summarizations, story summarization, summarizations challenges, natural language, summarization stories
transparency accountability, public managers, spending tribunal, public spending, classify public, public administration, spending according, brazil public, accountability advertising, public
speeches using, text data, speeches analyzed, text mining, patterns president, usa presidents, presidents, usa speeches, speeches, presidents text
accident reports, analysis accident, accidents project, analysing accident, text mining, safety accidents, accident causes, accident analysis, accident narratives, accident investigation
architecture descriptions, architecture categories, building nature, building design, text mining, architectural design, descriptions architecture, architecture, architectural, architecture projects
citation network, google scholar, publications complex, citation publication, text mining, networks publication, publications data, mining social, mining networks, social network
parametric naïve, text classification, learning algorithms, algorithm nonparametric, classification, mail classification, text data, text mining, classification algorithms, parametric text
biomedical knowledge, biomedical text, mining phenotyping, definitions literature, patterns phenotyping, text mining, phenotyping definitions, analyzing phenotyping, document frequency, phenotype definition
text classification, ml classifiers, classification, automatically classify, classify documents, text mining, classification algorithms, classifiers, svm, classifiers svm
activity reports, data collected, mining activity, mining data, text mining, collected software, training programs, text analysis, use software, training data
social media, associated spam, text mining, facebook twitter, trends social, spam data, twitter, trends text, twitter bloggers, mining methods
attention investors, investors, japanese stock, industry momentum, investor attention, stock market, investors perform, market industry, investors industry, industry classification
abbreviations matching, abbreviation gene, scientific abbreviations, biomedical text, published abbreviations, abbreviations commonly, extract abbreviations, associated abbreviations, gene dictionary, abbreviations genes
knowledge technique, lexical phrase, phrase text, preposition phrase, ambiguous preposition, text mining, context knowledge, unstructured text, ambiguity problem, natural language
assessment proposed, project evaluation, text mining, project assessment, project text, assessment experts, make assessment, online assessment, assessment overcome, assessment network
results nlp, nlp healthcare, healthcare workflows, analysis nlp, processing nlp, nlp clinical, text mining, clinical text, healthcare ai, nlp rapidly
twitter social, social media, twitter fast, consumers social, mining text, text mining, facebook twitter, restaurants text, mining content, twitter
text clustering, clustering nouns, clusters fuzzy, clustering using, applied clustering, clustering algorithms, different clustering, text mining, clustering evaluating, clustering
mining network, documents contain, legal documents, based documents, documents related, document relationship, text mining, legal systems, document retrieval, documents using
search web, discover information, web search, mining lexical, text mining, mining using, searches information, mining web, mining techniques, mining discover
visualization hadoop, hadoop environment, text data, text mining, unstructured blog, heta hadoop, text processing, massive text, text analysis, hadoop based
patterns occurrence, patterns extracted, using patterns, pattern mining, extracted patterns, text mining, patterns using, text discovery, patterns text, pattern occurrence
mining method, otc drug, knowledge drug, ingredients analyzed, ingredient otc, text mining, drug ingredient, efficacy otc, effectiveness drugs, drug ingredients
faults board, train information, onboard fault, text mining, fault text, railway onboard, fault recording, fault analysis, fault information, fault diagnosis
social networks, data social, implemented big, big data, tracking big, application big, analysis large, large network, text mining, data traffic
data structured, data designed, data semiconductor, metrology data, semiconductor manufacturing, text mining, data data, unstructured data, wat data, data judge
pure patterns, patterns given, pattern means, define pattern, strings pattern, pattern probability, patterns, pattern expressed, pattern frequency, patterns texts
chinese medicine, therapy hypertension, chinese herb, treatment hypertension, therapy food, used hypertension, herb medicine, food therapy, hypertension treatment, hypertension
ai social, viral internet, social media, ai topic, text sources, studies generative, discussions generative, text mining, ai internet, generative ai
harmful tweets, detecting racist, random forest, text mining, words algorithm, offensive harmful, classifiers, mining social, profanity, profanity detection
ontology biomedical, ontology semantic, biomedical text, text mining, concepts extraction, unstructured text, information retrieval, linguistic ontology, semantic text, information extraction
environmental research, utilizes environmental, environmental, text mining, research using, information environmental, environmental spatial, mining techniques, trends environmental, spatial information
career adaptability, text classification, assessment career, individual career, career counseling, careers subjective, studying careers, text categorization, measures career, career development
utilize tourists, tourists, potential tourists, comments tourist, tourists perceptual, tourists comments, footprints tourists, analysis tourist, tourist perception, tourist destinations
clustering approaches, mining pattern, pattern clustering, extraction discovery, text mining, clustering relation, clustering task, relation extraction, simple clustering, clustering
arabic sentiment, arabic datasets, sentiment dataset, amcd arabic, text mining, arabic dataset, adhtd arabic, datasets arabic, arabic language, arabic
guidance using, student guidance, 2010 compendium, compendium aims, compendium difficult, compendium student, compendium, text mining, understanding compendium, students compendium
cancer text, drug dictionary, personalized drugs, cancer ovarian, mining medical, cancer indian, text mining, drugs ovarian, mining nlp, ovarian cancer
relationships visualization, visualization text, text analytics, visualization, visualization tool, visual text, text visualization, visualization mining, visualization papers, concepts visualization
hierarchical classification, classification text, sentiment analysis, classification, detecting subjective, text mining, classification algorithms, analysis sentiment, sentiment, mining sentiment
mining analysis, health information, text based, text mining, reply data, mail text, mails variation, mailing list, daily mails, based mailing
psychological portrait, constructing psychological, based recurrent, portrait person, text mining, portrait using, person speech, portrait considered, portrait, natural language
categorization reports, mining categorization, categorization radiology, text mining, turkish radiology, mining radiology, report mining, report text, radiology report, radiology reports
opinion mining, sentiment analysis, sentiment polarity, text classification, predict sentiments, calculates sentiment, classify texts, sentiment words, sentiment, mining sentiment
classifier, classification using, classify diseases, random forest, disease classification, text mining, text processing, classification naïve, classifying medical, classification algorithm
texts mining, concept clusters, text classification, text vectorization, concept mining, concept weighting, weighted concepts, clustering word, concepts clustering, document clustering
related text, sentiment analysis, mining clustering, clustering sentiment, literature review, albanian language, text mining, language study, sentiment, clustering
collections unstructured, automating, approach automating, systems engineering, requirements analysis, development artifacts, text mining, mining repositories, engineering artifacts, mining methods
crawler, crawler proposed, crawler internet, pages naive, text mining, crawler algorithm, focused crawler, topic crawler, naive bayes, bayes algorithm
mining pattern, semantic pattern, frequent semantic, patterns extracted, maximal pattern, pattern mining, mining text, text mining, semantic patterns, mining techniques
data mining, classification, learning applications, learning processing, text mining, learning techniques, learning concepts, machine learning, information extraction, learn text
identifying productivity, productivity growth, text mining, solve productivity, productivity, productivity issues, productivity challenges, understand productivity, low productivity, mining techniques
essay evaluation, automatic essay, assessment algorithm, composition training, text mining, language teaching, writing training, composition writing, english composition, automatic assessment
mining systematic, english text, analyzing arabic, analyze english, analysis arabic, mining papers, text mining, state arabic, arabic text, arabic
herbs lw, chinese medicine, ligusticum wallichii, chinese medicinal, text mining, formulae herbs, medicine ligusticum, combinational herbs, sinomed association, herbs respectively
awareness ecology, ecology hot, ecological situation, ecological, news articles, ecology ecology, ecology related, articles ecology, ecology question, ecology
building corpus, topic modeling, vietnamese topic, vietnamese text, text classification, topic model, vietnamese, models text, text topic, text generative
chinese herbal, acupoint prescription, study acupoint, prescription acupoint, chinese medicine, herbal medicines, acupoint danzhong, acupoints zusanli, acupoints study, acupoint application
automated texts, text classification, classification using, tfidf weighting, text mining, texts classification, weighting keywords, based fuzzy, automatic text, using fuzzy
tourist network, ecological civilization, network texts, analysis tourists, rural tourist, text mining, analyzed tourists, tourists ecological, analysis tourist, network communities
ontology swrl, extraction ontologies, ontologies texts, owl ontology, formalized knowledge, rules extraction, ontologies, semantic web, ontologies rules, automatic rules
taiwan science, topic scientific, exhibition taiwan, topic related, text mining, technology study, school scientific, mining technology, mining technique, mining
text clustering, clustering based, clustering using, text mining, clusters dendrogram, clustering reversals, hierarchical clustering, similarities dendrogram, similarity measure, clustering
itq text, islamic knowledge, text mining, quran itq, knowledge indonesian, unstructured text, information retrieval, indonesian text, knowledge unstructured, information extraction
text railway, railway field, equipment railway, texts railway, railway signal, fault text, model railway, railway, fault entities, entity recognition
