books named, Grammar Books, important materials, Gutenberg Project, Text Mining, English, English Grammar, unstructured data, Century English, Books
Idea mining, review, interesting field, research, text, information retrieval, field, idea, retrieval research, areas
factors threatening, Vulnerability, Text Mining, important factors, Intelligent Prediction, Prediction, information systems, Text, Severity Level, XGBboost Vulnerabilities
Deal, People, Text, Text Mining, Perception, Mining Method, Pandemic, Indonesian people, Mindset, Sentiment
Software requirement, SRS Penguin, score, Text Mining, Mining Approach, Diagrams Based, Cohen Kappa, Class, Class Diagrams, Penguin Software
patients' TCM, TCM syndrome, Text Mining, diabetes Traditional, Traditional Chinese, TCM Records, Chinese Medicine, TCM, Diabetes TCM, Records Based
large amounts, review, data generated, text data, high commercial, text mining, data, unstructured text, text, Internet
classifier, mining Text, probability, text mining, text documents, text, knowledge, Extracting knowledge, probabilistic classifier, large text
Efficient Analysis, Evaluation, Text Mining, Natural Language, Processing Model, data, Language Processing, Analysis, Text, Model Text
Keywords Generator, Generator, Bahasa, Text Mining, search engine, Paragraph Text, Text, related information, read related, Bahasa Indonesia
Management Problems, Text Mining, Solve, Problems, Mining Technology, text arrays, Solve Project, Text, paper analyzes, Project Management
discovering knowledge, fundamental preliminary, Log, preliminary element, Storing Seismic, Opinion Mining, seismic events, Event Characteristics, Mining Techniques, event log
Operational pattern, form, pattern, pattern revealing, text mining, technique, revealing technique, methods, digital form, results
Text, Text Mining, computing term, Machine Learning, Learning, Co-occurrence Based, Learning Algorithms, Based Term, text corpus, Term Association
Social Media, Complaints Clusterization, Water Company, Text Mining, Government Drinking, Drinking Water, Media, Social, Media Twitter, effective platforms
relevant, relevant document, pattern discovery, discovered patterns, based approaches, pattern, text mining, text, document, term based
interesting patterns, GPU accelerated, Chemical Text, GPU, data, Text mining, environment Chemical, Text, reveal interesting, accelerated Chemical
Automatic Selection, Selection, Text Mining, Topics based, Academic, Mining Approach, educational material, Specifications Topics, manual work, Topics
Role, information professionals, profession, Knowledge Management, knowledge, find, Text mining, Text, information, challenges Information
trip provided, Filling Text, trip documents, Line Trip, text mining, subjective factors, Mining Method, Distribution Line, handled manually, Trip Filling
Weight Information, Methods, Information Gain, Text Classification, Mining Processes, Classification Methods, Text Mining, Rapid Miner, Text, Nave Bayes
Algorithm Optimising, Studies, process, detection process, Text Mining, literature studies, Mining Algorithm, Determination, relevant literature, Text
day life, day, large collection, forms, data, unstructured, Text mining, Text, Finding, documents
GRB text, Contextual Text, Taiwan, promote sustainable, Text Mining, Sustainable Development, energy technology, Nations proposed, Development Goals, United Nations
Knowledge-based Production, Mining Architecture, core resource, Text Mining, high technology, technology companies, Analysis, Production Documentation, vital core, Documentation Analysis
Big Data, social media, media, Text Mining, Data Tools, Gigantic amount, Turkish, Text, Tools Gigantic, Turkish Language
world developing, stock, developed countries, text mining, stock market, major components, text, market, natural language, language processing
machine translation, report, Text, statistical machine, Text mining, gained increasing, recent years, radiology, Medical text, increasing popularity
Christian University, Informatics Dept., Satya Wacana, Investigate Undergraduate, Text Mining, study investigated, Wacana Christian, University Library, mining techniques, Undergraduate Research
Gene, Gene Drug, Drug Association, published literature, genomic data, Text, Text Mining, Drug, growth, explosive growth
Text, Text Mining, African, Focal Development, mining processes, Ghana, African Country, paper identified, Country, Development Trends
Digital, started late, Analysing Digital, Digital Banking, Text Mining, Banking, banking application, banking industry, Text, Philippines
Center, data mining, Digital Library, text data, analysis research, introduce attendees, HTRC leverages, Text, text analysis, Research Center
Computational Linguistics, text document, Text Mining, modern man, foremost requirements, Text, Information Extraction, information, minimal effort, Python Libraries
refers generally, textual database, extracting interesting, text documents, Knowledge discovery, non-retrieval patterns, text, Knowledge, database refers, mining
masking part, Analysis Based, long-term dependency, unmasked words, achieve bi-directional, inadequate context-deep, context-deep semantic, bi-directional prediction, model based, BERT model
indirect significance, Mining typos, humans interact, understanding, proposed, forms, text, algorithms, Mining, typos
nearest neighbor, Bayes classifier, social media, swear words, detect Indonesian, Twitter Twitter, Indonesian swear, Twitter, swear, Naive Bayes
Enabled, community, decision making, increased connectivity, online services, text mining, proposals Enabled, increasing number, participatory decision, community complaints
stop words, standard practice, domain Eliminating, text mining, stop, presented methodology, text, words, word selection, feature space
Costs Expenditure, Environmental Costs, management policy, Time Series, listed companies, Text Mining, corporate behavior, study aims, Series Data, mining technique
scientific communications, full texts, addressed repeatedly, literature review, Expanding domain, Part, abbreviation identification, text mining, Performing literature, domain knowledge
work describes, formal grammar, text mining, ontology, work, grammar, text, Application, data, formal
Sales Volume, Online Sales, Intelligent Analysis, Text Mining, Analysis Mechanism, growing fast, Leisure Industry, Industry Town, Online, Sales
Web Mining, Network, rapid development, Application, Web, mining technology, information explosion, redundant information, Internet, Algorithm
Word Stat, Applications Based, Text Mining, Word, Stat, software Text, Text, paper analyzes, Text Analyst, Mining Software
knowledge base, Extractive Text, MKR knowledge, Knowledge Representation, text mining, Multidimensional Knowledge, Text, Representation Multidimensional, MKR, Text Summarization
Text Mining, Natural Language, discourse analysis, Natural, Language, Discourse, Language Processing, structure, Text, NLP
common situation, Text Mining, Based, Mining Algorithm, Recommendation Based, subject, Peer Recommendation, Text, daily life, virtual environments
technology commonly, research status, Text Mining, paper studies, War, Mining Technology, Text, Sun, Sun Tzu, development history
major threat, activities pose, Fatality Reports, inherent risky, Natural Language, Non-Coal Mines, risky nature, Language Processing, Indian Non-Coal, Automated Analysis
proposed model, Component Analysis, produced daily, Text, Text Mining, Independent Component, Gradient Algorithm, Natural Gradient, growing significantly, texts produced
Social Media, Text Mining, major source, Health, Media Text, Health Social, data analytics, Media, recent years, Social
Roadmap, past decade, Data Mining, unstructured text, increased significantly, Developing, research, Text Data, Text, Data
data mining, previous Likert, comments, evaluation survey, newly established, student evaluation, extract knowledge, extract, student, mining techniques
automotive products, consumer, products sales, loyalty, structural equation, socioeconomic category, customer loyalty, large portion, financing company, equation modeling
big challenge, discovered relevance, describing user, Text Mining, Relevance Feature, large scale, Feature Discovery, text documents, Text, user preferences
intangible assets, business development, Text Mining, company future, Mining Technique, future business, management vision, financial data, Universities' Integrated, Integrated Reports
Visualization System, System, Crafts, Text Mining, local traditional, Sentiment, users, Crafts based, Traditional Crafts, Sentiment Analysis
huge amounts, Text Categorization, relevant information, Evaluation, Categorization Text, text mining, Character Level, mining process, Text, discover relevant
search engines, conveniently access, Microsoft Academic, Summarizing articles, popularized utilization, TextRank Owing, literature review, Google Scholar, Part III, academic search
research topic, fuzzy logic, Text Mining, Survey Research, methods, Fuzzy, Mining Text, Text, Fuzzy Approach, language processing
NLP Based, Artificial Intelligence, language, Data, Text Data, Based Approach, Text, vast area, Data Mining, NLP
Text Mining, education field, Natural Language, work expecially, Essay Scoring, Language, Natural, Essay, Language Processing, Automated Essay
Hierarchical Text, multiple techniques, data mining, Categorisation, mining study, text dataset, data, hidden knowledge, Text, Text Clustering
world-wide challenge, patients maintain, traditional physical, physical, physical therapies, satisfactory blood, hypertensive patients, blood pressure, pressure control, treating hypertension
education, mining method, methodology, qualitative research, applied, tool, text mining, technique, research, text
online reviews, e-cigarettes based, text mining, text, mining methods, massive online, consumer preferences, methods, researchers studied, sales volume
Text Mining, paper focuses, Pattern Discovery, Discovery Model, Mining Based, Pattern, Visualized Pattern, Weight, Weight Method, TF-IDF Weight
significant information, Benefits, Text Mining, large volumes, Information, Analysis Textual, Analysis, Textual content, Text, extracting significant
Web Mining, Analytics, Introduction, Business Analytics, Analytics Minitrack, Minitrack, Web, Text, Data, Business
grounds nowadays, gaining grounds, Models Text, mining helpful, Text Mining, synthetic intelligence, Deep Learning, Learning Models, Enhancing Text, Text
knowledge formation, implicit knowledge, discover implicit, Deep Learning, Deep, mining technology, Text, Text analysis, analysis Based, feature extraction
Natural Language, Extraction, text mining, Language, Natural, unstructured text, Language Processing, called text, Text, Information Extraction
manual knowledge, research publications, Dimension, text-mining Background, Google, central repository, crucial role, Google scholar, scientific models, information
social media, Mining Location-Based, learning algorithms, Modelling, Text Mining, Analysis, Text, machine learning, mining techniques, Location-Based Modelling
input text, online information, extractive text, main purpose, text mining, favorite domain, text, recourse texts, overview, text summarization
Reports, Text Mining, text data, University School, Medicine Hospital, Incident Reports, Medical Incident, efficiently analyze, mining techniques, Shimane University
Managerial Decision, Web Mining, Support, Web, Decision Support, Text, developing systems, Data, Decision, Support Minitrack
Taiwanese historical, historical people, mining system, text retrieval, Biographical Database, important kind, people Personage, Taiwan Biographical, TBDB, personage biographies
data entering, categorizing data, Information Categorization, Text Mining, report discusses, Text Data, Mining algorithms, Text, information system, Intellectual Analysis
Failure, unseen outage, Mining Transformer, Peninsular Malaysia, Text Mining, Failure Analysis, Analysis, word, Text, Transformer Failure
syndrome, medicine, associating rules, Chinese medicine, Radix Astragali, single CHM, basic element, TCM, rules, traditional Chinese
analyzing copious, medline medical, text mining, medical, copious amounts, knowledge, text, major benefits, medical records, effective method
major worldwide, worldwide concern, Highway-Rail Grade, Railroad traffic, Crash Data, Grade Crossing, Approach Railroad, Text Mining, Mining Approach, Logistic Regression
project, mining method, World Wide, research project, research, KNN Today, Web, Wide Web, Internet, project selection
Exploring Research, Apply Data, numerous algorithms, Software, Mining Techniques, research area, Data, Software Engineering, Data Mining, Research Opportunities
information extraction, biomedical domain, Stages Framework, Mining Approach, Data, Distinct Stages, Text, Approach Today, Data Mining, SVM Distinct
important influence, Text, Text Mining, Based, Investor Sentiment, Stock Price, Investor, Stock, Social Science, Sentiment
product, incredibly valuable, Reviews, Text Mining, making business, business decisions, Honest, Text, Honest Reviews, Summarization
motor vehicle, mining system, specific location, Road condition, Case Study, text mining, condition monitoring, return home, Road, East Java
electronic records, patient care, community care, Simclin frequencies, records, health, Text mining, Text, clinical notes, health informatics
Ship Collision, River Based, Factors Analysis, Inland, Ship, Inland River, high-risk maritime, Factors, Analysis Modeling, typical high-risk
social media, set selection, training set, significantly expanded, selection methods, text mining, proposed method, Nowadays, headlines Nowadays, people opinions
ever-growing resource, Summarization Technique, Life Implementation, Technique, Life, Real Life, Sum Basic, Internet, Text, Text Summarization
critical indicators, market economy, market movements, market, significant sector, crucial role, Stock, Stock market, movements Stock, Random Forest
media platforms, events, social media, Text Mining, Mining Approach, posts related, Evaluating Event, Twitter Users, platforms tend, Users
emergent mission, complex systems, problem faced, contextual specificity, Text Mining, multiple complex, Mining Technique, desirable goal, Systems, Systems Engineering
Algorithm Social, Social Media, Text Mining, media recently, Based, Logistic Regression, Social, Detection Based, Crime Rate, Indonesia
input text, TETDM, Total Environment, Total, Data, Text Data, Knowledge, Text, Data Mining, Mining Recently
online reviews, ten years, Product, Quality Perceived, Text Mining, Product Quality, Comprehensive Evaluation, Fuzzy Comprehensive, service reputation, Internet technology
analytical support, based, companies carry, hierarchical graph, questionnaire free-texts, Graph, words, method, Keyword Graph, free-texts data
KMA focused, textual data, Administration, data generated, text-mining algorithm, computer technology, Meteorological Administration, Korea Meteorological, digital forms, Korea
Identification Text, Hazard Identification, Safety Hazard, hidden danger, grid hidden, Text Mining, Power Grid, Grid Safety, Grid, Mining Technology
Enhanced Support, Support Vector, Based Pattern, Classification Method, unique field, English Texts, Vector Machine, Pattern Classification, Machine Based, natural language
Questions Text, Proactive, Support Vector, Weibo, Text Mining, Proactive Personality, Short-Answer Questions, Weibo Text, Logistic Regression, Text
time series, analysis based, mining application, paper presents, series model, text mining, time, Text analysis, frequency appearance, high frequency
Processing Technology, traffic controllers, Cockpit Voice, air traffic, voice recorder, Text Processing, Voice Based, controllers recorded, Data Mining, directly reflects
behavioral change, SRB, unexpected behavioral, access essential, text mining, text, genes, Desulfovibrio alaskensis, essential genes, survival
Social Media, community restrictions, Support Vector, Media Analysis, Text Mining, public opinion, Vector Machine, facing community, Naive Bayes, Pandemic Social
power customers', prediction method, tree based, current decision, text mining, risk prediction, risk, electric power, mining technology, decision tree
search tool, mining Biomedical, gene-disease, text, Biomedical text, genes, extraction, method, quality information, mining
social networks, Hybrid model, based social, Social Recommendation, information filtering, text mining, Machine Learning, Recommendation users, location based, data geolocated
Component Analysis, Optimization Independent, Component, Text Classification, multivariate signal, Independent Component, Particle Swarm, Analysis, Swarm Optimization, Text
registration faster, Claim, Text, Text Mining, customer satisfaction, Claim Registration, call center, Customer, machine learning, Automating Customer
Opioid, diagnostic coding, Identify Opioid, Text-Mining Approach, text mining, ontologically identify, Problems, coding approaches, opioid therapy, long-term opioid
Utilizing text, elderly living, GIS, GIS analysis, increasing elderly, text mining, necessitates swift, prevention measures, population living, Korea
Maintenance Text, Defect Diagnosis, Text Mining, text data, Diagnosis Method, Text, electrical equipment, Operation, Transformer Based, Main Transformer
developers focus, Validating Requirement, Text Mining, elicitation transcripts, elicitation, Mining Analysis, Text, method, Requirement, Requirement Specification
articles, social media, data mining, textual data, proposed, digital revolution, produced billions, Lightweight Algorithm, machine learning, Algorithm
Dirichlet Allocation-Based, mining model, China Intelligent, Intelligent Elderly, Allocation-Based Model, Care Policy, information embedded, text mining, Latent Dirichlet, Elderly Care
Comparable Corpus, Translation Equivalent, Chinese-English Comparable, Method, Extraction Method, Text Mining, Corpus based, Equivalent Pairs, probability methods, Machine Translation
helping students, Support Text, paper presents, main ideas, Text Mining, extract graphs, write summaries, Text, Mining Tool, Text Summarization
applications built, Requirements Specification, Text Mining, SRS, Software Requirements, Sequence Diagram, SRS document, Step Performed, Text, SRS Digibrary
mining Text, large amount, Pattern discovery, text mining, technique, data, text, Pattern, extracting data, item sets
educational text, teaching evaluation, Combining BERT, text, text sentiment, Analysis, apply text, intelligence technology, artificial intelligence, Sentiment Analysis
mining method, Chinese, Chinese medicine, research focused, deficiency pattern, stagnation pattern, text mining, pattern, method Objective, traditional Chinese
learning methods, Comparative Study, valuable information, provide valuable, mining package, Text Mining, Study, Text, machine learning, Packages
approach FHAR, FHAR algorithm, FHAR, Association Rule, Concept Vector, Based, Text Association, Application, Concept, Algorithm Based
medicine texts, treatment path, narrative medicine, narrative, text mining, adequate survey, Latent Dirichlet, shared treatment, Dirichlet Allocation, Long COVID
Evaluation System, policy texts, big data, Text Mining, Modular Policy, data, Framework Based, Mining Nowadays, Policy, Policy Evaluation
Big Data, Hadoop, Big, Hadoop platform, Text Mining, Literature, Educational Literature, information era, Data, data technology
Extract, Statistics, Assignments, year undergraduate, Text Mining, Text, Extract Information, Lab, formative assessment, students
Side, text document, huge amount, Side Information, Clustering, Metadata, information include, Text mining, Text, mining applications
sentiment analysis, hotel reviews, online hotel, modern era, text mining, big role, text, text summarization, Indonesia priority, priority tourist
QSPR predictions, PMC RESTful, Text Mining, Semantically Enriched, combining Europe, Europe PMC, Enriched Literature, Scientific Workflows, Search Combining, Literature Search
record, study seeks, EHR systems, tutorials, YouTube, electronic health, EHR, text mining, health record, YouTube electronic
mining methodology, Text Mining, Business Intelligence, Python Anaconda, people, huge impact, Exploring Text, Text, Business, Mining Techniques
communication, Text Mining, rapid development, Based, International Relations, Network Based, Relations Network, mining technology, faster, Text
Recommendation Systems, Text Mining, forum log, lecture notes, discussion forums, Online Learning, Mining Analysis, Log Discussion, similarity, studies aim
information carrier, Internet data, Text Classification, Text, Relations Based, shown explosive, rapid development, global information, International Relations, explosive growth
Market Behavior, Behavior Based, Predicting stock, Time Series, Text Mining, Review Predicting, Based, Text, Stock Market, Sentiment Analysis
Decision support, pet dog, dog Measure, text mining, diagnosing diseases, mining technique, dog, text, support system, research aims
Steps Performed, SRS Myoffice, Activity Diagram, Text, Text Mining, Case Description, Diagrams Based, Myoffice Application, Activity, Case
change unstructured, noun, organized information, Conceptual Dependency, proper identification, unstructured content, Text mining, stories, vast accumulation, composed aspect
Text Mining, Public, structuring principle, social control, Naïve Bayes, Text, Categorize, Public Administration, Accountability Advertising, Public Spending
USA Presidents, Text Mining, USA, data, Matter, Text data, Mining Analysis, Text, mining techniques, Union Addresses
Safety Incident, Prevention Safety, Safety, Text Mining, key monitoring, monitoring point, Complex Networks, Accident, Accident Analysis, Incident Prevention
opinion analysis, Analysis Based, Text Mining, public opinion, document retrieval, Nowadays, Crawling Technology, Text, Technology Nowadays, developed rapidly
journal articles, distribution, Publication, Technology Index, Text Mining, Network, SINTA Science, data, Text, relationships
Versus, Comparative Study, modern technologies, Text, Study, Versus Non-Parametric, Parametric Versus, Algorithms Evolution, Evolution, technologies allowed
Electronic Health, population data, Health Records, Phenotyping Definitions, Text Mining, utilize population, Definitions, Text, Records, Phenotyping
huge amounts, Text Classification, Exploring Deep, Classification Nowadays, Nowadays, digital libraries, Text, Spanish Text, Neural Networks, Decision Tree
Training Programs, Monitor Rural, Activity Reports, real-world scenarios, rural India, Text Mining, increasing rapidly, software solutions, data collection, Youth Training
Emerging Trends, Social Media, internet users, Text Mining, Contemporary Emerging, business operators, online business, Media, Social, Mining Techniques
positive return, Japanese Stock, lead-lag effect, Strategy Based, Industry, past winner, Text Mining, Momentum Strategy, Industry Momentum, Stock Market
scientific, mining Summary, gene symbols, human gene, gene, text mining, text, Summary form, Distinguishing scientific, abbreviations
ambiguous preposition, text mining, applications Text, unstructured text, text, intelligence research, computational intelligence, mining tool, research areas, mining applications
network based, project, system, experts, high cost, significant effect, assessment, research project, text mining, complex process
Artificial Intelligence, Enhanced Clinical, Text Mining, Natural Language, Clinical Text, driving innovation, powerful force, Language Processing, recent years, NLP
Comparative Analysis, Fast Food, Food Restaurants, media, Text Mining, Top, Social media, Mining Text, Text, Social
hard, fuzzy neighborhood, affinity propagation, kernel, fuzzy, Text clustering, algorithms, Text, clusters, hard c-means
Approach, Legal, Analyses, paper presents, analytic approach, Text Mining, Legal Documents, Text, Topological Analyses, Thai legal
Approach, Lexical, information, large amount, Text Mining, extremely large, Analysis, Text, Lexical Analysis, mining techniques
France, actively works, customers' voice, understand customers', energy player, EDF, leading energy, text analysis, Électricité, Hadoop environment
mining algorithms, Co-occurrence Matrix, Text Mining, Closed Sequential, Cleaning Closed, Sequential Patterns, Text, overwhelming increase, Patterns, extracted
effect, Text Mining, efficacy OTC, OTC drug, Scientific, method, Scientific Effectiveness, drug, Verification, OTC
train safe, train control, train, great significance, highly efficient, fault text, high-speed train, fault, fault recording, fault diagnosis
Big Data, business models, Big, customer experience, text mining, dramatic change, modern business, tracking Big, Data, traffic tracking
manufacturing, well-designed databases, inline metrology, semiconductor manufacturing, text mining, tool sensors, data, handle unstructured, WAT data, Yan-Hsiu Liu
frequency, Texts, finding unusual, Mining Pure, Pure, string, pattern, present paper, unusual patterns, investigate finding
text-mining analysis, external therapy, Chinese medicine, health problem, TCM external, major public, problem due, public health, hypertension treatment, traditional Chinese
Social Media, Generative, Artificial Intelligence, Text Mining, Academic Field, Mining Based, Internet, Media, Social, Field
Social Media, media platforms, Bad, Bad Words, Text Mining, Detecting Racist, Media, Social, grown rapidly, Racist
digital text, large amount, Semantic text, Text Mining, domain, medical, unstructured text, text, information, domain large
Spatial Information, utilizes environmental, quantitatively analyze, study aimed, Text Mining, environmental spatial, information areas, Spatial, Measuring Contribution, Mining Techniques
Method, Career, text classification, Item Response, Text Mining, Combining Text, Career Adaptability, Text, Method Recently, Response Theory
Perception Based, Mining Platform, Visual Analysis, Tourist, managing tourist, Text Mining, crucial role, Named, Platform Named, tourist destinations
literature represents, related genes, breast cancer, number increase, cancer, genes, biomedical literatures, relation extraction, recent years, clustering
digital transformation, life started, started depending, Text Mining, Mining Approaches, digital world, Datasets, data, Arabic dataset, Arabic
MEXT, Sidou Teiyou, Student Guidance, Sports, Text Mining, Seito Sidou, Compendium, Culture, Guidance, Education
machine learning, technology sector, private organizations, emerging technologies, sector, healthcare sector, information technology, latest trends, ovarian cancer, medical records
analysis tasks, text analytics, Bridging Text, recently emerged, Visual text, commercial world, mining techniques, Task-Driven Survey, Mining, Survey Visual
Classification, Text Mining, Analysis Sentiment, Conventional text, Sentiment, filtering schemes, Analysis, Text, challenging task, Sentiment Analysis
system, mining analysis, paper presents, healthcare support, e-health information, research results, Text mining, Text, information system, previous research
considered, Text, Text Mining, Psychological Portrait, Mining Technology, Portrait, text format, Construction, natural language, language processing
research topic, English text, popular research, areas ranging, Turkish radiology, reports, application areas, Text mining, Text, radiology reports
opinion mining, networking sites, Sentiment Analysis, text classification, rapid rise, opinion, social networking, connected online, online, mining
Learning Algorithm, record data, Machine, Text Mining, Machine Learning, data, Learning, caused production, Text, Random Forest
Method, Text Vectorization, incredible increase, Vectorization Method, Clustering Techniques, Techniques, proposed method, develop efficient, Text, Mining
lower resource, Literature Review, Albanian language, Text Mining, Clustering, special emphasis, systematic Literature, Sentiment analysis, review related, resource languages
effectively manually, Jet, poorly structured, text mining, Laboratory, jpl, NASA, Propulsion Laboratory, Jet Propulsion, NASA Jet
information repository, crawler Internet, web pages, mining algorithm, text mining, focused crawler, algorithm based, explosive growth, largest information, world largest
Semantic, pie, pattern mining, american pie, pattern, Semantic pattern, area, fundamental topic, techniques, mining
study, comprehensive study, learning, text mining, sample data, data, past experience, learning concepts, machine learning, machine
Singapore, major concerns, foreign labour, text mining, labour, productivity issues, text, low productivity, companies, issues
Big Data, English Composition, university English, Composition Assisted, Data Text, Text Mining, English, Assisted Writing, reform ELT, English teachers
2002-2014 Text, English text, Arabic Text, Text Mining, Literature, large masses, Literature 2002-2014, Text, Published Literature, extract relations
Ligusticum, published literature, Chinese, Chinese medicine, Ligusticum wallichii, association rules, text mining, mining technique, TCM, traditional Chinese
Ukrainian, Text Mining, Ecology Ecology, topic nowadays, Articles, Web Scraping, Web, Text, hot topic, Ecology
Vietnamese Topic, Text Classification, Building Vietnamese, Text, Topic, Core Terms, Applying, Core, Modeling Based, Topic Modeling
heart disease, acupoint, external therapies, Chinese medicine, Traditional Chinese, CHD, CHD treatment, coronary heart, acupoint application, application therapy
Texts Classification, organizing written, digital landscape, Improved, Fuzzy Method, written documents, current digital, Improved Weighting, Automated Texts, increasing demand
ecological civilization, Tourists' Ecological, transformation Logic, Text Mining, rural tourist, Computer Network, Network Text, Mining Technology, reference network, network communities
Semantic Web, texts, NLP tools, formalized knowledge, SWRL, knowledge, NLP, language, rules, unstructured texts
Scientific Exhibition, High School, School Scientific, Taiwan, Exhibition, Text Mining, Mining Technique, National Taiwan, Taiwan Primary, Education Center
model, dendrogram, text mining, multiset model, study methods, hierarchical clustering, agglomerative hierarchical, Text, mining applications, clustering
translation, ITQ, Quran, Islamic knowledge, learning Islamic, increasing trend, Indonesian translation, Text mining, Text, review Nowadays
failure records, equipment failure, Named Entity, Railway, Signal Equipment, failure, Text, Signal, Railway Signal, Entity Recognition
actual pandemic, daily activities, Parisian Population, Text Mining, pandemic forcing, Mining Approach, Twitter, change daily, Parisian, fast spreading
Analyzing Social, sites Structure, Social Media, Media sites, minitrack encompasses, Content Mining, Media, encompasses papers, Social, Structure Mining
