english grammar books, keyword analysis speech, grammar books 19th, results text mining, grammar books important, paper text mining, word frequency analysis, mining word frequency, english grammar gutenberg, analysis keyword analysis
classification analogical, mining application arabic, ability analogical proportions, valid analogical proportion, analogical proportion, analogical inference, arabic text summarization, arabic text, summarization classification, datasets especially arabic
text mining measure, prediction text mining, unstructured data, data unstructured, mining information revelation, text mining devices, content mining method, way content mining, survey text mining, unstructured information way
text classification evaluate, text mining approach, text processing field, improve interns communication, internship program using, interns communication skills, interns program proficient, applied text mining, feedback interns performance, text classification text
extract topics, keywords search database, mining article, role text mining, emergence text mining, article screening classification, use keywords search, application text mining, search database articles, articles extract topics
text mining evolving, customer reviews feedback, learning text, mining approach product, text unstructured data, asset reviews used, mining referred text, asset reviews, improving product quality, improving product
contents text knowledge, neural network knowledge, topic tracking, knowledge mining association, richer knowledge mining, constitute text knowledge, network knowledge representation, text mining algorithm, novel algorithm dnn, novel text mining
data mining challenge, problem mining, evaluation intelligent government, application intelligent government, words automatic scoring, message replies effectiveness, classifying public comments, results classification, public question messages, government based text
collected sentiment data, framework text mining, big data infrastructure, sentiment data, technique text mining, learning text preprocessing, efficient text preprocessing, compute large data, develop efficient text, big data
random forests classification, macau special, text mining method, macau special administrative, policy addresses 2012, study applied svm, support vector machine, relationship macau special, relationship macau, used text mining
classified accidents help, text mining methods, indicate text mining, classified accidents, interested accident data, descriptions accidents results, use text mining, analysis road accidents, help text mining, road accident analysis
knowledge naming, text mining method, naming chinese texts, text mining process, based text mining, naming scientific, naming recognition algorithm, naming scientific research, research naming chinese, uses text mining
students posting homework, moocs using natural, mining natural language, learning behavior content, education data, moocs using, data mining interactive, text moocs using, stimulate students learning, mining interactive
data mining techniques, opinion extraction used, numerical text analysis, opinion extraction, mining techniques keywords, mining tools text, opinion text data, data data mining, review text analysis, text mining recent
identify trends, mining paper, analyzed using text, text mining result, analyze text, automatically text mining, detect trends, machine learning research, machine learning published, detect trends terms
detects subjectivity staff, subjectivity staff performance, appraisals using text, subjectivity opinion reviews, mining teachers appraisals, clues subjectivity reviews, hrm detecting subjectivity, directed detecting subjectivity, perfomance appraisals using, appraisals using
practices use text, mining classify, management practice study, practices people management, mining classify best, text mining classify, text methodology advantageous, mining techniques considered, people management, best people management
contexts tested abstracts, mining algorithm extracts, identifies contexts tested, paper algorithm mines, papers agent, researchers look papers, based text mining, agent based text, tested abstracts thresholds, identify relevant contents
latent dirichlet allocation, based recommendation, approach hybrid recommendation, mainly user reviews, text mining considering, recommendations text, datasets recommendation approach, review text based, text mining digitization, text mining based
legal decisions automatic, lawyer analysis large, legal texts words, automatic classification text, text mining analysis, powerful text mining, text mining tools, criminal proceedings analyzing, classification text documents, decisions analyzing court
sentiment analysis, texts reconstruction sociology, knowledge extraction, history text, mining terms methodology, mining providing description, background text mining, mining terms, methodological background text, knowledge extraction make
report new ocr, customised ocr, ocr correction historical, quality ocr text, compares favourably ocr, ocr software scanned, errors ocr systems, medical text, ocr post correction, character recognition ocr
perform literature review, health literacy, review identify keywords, text mining help, retrieve text analyze, research development, supporting initial literature, health literacy words, initial literature review, area text mining
classifier compared, model classifying disease, text mining, diseases diagnosis physician, decision tree naïve, classifying disease symptoms, text mining technique, classifier compared using, predictive model classifying, applying text mining
text mining new, summarization analyzer, rule reduction text, automatic text categorization, text categorization, reduction text mining, text analyzer developed, identification categorization summarization, summarization approach analyze, summarization using rule
text mining, latent semantic analysis, questionnaire based lsa, latent dirichlet allocation, text mining model, based latent semantic, open questionnaire research, lsa open questionnaire, questionnaire research object, improve latent dirichlet
using sentence ranking, rule mining web, sentence ranking conditional, probability text classification, identified sentence similarity, conceptual rule mining, text clustering web, sentence weights based, text clustering approach, mining conceptual rules
product context, product context using, innovation potentials method, field text mining, text mining extract, semantic modelling product, innovation potentials increased, text mining derivation, innovation management identify, knowledge future innovation
text word2vec word, map word features, mining defect text, equipment defect text, word features multi, word2vec word vector, power equipment defect, defect text records, new word discovery, text mining based
information using cluster, document clustering methods, information text mining, text mining method, clustering ontology, clustering ontology based, based text mining, mining text extraction, present clustering ontology, ontology based text
difficult text mining, text mining important, audience identification twitter, information text social, mining text mining, identification twitter, twitter using, media text mining, social media users, web mining text
mining research popular, bibliometric, cited publications data, cited research, text mining techniques, cited publications, text mining highly, information bibliometric, data mining research, mining using text
twitter arabspring bostonattack, text analysis detect, profiling text mining, activities microblog posts, detect predict criminal, cybercrime, text mining techniques, used twitter arabspring, hashtags used twitter, detect suspicious posts
algorithm stemming, indonesian stemming, stemming process indonesian, process indonesian slang, strengthen stemming process, slangs strengthen stemming, proposed algorithm stemming, lately stemming algorithm, mining indonesian text, social media stemming
task text mining, mining exploratory search, mining exploratory, characteristics text mining, applications text mining, data mining proposed, concepts text mining, text mining total, exploratory search task, conducting text mining
classification extract idea, text classification extract, mining tools text, idea characterization, mining idea, idea text idea, successful text mining, idea text, based concept extracting, combination idea mining
mining xgbboost vulnerabilities, prediction vulnerability, world vulnerability text, intelligent prediction vulnerability, textual description vulnerabilities, vulnerability database provides, severity level vulnerabilities, vulnerabilities mining, privacy vulnerability database, text mining xgbboost
know sentiment perception, text mining method, indonesia use vaccines, sentiment analysis perception, text mining technique, indonesian ministry health, vaccinated covid, results study sentiment, pandemic using text, vaccination covid 19
case sequence diagrams, case diagrams auc, names class diagrams, case diagram, diagrams based use, using text mining, diagrams using text, class diagrams comparison, class diagrams ncd, objects sequence diagrams
stage text mining, chinese segmentation method, mining medoids, records based text, chinese medicine, type diabetes traditional, text mining paper, type diabetes, research type diabetes, chinese medicine tcm
classify text, text mining believed, text mining large, text clustering association, mining work text, value text mining, categorization text clustering, text categorization, review text mining, status text mining
classifier, pattern identified document, ontology datasets cluster, text mining process, value probabilistic classifier, knowledge large text, classifier text, mining text mining, extracting knowledge using, documents new probabilistic
representation text mining, evaluation text mining, natural language processing, word2vec tf idf, process extracting word, feature evaluation text, analysis extracting feature, feature extraction process, extracting word document, model text mining
text mining, best keyword based, text mining perform, text mining bahasa, text search engine, keyword inputted text, keywords copying, generates keyword inputted, paragraph text search, keywords generated method
text mining methods, projects lot textual, solving project management, projects achieve, text mining area, mining technology solve, project management problems, text mining algorithms, project participants unstructured, text mining technology
discovery knowledge log, seismic event characteristics, propose design log, occur seismic events, log design storing, storing seismic event, intention mining, discovering knowledge event, intention mining techniques, log seismic
keyword based, retrieval systems proposal, pattern detection method, helpful information retrieval, term based, improve discovering pattern, text mining digital, previous text mining, keyword based methods, results improve discovering
term association method, occurrence based term, keyword based text, performance text mining, text mining improve, text mining paper, computing term association, mining occurrence, words keyword based, term association
complaints clusterization government, social media twitter, customers complaint data, latent dirichlet allocation, twitter latent dirichlet, companies social media, mining social, research text mining, using text mining, complaint topics
text mining methods, discover pattern use, information text mining, updating discovered patterns, patterns discovered patterns, text mining improve, extract patterns text, patterns used searching, pattern discovery retrieve, issue text mining
mining tools techniques, parallel text mining, biomedical chemical literature, text mining techniques, mining tools proposed, text mining accelerate, gpu accelerated chemical, relationship identification chemical, identification chemical entities, chemical databases like
text mining approach, course topics based, automatic selection academic, approach automatic selection, automatically educational material, topics based course, select topics automatically, specifications topics selection, mining approach automatic, text mining gram
information professionals text, framework text mining, unstructured textual documents, text mining high, challenges text mining, concept text mining, mining information, mining information professionals, search text mining, text mining examines
problem mining, efficiency text processing, cause problem mining, trip filling text, tripping text, provided text extraction, trip provided text, problem mining goal, intelligent mining method, text editing similarity
text mining procedures, accuracy text classification, different tf idf, text mining processes, enhanced text classification, tf idf perform, proposed tf idf, bayes classification different, classification different weighting, used text mining
mining algorithm optimising, abstract keywords preparation, keywords preparation includes, literature studies, paragraph length determination, mining process detection, mining algorithm influences, studies algorithm, relevant content large, identification relevant literature
documents contains, unstructured text emails, text mining finding, unstructured data, finding right documents, text mining techniques, documents identify common, unstructured documents day, use text mining, documents identify
text mining, trend energy technology, mining ontology methods, energy technologies associative, energy development taiwan, technologies trend information, establish energy technologies, adopting ontology method, ontology methods proposed, contextual text mining
integrative text mining, integrated agile process, documentation analysis, based production documentation, text mining architecture, integrated text, knowledge overall process, knowledge based production, mining architecture design, agile production arising
mining analysis turkish, word stemming, clustering text mining, enable text mining, mining turkish, mining efficiently turkish, text mining analysis, media text mining, easily word stemming, analysis turkish language
forecast stock market, stock market involve, processing stock market, machine learning text, mining natural language, text mining retrieve, source stock market, text parser analyzer, analyze forecast stock, text mining natural
large medical text, translation approach medical, statistical machine translation, text mining applied, radiology domain reports, proposes text mining, radiology reports statistical, proper text mining, existing radiology report, radiology report
abstracts analysis clusters, topics written undergraduate, text mining techniques, study investigated clusters, using text mining, investigate undergraduate research, use text mining, topics student reports, topic clusters 2015, undergraduate research
text mining approach, drugs associations using, preprocessing text mining, diabetic gene text, text mining techniques, associations related diabetic, finding association biological, association diabetic, analyzing gene drugs, analysis gene drug
textual data, trend ghanaian politics, trends african country, topic modeling term, development trends african, text mining technique, content analyzed, text mining processes, developmental trends ghana, initiated topic modeling
text mining methods, text mining, areas digital banking, rules digital banking, using text mining, application reviews study, use text mining, digital banking features, banking reviews, banking features review
computational text analysis, mining hathitrust tutorial, attendees hathitrust research, basic text analysis, text data mining, data mining research, hathitrust digital library, text analysis research, using hathitrust, using hathitrust data
extraction information, linguistics python libraries, information text document, linguistics python library, text mining techniques, information retrieval ir, text mining paved, computational linguistics python, flourishing text mining, information extraction information
documents classification clustering, data mining techniques, framework text mining, knowledge discovery textual, discovery textual database, mining knowledge structured, data mining knowledge, knowledge unstructured text, information data mining, limitations text mining
softmax function used, mining rnn, emotional polarity classification, rnn emotion, polarity classification train, context deep semantic, emotion classification, text finally softmax, deep semantic mining, training language model
humans interact text, document classification formal, typos exploited reveal, document classification, classification formal informal, occurrence typos, typos exploited, ways typos, automatic document classification, typos text forms
contains indonesian swear, analyze tweet, text mining naive, contain indonesian swear, indonesians tolerated swear, comparation text mining, tweets process text, words twitter twitter, indonesian swear word, text mining analyzed
classification community, classification model stemming, classify complaints, text clustering, proposals text clustering, support vector machine, svm algorithm study, application text mining, classify complaints proposals, classification community complaints
location information classification, text classification order, critical infrastructures text, specific stop words, information classification, word selection, text mining accuracy, infrastructures text, eliminating stop words, preprocessing text mining
corresponding analysis environmental, corporate behavior especially, text mining technique, motivation corporate behavior, read environmental report, text mining analysis, companies analyze relation, analyzing text, mining technique study, report corporate management
literature review scientific, texts scientific topic, using text mining, hosted sciencedirect abbreviations, knowledge abbreviation identification, extract abbreviations, sciencedirect abbreviations, texts predictive maintenance, extracting abbreviations, text mining algorithm
parse tree, text mining making, making parse tree, construction ontology, formal grammar text, translation ontology network, text mining important, application formal grammar, application text mining, machine translation ontology
sales products leisure, text mining great, sales data constructed, based text mining, sales forecasting, mechanism online sales, online sales, products based text, traditional sales forecasting, text mining technology
web structure, structure mining basic, want extract web, web content, content mining, realization web content, mining basic algorithm, extract web, analyze realization web, structure mining
stat knowledge, mining software, word stat paper, mining paper, text analyst, mining software applications, software text, cases text mining, use text analyst, word stat
cross dimensional text, summarization content oriented, text mining, individual text mining, text mining analysis, summarization based dimensional, summarization using multidimensional, summarization paper introduces, instrument text summarization, integrative text mining
discourse analysis covers, text mining tasks, natural language processing, datasets discourse structure, discourse, coreference structure conversation, structures discourse analysis, text mining discourse, conversational discourse taken, conversational discourse
people forums, recommender recommends people, mining algorithm ask, based text mining, presented text mining, mining algorithm, knowledge people forums, peer recommendation, recommends people, friends particular subject
tzu analyzed visualization, war sun, tzu analyzed, modules art war, mining technology paper, art war, source python, status text mining, sun tzu analyzed, text mining technology
text mining, coal mines text, mining natural language, coal mining industry, mining industry extract, indian mining industry, mining activities, mining accidents authors, general mines safety, text mining natural
analysis ngica text, independent component analysis, largely unstructured data, learning classification proposed, classification unsupervised, patterns text mining, component analysis ngica, texts produced daily, text mining volume, knowledge text gaining
mining health social, healthmine tool, text mining data, web application healthmine, tweets, platforms twitter medhelp, techniques text mining, collected social media, media text mining, 76 twitter medhelp
sentiment analysis, analysis scientific articles, review text data, data mining, data mining helpful, taxonomy text data, decade unstructured text, research sentiment analysis, science google scholar, texts used research
insight student sentiment, apply text mining, text mining, evaluation comments undergraduate, text mining association, comments student, student surveys, terms comments, comments undergraduate courses, mining classification student
structural equation modeling, factors affecting customer, equation modeling text, loyalty customer loyalty, automotive products sales, consumer perceived, loyalty automotive financing, loyalty automotive, customer loyalty important, consumer satisfaction affects
mining classification, popular text mining, features text documents, terms data patterns, model relevance feature, relevance feature, text mining make, feature discovery discovers, text mining big, features terms
resource university evaluation, reports using text, universities paper evaluates, report summarizes company, universities integrated, evaluation criteria universities, represent characteristics universities, integrated reports useful, university using text, integrated reports using
mining traditional crafts, sentiment analysis visualize, crafts sentiment, text mining traditional, traditional crafts comprehensively, analysis visualize traditional, crafts based text, traditional crafts users, developed visualization traditional, text mining sentiment
step text categorization, categorization extracted, text mining domain, based text clustering, frequent itemset based, categorization text, frequent itemsets termsets, text clustering paper, frequent itemset mining, termsets text representation
summarizing articles, summarization research papers, automatic summarization research, revised text mining, using text mining, specifically textrank algorithm, summarizing articles using, textrank owing, textrank algorithm used, text mining strong
mining sentiment analysis, methods text mining, multiple text mining, mining combined fuzzy, challenges text mining, research text mining, fields text mining, fuzzy approach text, text mining sentiment, sentiment analysis text
nlp algorithms understand, language processing nlp, text mining uses, ai text data, approach ai text, mining text, processing nlp healthcare, nlp healthcare, nlp healthcare help, ai text mining
text mining methods, essay scoring proven, natural language used, essay scoring, human natural language, research natural language, processing text, language processing proposed, essay scoring using, processing text mining
corpus unclassified documents, include clustering text, text documents classification, clustering categorisation, extraction document topics, clustering categorisation using, cluster documents groups, classification text documents, hierarchical text clustering, document automatically cluster
rules chinese medicinal, data mining paper, bio medical data, chinese medicinal physical, hypertension text, useful mining, cupping process mining, treating hypertension text, text mining world, treating hypertension
analyze text data, analyze students written, mining method, method analyze students, education qualitative research, analyze text, mining qualitative research, mining methodology, mining method alternative, suggest text mining
online reviews viewing, text mining methods, corresponding sentiment strength, literatures text mining, based text mining, sentiment values frequency, reviews commerce platform, sales volume sentiment, sentiment values geographical, 400000 reviews commerce
text mining based, text builds visualized, builds visualized pattern, text data pattern, text mining, discover patterns form, based tf idf, discovery way visualization, discovery especially visualization, pattern discovery model
unstructured textual information, analysis textual content, text mining gaining, content mining lateens, benefits text mining, unstructured textual, capacity text mining, look text mining, content mining manner, mining information analysis
minitrack na, business, mining, na, minitrack, introduction data, mining business analytics, data text web, data text, text web mining
text mining technology, learning models used, deep neural networks, lstm based models, deep neural, rnn lstm based, enhancing text mining, mining using deep, dataset named sentiment5k, text mining section
deep learning algorithm, applications text analysis, networks deep learning, analysis based deep, deep learning firstly, deep learning introduced, text learning text, representation text data, reviews text analysis, review text analysis
extraction text, text mining finding, information extraction, information natural language, text mining technique, text mining grown, text process, natural language related, unstructured text, using natural language
text mining used, text mining approach, pubmed semantic, google scholar semantic, large literature databases, text mining defined, identifying genes involved, variety genomics text, extracting biologically relevant, scholar semantic
location criminal activities, crime identity threat, text mining techniques, text mining process, criminal behavior help, using text mining, text mining location, criminal behavior social, threat cybercrime, threats using text
relationship text summarization, summarization according, text mining text, summarization process, text summarization favorite, extractive text summarization, summarization process automatically, text summarization increasing, nowadays text summarization, summarization systems
text data organizing, data organizing word, incidents incidents related, incidents categorized distinct, text mining techniques, analysis medical incident, analysis collected text, medical incident reports, collected text data, incident reports filed
mining managerial decision, support means data, healthcare social media, web mining papers, text web, mining managerial, decision support means, data text web, decision support minitrack, support systems various
biographical database tbdb, text retrieval, people taiwan, historical people personage, understanding personage biographies, retrieval mining taiwanese, taiwanese historical, mining taiwanese historical, biographies beneficial researching, personage biographies beneficial
problem information categorization, semantic analysis text, problem categorizing data, categorizing data entering, text search, analysis text data, text data solving, mining algorithms semantic, categorization report discusses, search keywords
text mining approach, text mining, word text analysis, substation transformer failure, substation transformer, analysis text mining, causes transformer failures, main causes transformer, mining transformer, transformer failure power
text mining, prescription syndrome ra, chinese biomedical literature, database called sinomed, text mining technique, herbal medicine chm, herbal medicine, disease syndrome ra, radix astragali text, software cytoscape text
patients stories discovering, forums medical literature, facts diabetes major, text mining techniques, mining web, blogs forums medical, benefits text mining, new facts diabetes, detecting patterns diabetic, diabetic diseases
crashes text mining, mining narrative, railroad traffic, using text mining, train struck car, mining narrative information, railroad traffic safety, rail crossing crashes, crash data classify, highway rail grade
research projects important, mining method, project selection process, classify text, paper text mining, project selection using, development project management, topic research development, categorize classify text, research topic research
mining clustering classification, software development lifecycle, software engineering lifecycle, mining techniques improve, data software engineering, techniques software engineering, mining machine learning, data mining machine, discoveries text mining, text mining clustering
biomedical text applications, information extraction, obtained biomedical documents, extraction biomedical domain, svm information, extraction biomedical, support vector machine, text mining framework, use text mining, vector machine svm
sentiment analysis, sentiment analysis based, text mining investor, sentiment index based, stock price investor, tendency stock reviews, stock forum research, bsi investor sentiment, stock reviews, sentiment index
text mining, prominent fraudulent reviews, mining approach summarization, detection summarization honest, reviews filtering fake, fraudulent reviews, summarization labeled amazon, create product review, reviews using text, summary amazon reviews
monitoring road, java highway, road conditions, android users road, mining information displayed, road conditions real, java needed road, text mining information, text mining case, using text mining
using clinical terms, text mining, parallel text mining, text electronic health, text clinical notes, native lexicon simclins, health informatics clinical, health informatics, clinical terms applications, text mining using
text mining, inland watercraft risk, inland river collision, ship collision risk, maritime accident caused, text mining inland, collision accident inland, representing ship collision, factors corpus database, modeling ship collision
training set selection, text mining, prediction currency, currency market, news particular product, improve text mining, headlines evaluation proposed, euros based news, using training set, opinions news particular
summarization produce, text mining, concept text summarization, method used summarize, used summarize textual, summarization technique internet, information text summarization, summarization process, text summarization critical, summarize textual content
critical indicators classification, classes random forest, random forest outperform, classification related news, text mining combined, mining critical indicators, adopt text mining, demonstrates text mining, indicators classification related, market random forest
credibility events conducted, dataset corpus tweets, evaluating event credibility, achieves automatic credibility, assessing credibility, corpus tweets annotated, twitter events, popular twitter events, tweets annotated, human credibility judgements
performance individual engineers, development new systems, attributes systems engineering, 21st systems engineers, systems engineering skill, assess performance systems, engineers leading indicators, performance individual systems, systems engineering impact, systems engineer instrument
class crime algorithm, algorithm social media, classification tweet post, purpose detection crime, approach classification tweet, crime rate social, based text mining, crime rate, mining social media, used text mining
knowledge related input, multiple text mining, mining techniques, data mining recently, knowledge creation, data mining project, data mining analysis, knowledge creation process, knowledge emergence clearly, output knowledge emergence
perceived value based, value evaluation method, reviews understand product, text mining fuzzy, mining method fuzzy, product customer satisfaction, buy satisfactory product, comprehensive evaluation method, mining fuzzy comprehensive, quality perceived
graph concepts words, graph visualize, texts data based, visualize relationships, keyword graph support, texts extract opinions, text mining hk, tool text mining, graph hierarchical keyword, visualization method hk
korea meteorological, meteorological yearbook kma, yearbook korea meteorological, analyze improve meteorological, meteorological administration using, meteorological yearbook, weather status status, trends weather related, news weather status, meteorological services
identification text data, methods text mining, hidden danger text, research text mining, power grid safety, hazard identification text, danger texts finally, text mining existing, status text mining, mining technology grid
vector machine based, analysing text information, databases text unstructured, pattern classification paper, text mining growing, classification english texts, support vector machine, text unstructured, classification method, classification method esvmpcm
classification proactive, personality weibo text, proactive personality evaluated, classify individuals proactive, topic predicting proactive, personality text, predicting proactive, personality algorithms support, personality weibo, personality text mining
correlations rhythmicities terms, natural language processing, texts using natural, time series paper, analysis based time, preprocessing observed texts, correlations rhythmicities, texts using, time series model, text mining application
recorded cockpit voice, data mining technology, dialogue pilot deviation, cockpit voice recorder, mining dialogue, text data, text data mining, consistency detection recitation, cockpit voice, text processing technology
essential genes da, genes da g20, genes biocorrosion biofilm, srb genes, sulfate reducing bacteria, srb genes annotated, reducing bacteria srb, mining biological, known desulfovibrio alaskensis, desulfovibrio alaskensis
public opinion classes, researchers concluded svm, tweets indonesia november, text mining research, 217 tweets indonesia, based classification text, methods naive bayes, naive bayes support, classify public opinion, pandemic social media
perform text clustering, customer demand risk, electric power customer, text clustering analysis, oriented text mining, risk prediction model, regard risk prediction, prediction method electric, power customer demand, text mining technology
gene disease association, mining gene, information biomedical text, text mining process, association extraction methods, gene disease associations, itemset mining biomedical, frequent itemsets text, using frequent itemset, literature mining highly
promote social recommendation, geolocated collected social, information filtering, text mining techniques, social recommendation deficiencies, text mining research, location based, filtering location based, filtering location, problems social recommendation
text mining applications, ica algorithm superior, classification using particle, swarm optimization independent, optimization independent component, component analysis text, fastica text classification, particle swarm optimization, text classification compared, performance independent component
automating customer, claim registration, text mining machine, machine learning, improving customer, text mining paper, claim registration text, mining machine learning, customer claims improving, efficiency registering customer
text mining approach, text mining, opioid use problems, incidence opioid, long term opioid, compare incidence opioid, vs text mining, icd vs text, text mining vs, identify opioid
based heat index, disaster type elderly, text mining gis, gis based heat, swift disaster prevention, heat index analysis, threat news title, news title analysis, disaster type, mining gis analysis
transformer defects, rcnn networks supervised, construct text classification, transformer dictionary word, transformer based operation, training cnn rcnn, power transformers information, neural network bayesian, maintenance text mining, text classification model
effectively validate requirement, analysis specification elicitation, requirement elicitation step, validating requirement, requirement validation process, software requirement specification, automating requirement validation, analysis requirement elicitation, requirement engineering software, requirement specifications
classifying articles, specific ontology arabic, ontology arabic words, automatically classifying articles, ontology proposed algorithm, based textual data, classification text mining, algorithm arabic texts, text mining digital, arabic texts creating
latent dirichlet allocation, mining texts china, different topics policy, dirichlet allocation based, elderly care policy, embedded policy texts, care policy industry, chinese policy texts, texts intelligent elderly, mining texts
based text mining, sentence patterns translation, basis text mining, comparable corpus, text mining principle, chinese english comparable, machine translation, machine translation equivalent, extracted corpus extraction, text mining combining
text mining, students write summaries, text mining tool, summarization method, using text mining, supported writing summaries, graphs texts, extract graphs texts, summarization method based, writing summaries
fixing artifacts based, srs document application, text mining approach, especially software requirements, mining srs digibrary, developing software study, document consistency, diagrams text mining, software requirements specification, consistency contents srs
mining field pattern, pattern discovery technique, discovering patterns document, patterns finding relevant, text mining important, effective pattern discovery, text mining field, discovery text mining, text mining text, text mining defined
text data ideological, object educational text, sentiment analysis model, texts combining bert, sentiment analysis propose, educational text mining, modeling sentiment, bert fasttext, teaching text, bert fasttext development
endocrine qi deficiency, deficiency qi stagnation, chinese medicine syndromes, syndromes based text, constructed qi deficiency, related disease search, conclusion genes qi, qi stagnation genes, syndromes biological networks, biological distinctions qi
textual data text, mining techniques computational, text mining potent, term text, performance text mining, analyzing texts comparisons, mining package, study packages text, analysis packages text, processing information texts
association rule, determine concept keywords, new text association, hash table tree, semantic relation keywords, accuracy apriori algorithm, applied text mining, keywords fhar, apriori algorithm, novel text association
medicine texts adequate, history disease narrative, mining narrative, writings patients post, text mining narrative, mainly writings patients, narrative medicine nm, written covid 19, medicine texts, covid using text
evaluation combining text, text mining machine, methods modular policy, combining text mining, based text mining, assisting government policies, evaluation policy modeling, modular policy, government policies implementation, traditional policy evaluation
hadoop platform, mining educational, big data paper, educational literature big, mining educational literature, data hadoop development, hadoop development information, educational big, application big data, text mining technology
text mining, students submitted similar, text mining extract, results text mining, assignments students work, text mining formative, identify similarities students, grades text analyses, mining students final, students lab assignments
useful clustering, text mining applications, information text mining, mining text, information useful clustering, clustering text includes, mining text mining, clustering data mining, clustering purposes information, text clustering text
sentiment analysis clustering, review sentences sentiment, online hotel reviews, hotel reviews, hotel reviews big, techniques text mining, tourism industry text, destinations using sentiment, text classification technique, text classification
applications include metabolomics, ontologies scientific workflows, combination text mining, text mining qspr, business intelligence, metabolomics, molecules text, literature search combining, qspr ontologies scientific, enriched literature search
record ehr tutorials, data text mining, big data usability, capacity ehrs youtube, health informatics ehr, ehrs youtube, usability information, big data text, text mining content, youtube electronic health
identify business, business marketing different, 19 impact business, text mining, business intelligence covid, companies survive covid, exploring text mining, impact business environment, mining methodology, mining methodology analysis
structure national relations, study international relations, relations network development, based text mining, network based text, text mining rapid, understanding text mining, research international relations, globalization use text, relations network discusses
similarity student lecturer, text mining, analyzing text validation, learning recommendation systems, text mining analysis, forum online learning, similarity student, using lecture notes, discussion research carried, discussion forums substitute
classification international, better classification, learning international relations, international relations text, global information popularization, summarization text sorting, learning topic recognition, today text mining, text mining mainly, deep learning international
mining sentiment, text mining, predict financial stock, stock market behavior, sentiment analysis systematic, time series text, sentiment analysis applied, review predicting stock, years text mining, financial stock market
