English Grammar Books, English, English words, Century English grammar, Gutenberg Project, Grammar Books, English learning, Century English, named English, books named, Grammar, books named English
Text Mining, social media, Text Preprocessing, Text, Big Data Infrastructure, solve the problem, comment appearance, event and post, post own activity, Big Data, Data, Text Preprocessing Framework
Macau special, region policy, special administrative region, region policy addresses, aimed at analyzing, relationship of Macau, Support Vector Machine, Macau special administrative, applied the SVM, Macau, administrative region policy, analyzing the keywords
Text Mining, Text Mining Methods, Methods Traffic, Methods, Traffic safety, infrastructure or vehicles, city of Munich, Mining Methods Traffic, accident data, Methods Traffic safety, goals when designing, designing infrastructure
Text, Recognition Algorithm Based, affects scholars' cognition, Algorithm Based, text mining method, Text Naming Recognition, cognition and judgment, affects scholars', judgment of things, Text Naming, series of operations, Naming Recognition Algorithm
natural language, mine interactive text, processing technology, students posting, language processing technology, students' learning behavior, natural language process, improve the completion, Education data mining, analyze students' learning, homework effect, MOOCs interactive part
Text Mining, Combining Data, Analysis, text mining techniques, Text, Data Analysis Support, Mining, Data Mining, Combining Data Mining, Data Analysis, Data, Support by Combining
Text Mining, Machine Learning, Machine, Machine Learning Research, aims to identify, Analysis, Text, Learning Research, Mining, Learning, paper aims, Research
Case Study, Text Mining, Human Resources, supports Human Resources, Staff Perfomance Appraisals, mining based approach, Study The objective, Government Case Study, Human Resources Management, supports Human, text mining based, Palestinian Government Case
Text Mining, model to classify, aims to develop, text mining techniques, people management practice, Text, Mining, automatic model, people management, initial stage, stage and aims, classify
identification of scientific, text mining, challenging for researchers, scientific papers, identifies the context, algorithm, match their interests, context identification, text mining algorithm, agent-based text, papers, agent-based text mining
Text Mining, Mining Digitization makes, Recommendation System, Review Text-based Recommendation, inflation in recent, Text Mining Digitization, data inflation, Digitization makes data, Text-based Recommendation System, Recommendation, recent years, Digitization
Text Mining, Legal Texts Words, Texts Words, Analysis, Text, Text Mining tools, Legal, Words, amount of textual, text documents, Automatic Interaction Detector, Legal Texts
Terms of Methodology, Development Text-mining, attained the status, Text-mining, gaining popularity, status of cross-field, Methodology and Development, soft and hard, Terms, Methodology, Development, hard sciences
constitute a rich, owing to large-scale, digitisation efforts, diverse source, applying Optical Character, rich and diverse, increasingly readily, readily accessible, large-scale digitisation efforts, OCR, Optical Character Recognition, increasingly readily accessible
subject and scope, Thesis, development area, initial literature review, area, mining supporting initial, supporting initial literature, literature review, Text mining supporting, scope of interest, Text mining, searches to retrieve
Text Mining, significant portion, Nowadays, medical errors, False Positive Rate, misdiagnoses account, Positive Rate, portion of medical, Classifying Disease, Applying Text Mining, Symptoms Nowadays, Support Vector Machine
categorization and summarization, Automatic Text, meaningful information, Text, field that attempts, bring together meaningful, attempts to bring, information from natural, natural language text, derive the structure, Automatic Text categorization, Text categorization
questionnaire text mining, mining model building, Latent Dirichlet Allocation, improve Latent Dirichlet, text mining, text mining model, latent semantic analysis, LSA, open questionnaire based, based on LSA, LDA model, latent semantic
natural language, Conceptual Rule Mining, document, natural language processing, Conceptual Rule, Text, objectives of natural, sentence, conceptual, Mining, Text classification, significant objectives
Increased competitive pressure, extract the topic, competitive pressure requires, pressure requires companies, Innovation Potentials Increased, Increased competitive, shows the dependency, analyzing the document, Potentials Increased, Semantic Modelling, Potentials Increased competitive, Product Context
Text Mining Based, Defect Text, Equipment Defect Text, defect text records, grid equipment, power grid equipment, Power Equipment Defect, Word Discovery, Defect Text Mining, grid equipment operation, feature fusion Constructed, degree-degree of freedom
important task, approach Text clustering, ontology-based text-mining method, cluster based, information system, Text, group, cluster based approach, document clustering methods, text document clustering, intelligent information system, clustering methods attempt
extracting hidden, hidden predictive, technique of extracting, mining methods Data, methods Data mining, hidden predictive information, text mining, extracting hidden predictive, social, text, mining, social media
Text Mining, Data Mining Data, data mining research, Highly Cited Publications, Mining, Mining Data mining, Data Mining, Science Library Science, academic and indexing, Data, publishers for academic, Highly Cited
globe the possibility, development in online, predict criminal activities, exponential development, topics and eventual, share and communicate, possibility to share, information and ideas, Cybercrime profiling, Text mining techniques, ideas freely, online social media
text mining, Algorithm, Indonesian slang, Text, Indonesian Text, Stemming, stemming process, Mining Indonesian Text, text data, Indonesian, Indonesian stemming algorithm, Stemming Algorithm
Text Data Mining, large amount, text mining, Total Environment, knowledge, support users, discover or create, text, data, text data, mining, Constructing knowledge
information retrieval, retrieval research, strategic decision making, areas of information, idea, Idea mining, text, information retrieval research, research, mining, text Idea mining, interesting field
Text Mining, important factors, threatening the security, important factors threatening, Intelligent Prediction, Severity Level, factors threatening, XGBboost Vulnerabilities, information systems, Prediction of Vulnerability, Vulnerability Severity Level, Severity Level Based
Text Mining, Indonesian people, Indonesia, Pandemic, Perception and Mindset, world is busy, Text Mining Method, Mindset, Indonesian Ministry, People of Indonesia, Bayes Classifier method, Text Mining technique
Text Mining, Class Diagrams Based, SRS Penguin, Software requirement specification, Class Diagrams, Cohen Kappa, Sequence Diagrams, text mining method, Approach in SRS, SRS Penguin Software, Text Mining Approach, Penguin Software requirement
TCM Records Based, taking patients' TCM, Text Mining, key medicines, Traditional Chinese Medicine, identifying the key, Diabetes TCM Records, text mining methods, diabetes Traditional Chinese, Chinese Medicine, patients' TCM syndromes, Traditional Chinese
text data generated, large amounts, Internet, text mining, extracting previously unknown, unstructured text data, text, data, text data, mining, amounts of unstructured, high commercial
probabilistic classifier, large text, Extracting knowledge, identify the category, text mining, large text documents, text, taxonomy and domain, mining Text mining, text mining Text, indexes the document, ontology and datasets
input and evaluates, Text Mining, Feature extraction process, Evaluation, text mining process, Text, Natural Language, Natural Language Processing, extracting the word, Language Processing Model, Model Text mining, Processing Model Text
Generator From Paragraph, Keywords Generator, search engine, Text, Paragraph Text, related information topic, Mining in Bahasa, read related information, tend to read, reading a document, Bahasa Indonesia, Indonesia When reading
Text Mining, Project Management Problems, Text, lot of textual, Solve Project, analyzes the possibilities, Mining, text mining methods, Solve, Text Mining Technology, Solve Project Management, Technology to Solve
experts in seismology, Design for Storing, Seismic Event Characteristics, discovering knowledge, fundamental preliminary element, staff of Instituto, Storing Seismic Event, Opinion Mining Techniques, preliminary element, Escuela Politécnica Nacional, seismic events, element for discovering
Operational pattern revealing, results, methods, improve the effectiveness, pattern revealing, digital, pattern, pattern revealing technique, improve the discovering, digital form, Operational pattern, technique in text
Co-occurrence Based Term, Text Mining, lack of relationship, Machine Learning, term association method, evaluate the effectiveness, Machine Learning Algorithms, based text mining, Based Term Association, corpus is presented, problem of lack, computing term association
Social Media Twitter, Social Media, Government Drinking Water, Media Twitter, effective platforms, Text Mining Social, Customer Complaints Clusterization, Drinking Water, Clusterization of Government, Drinking Water Company, Water Company, platforms to communicate
term based, document, text mining, discovered patterns, term based approaches, pattern, relevant document, text, extract the patterns, pattern discovery, mining, improving the effectiveness
Chemical Text, Chemical, GPU accelerated Chemical, Text, environment Chemical Text, accelerated Chemical Text, disease and drug, Text mining tools, mining, Chemical Text mining, Text mining, reveal interesting patterns
Text Mining, educational material, Selection, case of large, achieving course specifications, Academic Course Topics, Topics based, Specifications Topics selection, manual work, Selection of Academic, topic selection approach, Text Mining Approach
changed the shape, information professionals, information, explosion and availability, Text, professionals, centres and nature, Information explosion, issues and challenges, mining, challenges Information explosion, Text mining
accumulated large number, Line Trip Filling, Trip Filling Text, trip provided text, distribution trip provided, strong subjective factors, text mining method, power distribution line, segmentation and part, speech and syntactic, Distribution Line Trip, Intelligent Mining Method
Text Mining, Rapid Miner, Nave Bayes Classification, Text Mining Processes, Miner The approaches, Text Classification Methods, Enhanced Text Classification, mining procedures, Weight Information Gain, Processes using Rapid, Information Gain, improves the accuracy
Text Mining, relevant literature studies, abstract and keywords, Mining Algorithm Optimising, includes the processes, Studies, language and abstract, Optimising the Determination, Text Mining Algorithm, Relevant Studies, literature studies, influences the identification
documents, Finding right documents, Finding, day, Text, unstructured documents, unstructured, day life, large collection, day to day, improve the output, Text mining
Sustainable Energy Development, United Nations proposed, promote sustainable, Sustainable, Development Goals, United Nations, promote sustainable development, Contextual Text Mining, Sustainable Energy, Sustainable Development Goals, Government Research Bulletin, Associative Analysis Framework
high technology, high technology companies, vital core, Integrated Text Mining, Knowledge-based Production, Knowledge-based Production Documentation, vital core resource, core resource, Production Documentation Analysis, landscape of high, Text Mining Architecture, Documentation Analysis
Language, analyzing of large, Text Mining, Turkish, Text, Tools Gigantic amount, Mining, Turkish Language, Big Data, Data Tools Gigantic, social media, Big Data Tools
natural language, major components, world developing countries, world developing, natural language processing, countries, developed countries, stock, components of economy, market, Dhaka Stock Exchange, stock market
approach Medical text, Text, Medical text mining, popularity in recent, statistical machine translation, Medical, gained increasing, return the similar, gained increasing popularity, recent years, Text mining, Medical text
Text Mining, Mining to Investigate, Investigate Undergraduate Research, Informatics Dept., Wacana Christian University, research topics written, Satya Wacana, text mining techniques, Undergraduate Research Topic, University Library, University Library database, Satya Wacana Christian
Text Mining, explosive growth, genomic text submitted, submitted by researchers, Gene Drug Association, data has lead, growth of genomic, literature of genomic, genomic data, Gene Drug, growth of published, Gene
Text Mining, identified the emerging, Country This paper, Decade Of Focal, Focal Development Trends, audio data sources, African Country, paper identified, video and audio, online and offline, based on online, African
Text Mining, Philippines, digital banking application, Text Mining Digital, Mining Digital banks, Digital Banking, Digital, started late, text mining methods, Analysing Digital Banking, Analysing Digital, Banking
text data mining, Digital Library collection, text analysis research, data mining research, Text, HathiTrust Digital Library, services for computational, tutorial will introduce, tools and services, Center, Research Center, HathiTrust Research Center
Text Mining, access the desired, foremost requirements, minimal effort, requirements of modern, undoubtedly the possibility, information, modern man, desired information, Python Libraries, man is undoubtedly, possibility to access
patterns or knowledge, non-retrieval patterns, Knowledge discovery, process of extracting, database refers generally, Knowledge, text, refers generally, textual database refers, mining, extracting interesting, interesting or non-retrieval
calculate the deep, Analysis Based, test the model, BERT model relies, BERT model, achieve bi-directional prediction, context-deep semantic mining, inadequate context-deep semantic, emotion classification model, classification model based, Based on XLNet-BiLSTM, dependency and inadequate
proposed to find, indirect significance, significance in understanding, Mining typos, paid to understanding, typos, text Most forms, text, humans interact, forms of text, understanding, understanding the occurrence
detect Indonesian swear, differentiate the real, nearest neighbor, Indonesian swear, Twitter Twitter, famous social media, Naive Bayes, Twitter, swear, social media, Indonesian, Naive Bayes classifier
ease of access, access to online, proposals Enabled, increased connectivity, connectivity and ease, Support Vector Machine, decision making, online services, participatory decision making, countries are moving, increasing number, moving towards participatory
infrastructure domain Eliminating, feature space, Optimal stop word, domain Eliminating, text mining, stop words, stop word selection, text, mining, Eliminating all stop, standard practice, text mining accuracy
Environmental Costs Expenditure, listed companies, Text Mining, management policy, policy and strategy, Costs Expenditure, text mining technique, Time Series Data, corporate management policy, corporate behavior, 2000-2011 in Japan, Environmental Costs
text mining, scientific communications, Expanding domain knowledge, full texts, domain knowledge, Part, Expanding domain, addressed repeatedly, literature review, abbreviation identification, Performing literature review, Expanding
Application, grammar, text mining, formal grammar, investigation of formal, text, mining, formal, ontology, Application of formal, describes an investigation, work describes
Online Sales, e-commerce is growing, Intelligent Analysis Mechanism, Industry Town, Sales, Intelligent Analysis, Online Sales Volume, Town Products Based, Volume of Leisure, Leisure Industry Town, Sales Volume, Industry Town Products
development of Internet, lot of redundant, rapid development, redundant information, Internet, information, Web mining technology, Web Mining, Network, entered an era, Web, information explosion
Text Mining, Text Mining Software, Word Stat, Applications Based, Text Analyst, mining software Text, Text, analyzes their characteristics, software Text, software Text Analyst, Mining, Analyst and Word
Representation Multidimensional knowledge, Multidimensional Knowledge Representation, Knowledge Representation, Multidimensional, integrative text mining, MKR knowledge base, Multidimensional Knowledge, Knowledge Representation Multidimensional, Knowledge, Text Summarization, Representation, Extractive Text Summarization
Language, Text Mining, Natural, Discourse, Processing, uncover linguistic structures, Natural Language, suite of Natural, Natural Language Processing, Mining Discourse processing, NLP, text mining applications
common situation, Text Mining, Algorithm Ask friends, Algorithm, Based, text mining method, Based on Text, Recommendation, virtual environments, Text Mining Algorithm, Peer Recommendation Based, daily life
Text Mining, history and research, research status, paper studies, Text Mining Technology, mining technology commonly, studies the development, War of Sun, show the key, Sun Tzu, development history, Art of War
Directorate General Mines, General Mines Safety, Non-Coal Mines Mining, Mining activities pose, Natural Language Processing, inherent risky nature, mine workers due, mine safety data, DGMS Fatality Reports, Indian Non-Coal Mines, Mines Mining activities, specific mine safety
Text Mining, show the potential, produced daily, Efficient and effective, gradient independent component, growing significantly, Natural Gradient, texts produced daily, Independent Component Analysis, Component Analysis Based, daily is growing, Natural Gradient Algorithm
Text Mining, major source, social media platforms, Health Social, Social, Health Social media, Social Media, data analytics, Media, Media Text Mining, recent years, Twitter and MedHelp
Text Data Mining, Developing a Taxonomy, Large Language Models, increased significantly, Text, Text Data, Roadmap, unstructured text data, Roadmap on Developing, Data Mining, Data, past decade
student evaluation comments, previous Likert scale, apply text mining, evaluation survey, Likert scale question-based, data mining techniques, data mining, extract knowledge, newly established, mining, comments, mining to extract
leap and bound, population are shifting, consumer, automotive products sales, growing by leap, shifting from lower-class, structural equation modeling, large portion, affluent consumer socioeconomic, automotive financing company, economy of Indonesia, consumer socioeconomic category
Text Mining, describing user preferences, big challenge, guarantee the quality, Text, popular text mining, Mining, discovered relevance features, Feature Discovery, Relevance Feature Discovery, challenge to guarantee, quality of discovered
Text Mining, integrated report summarizes, company future business, future business development, intellectual assets, Integrated Reports, management philosophy, represents the characteristics, Text Mining Technique, management vision, intangible assets, Universities' Integrated Reports
Traditional, Text Mining, Traditional Crafts, Crafts, Crafts based, users, local traditional, inheritance and innovation, Visualization System, Sentiment Analysis, specific traditional crafts, pursuit of craftsmanship
relevant information, discover relevant, transaction in addition, Text, huge amounts, Text Categorization, improves the performance, binary and cardinality, aims to discover, discover relevant information, Categorization Text categorization, information and relationship
Scholar or Microsoft, Google Scholar, popularized utilization, summarization of research, search engines, task of automatic, Microsoft Academic, Summarizing articles, academic search engines, researcher can conveniently, access is unlimited, Performing literature review
Text Mining, Survey Research, natural language processing, Text, Text Mining Text, Mining, text mining methods, popular research topic, Approach, Mining Text mining, Approach for Text, Fuzzy Approach
Text Data Mining, area in modern, text mining, Based, Text, Mining, NLP Based, Approach, processing, NLP Based Approach, NLP, vast area
affect the quality, consistent and objective, Text Mining, effectiveness and efficiency, efficiency of work, Natural Language, Natural Language Processing, maximized the effectiveness, Text Mining Method, education field, Automated Essay Scoring, work expecially
Hierarchical Text Clustering, considered when conducting, Hierarchical Text, Clustering and Categorisation, Text, results or extracting, text dataset, Categorisation, text documents, data mining study, achieving any results, extracting any hidden
satisfactory blood pressure, hypertensive patients, blood pressure control, patients maintain, traditional physical, blood pressure, hypertensive patients maintain, traditional physical therapies, maintain a satisfactory, challenge that hypertensive, world-wide challenge, analyzes the frequencies
text mining, qualitative, tool for qualitative, qualitative research, applied, text, research, education research, technique, mining, education, Qualitative research methodology
literatures of text, differentiation in focus, massive online reviews, viewing the literatures, seldom have researchers, text mining, found that seldom, preferences of e-cigarettes, text mining methods, utility of text, researchers studied, e-cigarettes based
Text Mining Based, Weight Method, Text Mining, Weight, Visualized Pattern Discovery, Pattern Discovery Model, Based on TF-IDF, TF-IDF Weight Method, discovery model base, Visualized Pattern, builds a visualized, TF-IDF Weight
extracting significant information, Text Mining, Analysis Textual content, extracting significant, Text, manner of extracting, Investigating the Benefits, Mining, Information Analysis Textual, large volumes, Benefits of Text, Textual content mining
Business, Web, Analytics Minitrack, Business Analytics Minitrack, Introduction to Data, Text, Web Mining, Mining for Business, Mining, Business Analytics, Data, Analytics
gaining grounds nowadays, Text Mining, Deep Learning Models, Learning Models Text, grounds nowadays, usage of heap, text mining technology, heap of resources, synthetic intelligence, business and analysis, Models Text mining, Enhancing Text Mining
acquire and discover, Deep Learning, knowledge formation, discover implicit knowledge, Text, technology can acquire, Learning, text information description, data mining technology, implicit knowledge, Text analysis Based, Text analysis
Language, Natural, patterns is called, text mining, elements in documents, Text, Natural Language, Natural Language Processing, Information, Language Processing technique, Information Extraction, called text mining
Google scholar, central repository, selection of pertinent, role in communication, manual knowledge, text-mining Background, scientific models, crucial role, plays a selection, knowledge is research, scientific PubMed, research publications
Text Mining, find the location, process of analysis, Analysis, text mining techniques, machine learning algorithms, Analysis Of Threats, Text, Mining Location-Based Modelling, Modelling And Analysis, Mining, Text Mining Location-Based
preserve and show, increasing of online, domain to preserve, online information, purpose of textual, textual information, extractive text summarization, identified the main, text, text summarization, extractive text, overview on extractive
Text Mining, analyze the cases, text mining techniques, Shimane University School, keywords they contained, efficiently analyze, University School, Incident Reports, Medical Incident, Medical Incident Reports, School of Medicine, Medicine Hospital
Text, develop decision support, Web Mining, decision support systems, Mining for Managerial, Decision Support Minitrack, Support Minitrack, Managerial Decision Support, Managerial, Data, Decision Support, Minitrack This mini-track
historical people, mining system, personage biographies, system for Taiwanese, study of history, important kind, Taiwan Biographical Database, text retrieval, TBDB, Taiwanese historical people, historical people Personage, retrieval and mining
text format, Text Mining, Intellectual Analysis, Analysis of Text, Information Categorization, categorizing data entering, entering the information, Text Data, Solving the Problem, Text Mining algorithms, problem of categorizing, Categorization The report
Substation Transformer Failure, Failure, Transformer Failure, occur in terms, Text, Analysis, Transformer Failure Analysis, power transformer systems, unseen outage, Transformer, Text Mining Transformer, unplanned or unseen
Radix Astragali, Single Chinese, Chinese herbal, traditional Chinese, Chinese herbal medicine, Single Chinese herbal, mining Single Chinese, Chinese medicine, herbal medicine, TCM, single CHM, traditional Chinese medicine
major benefits, copious amounts, form of texts, records to discover, effective method, discover new facts, facts on diabetes, web and medline, analyzing copious amounts, benefits of text, significant in detecting, medline medical records
Highway-Rail Grade, Crash Data, Railroad traffic safety, Highway-Rail Grade Crossing, Crossing Crash Data, Approach Railroad traffic, Mining Approach Railroad, highway-rail crossing crashes, Grade Crossing Crash, major worldwide concern, Grade Crossing, Text Mining Approach
time of networking, project, Internet, Wide Web, World Wide Web, Web design, Today, Web design elements, research, research project selection, Web, KNN Today
Data Mining Techniques, core research area, algorithms and frameworks, Exploring Research, emphasizes the practical, improve the efficiency, Apply Data Mining, Opportunities to Apply, Exploring Research Opportunities, Apply Data, Research Opportunities, Software Engineering
data mining applications, Mining Approach Today, Approach Today, Distinct Stages Framework, Stages Framework Data, Support Vector Machine, Data Mining, SVM Distinct, Research-Based Text Extraction, biomedical domain combined, Data Mining Approach, SVM Distinct Stages
Study of Relationship, Text Mining, Economics Stock Forum, Stock, Stock Price Based, Investor, sentiment index based, important influence, Investor Sentiment, Based on Text, Text Mining Investor, Stock Price
idea of giving, Text Mining, Honest, making business decisions, Summarization of Honest, online reviews, purchasing and making, making business, Reviews, Honest Reviews, Detection and Summarization, incredibly valuable
Case Study, East Java, Road, Road condition monitoring, location or destination, motor vehicle, reach a specific, condition monitoring application, text mining system, return home, Road condition, specific location
home community care, clinical notes, patient care, clinical, Text, health informatics, text in electronic, word Simclin frequencies, electronic health, health records, Text mining, electronic health records
reduce the dimensionality, Analysis Modeling, inland river collision, high-risk maritime accident, typical high-risk maritime, Yangtze River inland, River inland waterway, Risk Factors Analysis, Inland River Based, Inland waterway ship, River Based, Factors Analysis Modeling
headlines Nowadays, set selection methods, people opinions, development of technology, text mining, training set, improve text mining, training set selection, technology and social, significantly expanded, set selection, social media
Implementation, Real Life Implementation, Internet, Text Summarization Technique, indeterminate and ever-growing, Implementation of Text, Text, Life, Real Life, house of indeterminate, Text Summarization, ever-growing resource
stock market movements, movements Stock, Stock market, free market economy, market movements Stock, forest-text mining system, free market, growth of commerce, movements Stock Market, Stock market random, market, market random forest-text
Text Mining, social media platforms, platforms tend, Evaluating Event Credibility, contents of posts, Users on social, media platforms tend, Twitter Users, posts related, Evaluating Event, Text Mining Approach, tend to readily
desirable goal, Systems Engineering, integrate to achieve, contextual specificity, Systems, multiple complex systems, integration of multiple, Text Mining Technique, emergent mission, achieve an emergent, assess the performance, problem faced
Rate Detection Based, analitics and predictive, Regression Algorithm Social, Social Media, media recently, populer in Indonesia, Algorithm Social media, Based on Text, Logistic Regression Algorithm, Crime Rate Detection, Social media recently, Logistic Regression
SNS or BBS, Data Mining Recently, Text Data Mining, put their weights, Total Environment, Recently, Text, Text Data, Mining, Data Mining, Internet or comments, Data
Internet technology, Text Mining, service reputation, Fuzzy Comprehensive Evaluation, Quality Perceived, past ten years, Based on Text, Fuzzy Comprehensive, Perceived Value Based, ten years, application of Internet, Product Quality Perceived
lot of companies, grasp the outlines, Graph, free-texts data based, studies the effectiveness, words, questionnaire free-texts data, analytical support, companies carry, Hierarchical Keyword Graph, Keyword Graph, hierarchical graph structure
Korea Meteorological, storage of digital, Korea Meteorological Administration, algorithm The development, amount of textual, text-mining algorithm, textual data, enabled the storage, Internet and computer, textual data generated, data generated, forms of documents
grid hidden danger, observe the textual, Grid Safety Hazard, Power Grid Safety, power grid enterprises, safety hidden danger, Safety Hazard Identification, Power Grid, Hazard Identification Text, Text Mining Technology, explains the content, Identification Text data
Pattern Classification Method, Enhanced Support Vector, Vector Machine Based, Machine Based Pattern, Support Vector, English Texts Text, Based Pattern Classification, natural language text, Vector Machine, Texts Text mining, Support Vector Machine, Enhanced Support
Text Mining Based, Proactive Personality, Weibo Text, Text, Weibo text datasets, Short-Answer Questions Text, Proactive, Weibo, Questions Text, participants' Weibo text, Support Vector Machine, Questions
computing the correlations, Text analysis based, time series model, time series, searching and computing, high frequency appearance, rhythmicities of terms, application for searching, terms with high, high frequency, text mining application, paper presents
text data mining, reflect the extent, Cockpit Voice, cockpit voice recorder, voice recorder directly, realize the consistency, air traffic controllers, Cockpit Voice Based, data mining technology, traffic controllers recorded, recorder directly reflects, Text Processing Technology
access essential genes, unexpected behavioral change, essential genes, text mining, behavioral change, Desulfovibrio alaskensis, genes, survival and growth, result in unexpected, demand of abstraction, essential, interpretation of complex
Text Mining, Social Media Analysis, Social Media, analyze public opinion, text mining approach, aimed to analyze, situation in facing, Media Analysis, facing community restrictions, Support Vector Machine, Naive Bayes, Pandemic Social Media
prediction, electric power customer, risk prediction method, current decision tree, text mining technology, tree based electric, power customers' demands, based electric power, risk prediction, lack of effective, electric power, decision tree based
Biomedical, itemset mining Biomedical, Biomedical text, extraction, search tool, Biomedical text mining, process of extracting, mining Biomedical text, extracting high quality, mining, Literature search tool, high quality information
Machine Learning, based social networks, location based social, Hybrid model, Learning to extract, model for information, aiming to promote, Social Network, filtering in location, information filtering, Social Recommendation users, collate data geolocated
Optimization Independent component, Independent Component, Analysis, Text, Particle Swarm Optimization, attention in recent, Component, Independent Component Analysis, Text Classification, Independent, Swarm Optimization Independent, Component Analysis
Text Mining, Customer Claim Registration, call center, registering customer claims, Automating Customer Claim, improving customer satisfaction, efficiency of registering, call center agents, Customer, Claim Registration, machine learning, improving customer
long-term opioid therapy, diagnostic coding approaches, patients on long-term, Approach The aim, text mining, therapy using text, Identify Opioid, compare the incidence, Opioid Use Problems, ontologically identify, coding approaches, Text-Mining Approach
Utilizing text, living alone Korea, disaster prevention measures, vulnerable disaster type, Korea ’s increasing, GIS analysis, mining and GIS, increasing elderly population, necessitates swift disaster, prevention measures, Utilizing text mining, swift disaster prevention
Text Mining, Method of Main, Operation and Maintenance, Main Transformer Based, Diagnosis Method, including the establishment, optimize the hyper-parameters, Defect Diagnosis Method, Maintenance Text, learn the semantics, Defect Diagnosis, Maintenance Text Mining
Requirement, Text Mining, Requirement Specification, focus on obtaining, aims to propose, Validating Requirement Specification, highlights the potential, obtaining the users', Analysis Requirement elicitation, Mining Analysis Requirement, Text Mining Analysis, software developers focus
development of communications, media have produced, textual data mining, showed the effectiveness, communications and social, proposed algorithm, Lightweight Algorithm, digital revolution, Mining The digital, data mining, social media, produced billions
Dirichlet Allocation-Based Model, policy text mining, government policy inclinations, text mining, Elderly Care, Intelligent Elderly Care, Latent Dirichlet Allocation-Based, text mining model, Latent Dirichlet, China Intelligent Elderly, Elderly Care Policy, China Intelligent
Text Mining, machine translation platform, Machine Translation Equivalent, Chinese-English Comparable Corpus, Pairs in Chinese-English, Equivalent Pairs, control corpus, Machine Translation, Corpus based, Comparable Corpus based, Translation Equivalent Pairs, Extraction Method
Text Mining, text summarization method, Text Mining Tool, Support Text, extract graphs, presents a mining, supported the writing, paper presents, Support Text Summarization, Tool to Support, Mining Tool, tool helped students
