crude oil, ocean saturday, alaska, cleanup efforts, prince william sound, reef island, chief environmental officer, coast guard, miles long, gallons, wildlife-rich stretch, millions, spawning area, slow, dennis kelso
f-14 jet fighter, navy aircraft, coast guard, vessels today, atlantic ocean, crewman, north carolina, miles, el cajon, crewmate, hangar, san diego suburb, combat maneuvers, officials, people
national hurricane center, bob sheets, director, beat tuesday, interviews, multitude, questions, active tropical weather, reporters, large monitor, hurricane-force winds, march, sixth floor, schedule, morning
hurricane gilbert, winds, miles, barometric pressure, damage, mark zimmer, hour, western hemisphere, storms, category, air force reconnaissance plane, inches, tall chimney, mph, center
hurricane gilbert, record-breaking fury, caribbean islanders, sheets, barometric pressure, storm, cover, interviews, calm, large monitor, helm, inches, tuesday, center, director
nation, finance ministers, west berlin, developed, countries, brazil, african brothers, international economic relations, indebted, debts, world, western creditors, monday, operators, similar theme
canadian ben johnson, olympics today, drugs, dangerous, fastest, complete state, world, american carl lewis, shock, international competition, gold medal, prize, track, canada, dash
national hero ben johnson, canadians, tuesday, drugs, sports minister jean charest, canada, angry, anabolic steroids, sprinter, calgary, performance, great sorrow, alberta, outraged, sad
ben johnson, olympic gold medal, homecoming, drug test, seclusion, flight, boston globe, hero, welcome, illegal steroid stanzolol, sprinter, canada, canadians, dodged reporters, plane
ben johnson, olympic gold medal, canadian pride, nation hungry, hockey superstar wayne gretzky, drug scandal, stripping, john furedy, toronto, canada, hero, world record time, shame, larry heidebrecht, seconds
ben johnson, olympic gold medal, close, runner, steroids, astaphan, charlie francis, seoul, aware, sunday, therapist, interview, toronto star newspaper, positive, final
colossal tunneling machine, dover, long-distance rail travel, largest civil engineering project, white cliffs, time, napoleon, dream, london-paris journey, continental europeans, feet, colin kirkland, tracks, britain, true
hurricane joan, open caribbean today, mph winds, coast, storm, colombia, jim gross, forecasters, town, people dead, bolivar, state, unusual southern path, possible landfall, miles
diabetics, level, insulin secretion, hormone, disease, new zealand biochemist garth cooper, new treatments, amylin, type ii diabetes, pancreases, obesity, scientist, major contributor, effectiveness, research
strategic air command installation, b-52 bomber, crew members, radar navigator, spokeswoman, george peck, plane, landings, fair condition, pilot, mark hartney, anita bailey, weapons, touch-and-go, runway
city, fiery crash, saturday, national defense programs, people, popular support, remscheid, fire brigade leader berthold hoehler, construction worker, accident, low-level flight training missions, dieter wellershoff, house, body, west germany
yellowstone national park, house agriculture committee, hearings, one-third, west, de la garza, stubborn wildfires, area, people, chairman, major problem, drought-relief legislation, catastrophe, year, opinions
government, halt, panel, recommendations thursday, report, wilderness areas, co-chairman, moratorium, start, economic effects, secretaries, agriculture, fires, interior, agencies
pan american world airways flight, wednesday night, lockerbie, people, crash, scotland, developments today, glance, ground
ocean temperature abnormalities, drought, new computer study, equator, atmospheric research, midwest, authors, thursday, narrow band, high, year, jet stream, east coast, april-june period, northern half
routine training flight, plane, air force, pentagon, second crash, dan howard, pilot, a-10, morning, west german city, britain, raf bentwaters, chief spokesman, weeks, england
path guerrillas, capital, reactionary forces, slums, military, abimael guzman, bloody uprising, shantytowns, people, andes, mountains, years, peru, sendero luminoso, official figures
undamaged right engine, crashed boeing, pilot, flight crew, jet, authorities, investigators, plane, wednesday, inspections, clues, sunday, government, similar aircraft, airplanes
new year ushers, patti smith, unwelcome thought, cooke city, winter, silver gate, northeastern corner, firefighters, newspapers, lot, citizens, tiny suburb, snow, flame, fire
white policeman, don jackson, city council today, conduct, county prosecutors, sting saturday night, incident, investigation, plate-glass window, living room, nbc-tv news camera crew, sgt, long beach, happy, black hawthorne policeman
fair trading, giant de beers diamond organization, south africa, consolidated gold fields plc, office, monopoly, london, complaint, luxembourg-based minorco sa, tuesday, takeover bid, investigation, central selling organization, watchdog body, mergers commission
tornado, changeable spring weather, twisters, small area, america, record number, frequent thunderstorms, common, annual assault, month, winds, atmospheric research, north carolina, fatalities, interior hallway
earthquake, richter scale, considerable damage, magnitude, survey, nepal-india border, soviets, strength, people, main shock, additional, injuries, lives, larger areas, year
tuberculosis bacteria, drug abusers, people, aids virus, high risk, study, new england journal, hiv, medicine, doctors, recent years, health care workers, tb bacteria, methadone program, prevalence
solar telescopes, moon tuesday, flare-producing sunspots, views, silhouetted mountains, sun, types, crowds, california institute, western north america, percent, eclipse, ed krupp, people, technology
diabetes test, joanne pierluissi, tube, blood, daughters, form, small motor home, forearm, vein, nurse mary perez, sleeve, needle, texas, hispanics, disease
diabetes test, joanne pierluissi, tube, blood, daughters, forearm, nurse mary perez, vein, sleeve, needle, small motor home, hispanics, researchers, general population, form
scientists, total solar eclipse, clay tablet, years, reliable record, ancient observers, analysis, today, researchers, edwin krupp, syria, ugarit, british journal nature, fear, march
police racism, city, scuffle, john laux, civil rights, brutality, problem, allegations, recent protests, liberal, blacks, gleason glover, student, drug raid, interracial cooperation
largest oil spill, prince william sound, calm waters, ship, efforts, fishing industry workers, bligh reef, miles, early friday, united states, environmental conservation, gallons, valdez, ice, chunks
tanker, biggest oil spill, sunday, nation, disaster area, square miles, good friday earthquake, vessel, north slope crude, bridge, coast guard, valdez, captain, company, reef
tornado facts, national weather service, insurance information institute, april, mph, news accounts, record, miles, paths, average, frequent, month, june, illinois, missouri
exxon crews tuesday, crude oil, preparation, ship, vessel, sea otters, authorities, source, tanker exxon valdez, oil-catching boom, oily waste water, nation, spill, square miles, hours
alaskan coastline fouled, exxon officials monday, plan, miles, nation, alaska sites, cleanup, proposal, polluted, local environmental laws, largest oil spill, valdez, suspension, huge brown bears, sludge-covered beaches
exxon, alaskan oil spill, environmental disaster, plan, cleanup strategy, consumers, yost, miles, politicians, environmentalists, gas prices, national press club, washington, alaska, anger
tuberculosis rate, times higher, cdc, inmates, federal health officials, prisons, outside, disease control, thursday, isolation, centers, researchers, bars, large correctional systems, survey
atlantic hurricane season, opening, forecasters, thursday, arrival, coastal populations, bob sheets, florida, air force, crucial, west, storms, years, new technological help, heavy rains
major financial center, communist rebels today, police chief, herminio taylo, philippines, escalation, street violence, public market, makati, assassins, lydio zeta, 10th soldier, capital area, twin city, fruit
smoke saturday, wind, states, firefighters, acres, timber, homes, brush, fire, new mexico, west, utah, miles, spokesman arnold hartigan, california
higher humidity, western states, firefighters whip blazes, rain, creek, fish, acres, ash, officials, new mexico fire, biologists, hundreds, toby martinez, long-handled nets, pine ridge
new immigration bill, illegal aliens, census, house seats, process, states, senate, constitution, apportionment, person, congressional reapportionment, amendment, supreme court, question, senate debate
state constitutional amendment, guns, right, felons, edward brown, judge, perkins, arms, firearm, criminal threatening, citizens, charge, cumberland, prosecutors, friday
record-breaking fire season, western wildfires, dry august, acres, flare-up, sandi sacher, week, damage, candle, years, range land, firefighters, hardest-hit areas, idaho, drought
major issue, census, illegal aliens, states, military personnel, commerce department, constitution, people, residents, house seats, slow growth, congress, decision, national head count, losses
water wednesday, food, nearby islands, puerto rico, loose, eastern caribbean, residents, mph, forecasters, tape windows, barbuda, miles, san juan, winds, dean
wildfire command post, nation, west ablaze, summer, lightning, idaho, airplane, electricity, miles, fires, red chemical retardant, year, reed jarvis, strategists, max
maoist shining path guerrillas, upper huallaga river valley, local police, semi-refined cocaine, peru, drug abuse, rebels, revolutionary justice, villages, tingo maria, homosexuality, peasants, order, prostitution, cocaine-corrupted
satellites, supercomputers, information, storm, time, people plenty, radar, good idea, accuracy, emmanuel, hurricane, landfall, wind speed, forecasters, south carolina coast
hearings, police brutality, new mayor, black activists, younger daley, report, days, city, late father, fears, machine politics, nation, widespread segregation, minorities, racial issue
ben johnson, steroids, carl lewis, muscle-building substance, athletes, reporters, wrong, positive, mel levine, world-class sprinter, legislation, field, track, pedestal, abuse
major earthquake, san francisco bay area tuesday, highest probability, northern california, clarence allen, richter scale, report, strong quake, severe damage, magnitude, region seismologists, year, professor, structures, geology
major earthquake, solomon islands, damage, preliminary reading, richter scale, south pacific today, quake, injury, area, stronger, usgs spokesman don finley, immediate reports, saturday, increase, australia
tornado, rescue worker bob caraway, arc, huntsville, people, homes, apartments, shops today, city blocks, car, national guardsmen, far-flung property damage, dead, new jersey, twister
tornadoes, severe thunderstorms, hundreds homeless, wednesday, state-by-state look, people
slovenian presidency, slovenia, serbia, pro-serbian rally, northern republic, statement, economic contacts, friday, yugoslavia, political, liberal, ljubljana, regional autonomy, different, south
drought, politicians, washington, attention, largest disaster relief measure, america, associated press, money
farmers, disaster aid program, need, drought, four-part series, north dakota
black americans, tb bacteria, study today, systemic difference, arkansas department, disease, whites, genetic susceptibility, tuberculosis specialist, important reason, living conditions, health, percent, national institute, stead
aids patients, tuberculosis, new hope, dana-farber cancer institute, sten vermund, william haseltine, remission, people, substantial number, recent advances, vaccine, available, inner cities, possible, evidence
thomas, senate today, liberal, federal appeals judge, critic, equal employment opportunity commission, chairman, record, affirmative action, complaints, danforth, nomination, age-discrimination cases, quotas, people
wave-washed beach, tanker exxon valdez, helicopter, dead birds, joe bridgman, oil, wildlife populations, water, deep blanket, bald eagle, percent, alaska department, driftwood poke, silvery sticks, snow
tuberculosis, steady decline, percent, cdc, americans, whites, blacks, number, toll, threat, aids-infected, infection, federal health researchers, preventive therapy, bacteria
smithfield meat market, office building complex, central selling organization, throw, south africa, stone, sign, londoners, de beers, attention, wealthy oppenheimer family, jumpy guards, mounted cameras, year, heavy doors
mad cow disease, cattle, human health, ministry, sick animal, bse, export market, britain, remote risk, professor sir richard southwood, government, food, bovine spongiform encephalopathy, percent, university college
cleanup, exxon valdez oil spill, related developments, chronology
international community assistance, non-profit foundation, world poverty, founder, village banking, john hatch, body blow, bootstrap economics, private enterprise
actress elizabeth taylor, pneumonia, hospital, health center, stable thursday, miss taylor, chen sam, publicist, statement tuesday, new york city, associates public relations, inquiries, health problems, lisa del favaro, persistent fever
ill elizabeth taylor, pneumonia, hospital, condition late monday, breathing, miss taylor, doctors, ventilator, health center, intensive care unit, actress, family, best-actress oscars, analysis, hospital officials
elizabeth taylor, near-fatal bout, reporters, miss taylor, aids, actress, balcony attire, doctors, lung specialist, hospital courtyard, woods, statement, weintraub, jeopardy, camera crew members
presidential candidate carlos pizarro, government, drug traffickers, friday, assassination, telefaxed communique, police, colombia, terrorist acts, bogota airport, cardinal alfonso lopez trujillo, interior minister horacio serpa, responsibility friday, alvaro gomez hurtado, people
elections, assassination, leftist april, president virgilio barco, government, medellin, colombia, drug traffickers, pizarro, jetliner thursday, country, month, campaign, alvaro gomez, political chaos
elizabeth taylor, hospitalization, new infections, complications, fifth week, doctors, miss taylor, private room, intravenous therapy, death, suites, statement, pneumonia, michael wilding, friday
elizabeth taylor, pneumonia, hospital, doctors, treatment, viral pneumonia, death, complications, yeast infection, recovery, weeks, miss taylor, condition, april, fifth week
tuberculosis, percent increase, snider, director, persons, untreated, centers, year, international union, drug rehabilitation programs, epidemic, immune system, doctors, newark, paris
hurricane seasons, deadly storm, forecasters, bob sheets, south carolina, hugo, people, attention, worse, william gray, public, slosh models, director, unprecedented, myrtle beach
atlantic hurricane season, today, robert sheets, dire warnings, killer, destructive storms, south florida, atmospheric administration report, heavy rain, east, gulf coasts, caribbean, years, texas, hugo
path rebels, president alan garcia, lima, insurgency, urban, powerful car bombs, people, coastal cities, office july, weekend raids, government palace, defense revolutionary movement, tuesday night, peru, police
tornadoes, worst years, nation, frederick ostby, flooding, record, fewer deaths, warning, southern sections, middle, kansas, months, storms, july, people dead
republic, slovenia, state tanjug news agency, factual authority, monday, milan kucan, parliament, percent, sovereign state, yugoslavia, country, attributes, provinces, president, autonomy
largest current civil engineering project, britain, eurotunnel, europe, economy, tunnel, france, anglo-french company, napoleon, historic isolation, years, dream, passengers, london, day
communists, leaders, slovenia, state, yugoslavia, lawmakers, rival serbia, monday, kosovo, republic, ethnic albanian majority, loose confederation, sovereignty, independent legal system, armed forces
cloudy weather saturday, total solar eclipse, midnight sun, finnish, eastern finland, foreign skygazers, thousands, land, joensuu, helsinki, turn, weather forecast, extreme northern latitudes, miles, showers
316th air division, crash, military authorities, huge c-5a transport, sgt, equipment, persian gulf, west germany, people, cause, wednesday, mile, reservists, frankfurt, ramstein
farm empire, drought, crops, nation, years, commodity prices, heat, livestock, agriculture department analysis, bad, solvency position, drought region, information, production, usda
saudi arabia, fourth american aircraft, crash, c-5 jet cargo plane, crew members, region, today, helicopters, days, 48th tactical fighter wing, operation desert shield, equipment, monday, marines, f-111
operation desert shield, air force officials, pentagon, persian gulf region, accidents, safety awareness, crashes, aircraft, accidental deaths, saudi arabia, common cause, tanker planes, pilots, williams, noon local time
slain parliament speaker, security men today, state funeral, military parade, egypt, iraqi agents, rifaat el-mahgoub, assassination friday, cairo hospital, grim-looking president hosni mubarak, president anwar sadat, death toll, years, second-highest official, abu nidal
officer, young stockbroker, death, barnes, apartment, greg mills, racism, police, accidental, year, drunken driving, shooting, bedroom, bishop, spring
english channel, two-inch probe, tuesday, historic linkup, major turning point, britain, chalk, europe, tunnel, cost, france, massive boring machines, tiny hole, chunnel, yards
english channel, workmen, britain, historic linkup, engineering, tunnel, miles, europe, french colleagues, continent, prodigious feat, finance, france, inches, transmanche link
atlantic hurricane season, years, devastating storms, forecasters, usual, hint, frequent, batch, years past, decades, sahel, gray, forceful hurricanes, atmospheric science, today
moderate earthquakes, parts, new madrid fault, world, person, tremor monday, magnitude, case climatologist iben browning, quake, scientist, normal day, likely, richter scale, nuclear test, schools
slar eclipse, mexico, astronomers bill, sun worship, cabinet-level commission, states, century, july, tourism, populous regions, tourists, day, baja california sur, times smaller, moon
mad cow disease, zoo antelope, small herd, article type, feed, scientists, kudu, science editor, cso, nigel hawkes, english, text, strain, language, sheep
british agriculture, scientists, ban, disease, cow madness, magazine estimate, bse, animals free, new, farming industry, multi-million pound disaster, cattle, maff, creeping, ministry
presidential candidate, mexican institutional, luis donaldo colosio murrieta, assassination, today, gmt, revolutionary party, gortari, mar, people, prensa latina, reactions, mexican government, ruben zamora, spanish
peace agreement, shining path, main points, general, peruvian government, popular war, lima, prison, television, weapons, surrender, sunday review, program, life, support base
rafiq al-zayn report, beirut, arabic, bfn, secret meetings, article type, assassination, palestinian ahmad mahmud, coordination, al-rawdah camps, language, iran, abu-nidal group, month, lebanon
belgrade, yugoslav diplomats, normalization, slovenia, yugoslavia, relations, milan kucan, ljubljana, signal, article type, lojze peterle, foreign affairs, view, european, information
lengthy statement, summary, president, october, radio programs del peru, leadership, temporary tactical, document, opposition newspaper, january supplement, la republica, prominent anti-fujimori daily, government, paper, fujimori
path, subversion specialist carlos tapia, abimael, semi-legal party, proposal, government favor, opposition, reconciliation, country, shock force, popular movements, guzman reinoso, shining path faction, feliciano, beginning
seoul, joint, assassination, evidence, president pak chong-hui, text, paek tong-nim, yonhap, bfn, chong, martial law, key member, central, military-prosecution investigation team, october
crash, kadena air base, dfaa, safe, thorough measures, f-15 fighter, okinawa, briefing, command, defense facilities administration agency, april, japan, cause, aircraft, usfj
path central committee, peruvian state, conquer power, abimael guzman, war, great decision, people, peace accord, report, comrade feliciano, leaders, glorious actions, president gonzalo, document, lengthy citations
tuberculosis cases, latvia increases, number, data processing, anda mikelsone, past year, tuberculosis morbidity, mortality, article, mandatory treatment, inta pavlovska, text, riga, total number, registry
development, bank, ebrd, best, early 1980s, primary education, washington, institute, reconstruction, sub-saharan africa, president, investment, senior fellow, dollars, main innovation
negotiations, south african group, de beers, cso, world, value terms, cent, botswana, idc, country, diamonds, international cartel, uncut, political responsibility, worth
debt burden, statistics, governments, africa, loans, latin america, mr james skinner, interest, western commerce, local rulers, poorest, letters, conflicts, misuse, real factors
slovenia, central bank, foreign creditors, relations, mr marko kranjec, nby, debts, negotiations, dollars, new relations, independence, deposits, international monetary fund, yugoslavia, gdp
spongiform encephalopathies, mad cow disease, cattle, mr ron davies, condition, labour agriculture spokesman, scrapie, government, sheep, sparsely-scattered antelope population, britain, question, greater kudu, response, elands
brutal police forces, mr gates, country, violence, attack, poor black neighbourhoods, investigation, yesterday, political scandals, rioting, years, community, scale, week, firefighters
pact, prospects, nafta, north american free trade agreement, presidency, mtn coalition, congress, jobs, mexico, governor bill clinton, white house, resolution, assured, support, mr harry freeman
slovene enterprises, slovenia, alternative trading partners, cent, lost markets, european community countries, mr feri horvath, french car manufacturer, electrical goods maker, yugoslavia, foreign investment, electronic, war, meantime, means
world bank, poverty, operational directive, loan volume, country, mr lewis preston, strength, commitment, efforts, today, poverty reduction, mr preston, past best practice, president, link
hurricane andrew, louisiana, florida, unwelcome, signs, president, initial response, damage, power, devastated inhabitants, yesterday, emergency relief costs, political benefit, mr bush, federal emergency management agency
florida, dollars 6bn, president george bush yesterday, region, second visit, estimate, costliest disaster, damage, claims, result, year, figure, hurricane andrew, ruins, bulk
storm-battered louisiana yesterday, florida, workers, massive rebuilding effort, people, squads, main industries, residents, dozens, storm, dollars, new orleans, need, hurricane andrew, distribution problems
losses, dollars, general accident, british insurer, hurricane andrew, external catastrophe reinsurance covers, florida, total, certain claims threshold, mr nelson robertson, yesterday, information, company, louisiana, area
diamond industry, mr harry oppenheimer, de beers, diamantaire newsletter today, time, russia, big shake-up, visit, mr oppenheimer, moscow office, family, operations, republic, cso spokesman, rosalmazzoloto
insurers, hurricane andrew, severe damage, southern florida, yesterday, miles south-west, low-lying city, louisiana, dollars 1bn, new orleans, storm, monday, lloyd, landfall, senior member
damage, hurricane andrew, yesterday, southern florida, city, louisiana, monday morning, mississippi, new orleans, government officials, gulf, miles, devastating landfall, large lake, sunday
total losses, gulf, severe property damage, southern florida, hurricane andrew, pounds 3bn, mr justin balcombe, dollars 15bn, reinsurance, mexico, deaths, uk-based insurance adjuster balcombe group, lloyd, alabama, business interruption claims
greedy rush, unprecedented, angola, miners, canada, time, de beers, cso, diamonds, ironic, dollars, south african group, river levels, questions, cent
welfare programmes, president bill clinton yesterday, national governors, task-force, job training, association, days, new administration, work, requirement, people, measures, unemployed, mr clinton, health
independence, slovenes, slovenia, president milan kucan, croatia, prime minister, war, traditional importance, costs, slovenian coast- line, three-pronged coalition government, war-impoverished rest, peaceful, europe, balkan partners
bse, government veterinary, farmers, disease, mr peter warhurst, health experts, yesterday, cjd, humans, weeks, cases, incidence, chief medical officer, cattle, bovine spongiform encephalopathy
world bank president, poverty, mr lewis preston, performance, yesterday, development institution, progress, countries, poverty reduction, mr preston, economic safety nets, share, people, cent, benchmark
key hispanic groups, nafta, support, environment, competitive sectors, mr richard lopez, condition, canada, mexico, job growth, sides, leaders, southwest voter registration project, border, la raza
north american free trade agreement, nafta, mr ross perot, california, labour leaders, washington state, war, declaration, site, opposition, clinton administration weeks, perotistas, ms kathleen brown, signing ceremony, congressman
mr clinton, environmental activists, white house pomp, foot anti-nafta banner, north american free trade agreement, nafta, greenpeace, pact, widespread public hostility, week, guerrilla tactics, unfurl, pro-nafta congressmen, similar exploits, house hearing
man president bill clinton, free trade pact, washington, back-room political arm-twisting, ties, nafta position, task force, canada, younger brother, mexico, mr daley, labour, chief adviser, divided congress, experience
president bill clinton, pledge, taxes, fatherless children, government spending, urban decay, welfare, strict two-year time limit, popular lines, economic position, election campaign, idea, low-paid employment, solution, year
new wave, mad cow, second dairy farmer, public concern, bse, cjd, animals, year, prion, bovine spongiform encephalopathy, epidemic, government policy, features, disease, cattle
diamond business, river limpopo, zimbabwe, de beers, south african group, river ranch, carats, minerals, southern border, mr robin baxter-brown, dollars, site, new joint owners, world, beitbridge
white house lawn, nafta, political battles, republicans, fair trade campaign, north american free trade agreement, day, good measure, week, ms lori wallach, democrats, display, mexican, products day, bits
welfare benefits, pilot plans, time limit, president bill clinton, go-ahead, georgia, wisconsin, families, state, vermont, white house officials, mr clinton, florida, experiments, broader overhaul
welfare state, family support, elderly people, world, advanced capitalist economies, cent, responsible, number, significant factor, glue, years, demand, policies, gdp, germany
pro-nafta fold, north american development bank, clinton administration, congressman esteban torres, job losses, support, favourable constituent mail, projects, communities, nafta, white house, so-called nadbank, anti-nafta public opinion, north american free trade agreement, democrats
purchases, mr robert kennedy, republican senators, assassinations, long years, handguns, five-day waiting period, brady bill, government, rev martin luther king jr, measure, weapons, guns, gun control, background
virginia, mr ross perot, congressmen, nafta, office, companies, passionate opposition, north american free trade agreement, house, florida state university, union members, saturday, mexican workers, mexico, little competition
north american free trade agreement, stock markets, nafta, share prices, president clinton, good, congress, competitive forces, mexico, week, investors, wednesday, direct approach, treaty, blair house
debate victory, washington, texan billionaire ross perot, congressional districts, public opinion, company yesterday, congress, vice president al gore, nafta, mexico, day holiday weekend, members, pro-nafta forces, country, anti-nafta whip
cattle disease bovine spongiform encephalopathy, new research project, human beings, british beef imports, german government yesterday, bse, european union ban, launch, country, initiative, eu health ministers, conclusive evidence, tonnes, non-existent, germany
caribbean governments, canadian markets, central american, mr alexander watson, competitive mexico, proposals, north american free trade agreement, region, economic dislocation, free access, interest, washington, measures, state, assistant secretary
property market, house, le shuttle, prices low, channel tunnel open, kent, recovery, france, countries, office, starting signal, pounds, high, hesdin, wine society
british beef exports, ban, germany, mad cow disease, bse, fear, bovine spongiform encephalopathy, health ministers, live cattle, brussels today, bonn, strong backing, scientific evidence, commission, yesterday
north-west regions, belgium, new european metropolitan area, channel tunnel, mr anthony vande candelare, biggest ports, commerce, traffic, france, official opening, country, year, calais, potential, north
coastal tokai region, japan, tokyo, world, public, unusual phenomena, dense array, precursors, tidal movements, tectonic plates, geophysical instruments, earthquake, experts, gauges, meters
world, finsch, botswana, jwaneng, mr simon webb, south africa, gem, metres deep, remote-controlled lhd, underground development, value, general manager, present, diamonds, open pit
venetia, global diamond markets, quotas, general manager, gem stones, de beers, mr hans gastrow, south africa, production, turbulence, weeks, cent, output, seven-day working, botswana
mr ernesto zedillo, mexico, party, gulf drug cartel, political reactionaries, mr ruiz massieu, assassination, legal system, pri, country, doubts, federal deputy, killing, difficulties, strong links
los, fred nichols, law-and-order conservatives, activists, controversial videotape, sacramento, lawsuits, nerves press, atlanta, result, police, arm, cases, protesters, torque martial arts weapons
office, los angeles county district attorney, don jackson, incident, mark dickey, plate glass window, tuesday, black man, old clothes, routine traffic, curt livesay, jeff hill, civil rights, fbi, spokesman fred reagan
canyons, landscaping, firescapes demonstration garden, chaparral, owen dell, hills, desirable places, properties, california poppies, homes, homeowners, house, zone, plant, wildfire
total, fourth quarter, earnings, estimate, exxon, year, wednesday, new york, second quarters, analysts, one-time gain, company, charge, costs, gas prices
right, guns, militia, don kates, second amendment, parade magazine, semi-automatic weapons, registration, constitution, bill, handgun, purpose, good, people, time
ben johnson, disgraced olympic sprinter, personal physician, stanozolol, toronto star newspaper, astaphan, steroid, occasion, carl lewis, months, today, telephone interview, caribbean island, rivalry, commission counsel robert armstrong
white long beach police officer, black man, plate-glass window, television crew, arrest, jackson, dickey, friday, boatwright, incident, errors, hearing, testimony, little faith, hours
carl lewis, ben johnson, performance-enhancing drugs, world, anabolic steroid stanozolol, athletes, francis, urine samples, innuendo, gold, sport monday, drink, allocation, canadian inquiry, seconds
sprinter ben johnson, canadian coach charlie francis, seoul olympics, urine, lynda huey, sample, steroid, acquaintance, positive, drug, clean, nbc-tv, test, physical therapist, american athletes
long beach-bound exxon oil tanker, reef friday, alaska, sea, marine birds, prince william sound, cleanup, gallons, wildlife service, report, coast guard, tourists, environmentalists, whales, pristine pacific waterway
exxon valdez, sea otters, rescue birds, tanker, frank iarossi, pristine prince william sound, coast guard, efforts, disaster area, waters, rocks, available, wildlife experts, ship, separate accidents
exxon salvage crews, new, wednesday, criminal charges, sea, joseph hazelwood, hours, coast, long island suburb, authorities, reef, ship, problem, close watch, oil
exxon valdez oil spill disaster, safety, federal officials, steve cowper, thursday, public antipathy, terms, owners, order, autopilot, hours, electronic navigation aid, possibility, trans-alaska oil pipeline, companies
marathon, abebe bikila, joan benoit samuelson, ethiopian runners, seconds, ingrid kristiansen, mile, ethiopia, juma ikangaa, physical problems, early, sunday, mekonnen, race, monday
los angeles county district attorney, office, practices, addiction, elizabeth taylor, report, painkillers, rehabilitation clinic, prescribing, friday, alternative means, therapy, treatment, allegations, investigation
mad cow disease, cattle, human, ministry, sir simon gourlay, sick animal, bse, export market, remote risk, britain, food, government, bovine spongiform encephalopathy, farmers, agriculture
elizabeth taylor, lung biopsy, prepared statement, pneumonia, hospital, academy award-winning actress, ventilator, physicians, doctors, condition, problem, monday, lisa del favero, cause, surgery
liz taylor, giddy tabloids, rumors, hospital stay, addiction, drugs, latest bout, doctors, star, reports, news, field day, aids, pneumonia, michael roth
valdez, alaska, bills, coast guard, saturday, package, complete cleanup, impossible, fouled prince william sound, juneau, day, time-consuming repairs, house, water, chamber
