oil traffic, prince william sound, alaska, chief environmental officer, miles long, biggest oil spill, ocean saturday, cleanup efforts, tanker exxon valdez, reef island, coast guard, dennis kelso, spawning area, crude oil, slick
hearings, house agriculture committee, fire fighting policies, de la garza, yellowstone national park, area, forest service, forest fire practices, people, stubborn wildfires, drought-relief legislation, one-third, west, chairman, year
fires, national parks, panel, forest fire policy, fire management plans, recommendations thursday, report, wilderness areas, halt, park boundaries, western fire season, government, nearby national forests, economic effects, agencies
pan american world airways flight, wednesday night, lockerbie, people, crash, scotland, developments today, glance, ground
drought, atmospheric research, low pressure centers, north america, ocean temperature abnormalities, national center, narrow band, high, computer, pacific ocean, weather patterns, new computer study, authors, northern half, equator
a-10, second crash, plane, dan howard, thunderbolt jet, air force, pentagon, 81st tactical fighter wing, pilot, raf bentwaters, chief spokesman, weeks, routine training flight, aircraft, dummy bombs
path guerrillas, abimael guzman, maoist rebels, people, rebel movement, capital, lima, slums, shantytowns, reactionary forces, peru, public support, sendero luminoso, andes, economic collapse
cfm56 engines, crashed boeing, undamaged right engine, investigators, jet, flight crew, authorities, flight deck, pilot, similar aircraft, engine monitoring systems, pilot kevin hunt, inspections, wrong engine, wednesday
forest fires, yellowstone national park, winter, cooke city, patti smith, residents, small montana tourist town, new wildfire season, cabins, newspapers, silver gate, small motel, firefighters, lot, hunting season
don jackson, long beach, police chief, office, off-duty black policeman, los angeles area, investigation, incident, sgt, city council today, national news monday night, alleged police racism, plate-glass window, police department, black hawthorne policeman
giant de beers diamond organization, fair trading, consolidated gold fields plc, central selling organization, interested, office, monopoly, south africa, london, luxembourg-based minorco sa, london-based diamond cartel, complaint, british mining concern, takeover bid, company
tornado, normal tornado deaths, twisters, year, small area, nation, national severe storms forecast center, record number, common, changeable spring weather, frequent thunderstorms, long-term average, fatalities, national weather service, month
earthquake, earthquake-related death toll, richter scale, magnitude, considerable damage, survey, soviets, nepal-india border, people, exact toll, strength, recent, main shock, armenia, significant
people, tuberculosis bacteria, aids virus, study, new england journal, high risk, tuberculosis infections, percent life-long risk, medicine, activation, hiv, drug abusers, doctors, drug addicts, recent years
moon tuesday, partial solar eclipse visible, solar telescopes, percent, sun, views, silhouetted mountains, crowds, flare-producing sunspots, western north america, ed krupp, partial eclipse, california institute, giant group, caltech
diabetes test, hispanics, joanne pierluissi, mexican-american, small motor home, researchers, type ii diabetes, disease, americans, percent, diabetes studies, family, diets, form, tube
diabetes test, hispanics, americans, joanne pierluissi, tube, general population, texas, researchers, percent, form, blood, nurse mary perez, sleeve, forearm, daughters
total solar eclipse, clay tablet, years, researchers, scientists, reliable record, ancient observers, edwin krupp, today, analysis, ugarit, british journal nature, syria, march, university
police, john laux, city, downtown hotel, officers, department, blacks, drug raid, progressive attitude, problem, scuffle, police racism, van hayden, recent protests, minneapolis
tanker exxon valdez, oil, prince william sound, ship, early friday, bligh reef, spill, largest oil spill, calm waters, officials, fishing industry workers, united states, miles, richard golob, gallons
oil, tanker exxon valdez, biggest oil spill, sunday, disaster area, square miles, coast guard, once-pristine prince william sound, fishermen, bridge, alaska, nation, joseph hazelwood, captain, federal disaster declaration
tornado facts, national weather service, insurance information institute, april, news accounts, mph, record, miles, paths, average, frequent, month, june, illinois, large hail
tanker exxon valdez, worst-ever oil spill, crude oil, exxon crews tuesday, ship, preparation, vessel, fugitive captain, nation, square miles, oil-catching boom, feet long, alaska, source, joseph hazelwood
exxon tanker, miles, oiled coastline, largest oil spill, cleanup, alaska sites, plan, valdez, alaskan coastline fouled, nation, exxon officials monday, park superintendent ray bane, huge brown bears, polluted, prince william sound
exxon, oil giant, spill, oil company, cleanup strategy, boycott, miles, tanker exxon valdez, alaska, yost, national press club, gas prices, plan, alaskan oil spill, consumers
tuberculosis cases, inmates, states, cdc, prisons, tuberculosis rate, testing, disease control, new jersey, large correctional systems, times higher, centers, federal health officials, infection, survey
hurricanes, atlantic hurricane season, forecasters, satellite, bob sheets, florida, weather service, hurricane reconnaissance flights, hurricane center, storms, data, years, air force, heavy rains, hurricane activity
police chief, herminio taylo, assassins, major financial center, communist rebels today, makati, rebel new people, 10th soldier, lydio zeta, capital area, street violence, philippines, public market, manila, twin city
big fires, smoke saturday, acres, utah, wind, california, day, wyoming, new mexico, arizona, homes, fire crews, washington, miles, interior alaska
fire, firefighters, firefighters whip blazes, creek, new mexico fire, acres, higher humidity, gila trout, today, officials, fish, lightning-caused divide fire, small fires thursday, rain, gila national forest
illegal aliens, states, house seats, census, amendment, senate, illegal residents, apportionment, shelby, constitution, person, new immigration bill, process, congressional reapportionment, large numbers
right, maine legislators, amendment, state constitutional amendment, guns, edward brown, felons, arms, charge, possession, perkins, citizens, judge, firearm, criminal threatening
fire, record-breaking fire season, dry august, sandi sacher, acres, western wildfires, officials, forest, years, yellowstone national park, range land, hardest-hit areas, firefighters, week, drought
illegal aliens, states, census, house, house seats, military personnel, major issue, people, constitution, slow growth, residents, national head count, census officials, commerce department, losses
second hurricane, hurricane dean, national weather center, water wednesday, puerto rico, atlantic season wednesday, loose, food, tropical storm, mph, tape windows, forecasters, barbuda, leeward islands, nearby islands
fire officer, nation, wildfire command post, center, airplane, line, boise interagency fire center, miles, idaho, lightning, year, summer, equipment, acres ablaze, strategists
maoist shining path guerrillas, rebels, path political officer, peru, upper huallaga river valley, officials, coca production, revolutionary justice, villages, drug abuse, local police, tingo maria, homosexuality, drug consumption, largest source
satellites, destructive path hurricane hugo, hurricane tracking, forecasters, national hurricane center, time, supercomputers, meteorological conditions, south carolina coast, people plenty, models, computer models, storm, information, forecasting changes
third-largest city, new mayor, black activists, younger daley, police brutality, nation, report, hearings, fears, machine politics, widespread segregation, minorities, racial issue, poice department, old wounds
ben johnson, steroids, carl lewis, muscle-building substance, reporters, mel levine, gold medal, legislation, wrong, positive, world-class sprinter, high school, field, track, pedestal
strong quake, earthquake, northern california, clarence allen, probability, area, report, highest probability, magnitude, major earthquake, richter scale, san francisco bay area tuesday, southern santa cruz mountains, san andreas fault, widespread heavy damage
earthquake, solomon islands, damage, major earthquake, richter scale, preliminary reading, quake, stronger, area, magnitude earthquake, usgs spokesman don finley, south pacific today, early seismograph readings, saturday, injury
tornado, people, apartments, city blocks, car, homes, new jersey, power lines, huntsville, national weather service, dead, twister, states, huntsville police maj, far-flung property damage
tornadoes, severe thunderstorms, hundreds homeless, wednesday, state-by-state look, people
slovenia, serbia, pro-serbian rally, northern republic, friday, yugoslav federation, economic contacts, decision tuesday, slovenian authorities, slovenian presidency, serbian politicians, political, serbian action tuesday, yugoslavia, ljubljana
drought, politicians, washington, attention, largest disaster relief measure, america, associated press, money
farmers, disaster aid program, need, drought, four-part series, north dakota
whites, blacks, study today, tb bacteria, infection, systemic difference, tuberculosis specialist, black people, disease, nursing homes, percent, genetic susceptibility, health, stead, prisons
aids patients, tuberculosis, vaccine, sten vermund, resurgent epidemic, william haseltine, dana-farber cancer institute, substantial number, allergy, remission, recent advances, inner cities, available, new hope, aids-related infections
thomas, senate today, liberal, equal employment opportunity commission, federal appeals judge, critic, chairman, affirmative action, record, complaints, danforth, nomination, age-discrimination cases, people, quotas
wave-washed beach, oil, spill area, tanker exxon valdez, wildlife populations, joe bridgman, percent, bald eagle, water, worst oil spill, seabirds, sound, alaska department, helicopter, deep blanket
percent, aids, tuberculosis, higher rates, cdc, average annual decrease, blacks, whites, tb patients, new tuberculosis cases, fewer tb cases, number, americans, tb treatment, body susceptible
de beers diamond empire, central selling organization, diamond business, south africa, percent, world, london-based marketing arm, wealthy oppenheimer family, rough diamonds, double-digit price increases, black majority, smithfield meat market, producers better terms, year, sales
disease, cattle, sick animal, human health, agriculture, bse, sheep by-products, britain, food, government, british province, report, farmers, ireland, brains
cleanup, exxon valdez oil spill, related developments, chronology
international community assistance, non-profit foundation, world poverty, founder, village banking, john hatch, body blow, bootstrap economics, private enterprise
taylor spokeswoman, hospital, health center, chen sam, miss taylor, stable thursday, pneumonia, actress elizabeth taylor, associates public relations, lisa del favaro, new york city, inquiries, publicist, statement tuesday, health problems
miss taylor, breathing, hospital, doctors, ventilator, pneumonia, ill elizabeth taylor, health center, condition, family, condition late monday, intensive care unit, pneumonia patient, proper levels, actress
elizabeth taylor, near-fatal bout, reporters, miss taylor, aids, actress, balcony attire, lung specialist, doctors, hospital courtyard, woods, statement, weintraub, jeopardy, camera crew members
assassination, pizarro, presidential candidate carlos pizarro, friday, government, police, colombia, responsibility friday, medellin drug cartel, thursday, drug traffickers, cardinal alfonso lopez trujillo, telefaxed communique, bogota airport, liberal party
candidate carlos pizarro, president virgilio barco, colombia, assassination, government, country, medellin, drug traffickers, liberal party, alvaro gomez, jetliner thursday, armed forces, shooting, political chaos, campaign
elizabeth taylor, hospitalization, pneumonia, fifth week, new infections, complications, doctors, miss taylor, private room, intravenous therapy, death, suites, hospital spokeswoman paulette weir, bacterial pneumonia, statement
elizabeth taylor, pneumonia, fifth week, hospital, doctors, treatment, bacterial pneumonia, viral pneumonia, yeast infection, death, complications, miss taylor, recovery, setback, april
tuberculosis, aids virus, tb cases, victims open, new health threats, percent increase, lung disease, tb infection, americans, disease control, alarming health officials, snider, director, immune system, persons
hurricane seasons, bob sheets, storm, forecasters, florida coast, hugo, national hurricane center, people, william gray, deadly storm, director, south carolina, atlantic hurricane season, population, attention
hurricane, robert sheets, national hurricane center, hurricane gilbert, emergency planning, hugo, atlantic hurricane season, texas, caribbean, destructive storms, people, south florida, atmospheric administration report, categories, long-term trends
president alan garcia, lima, shining path safe houses, powerful car bombs, people, path rebels, weekend raids, insurgency, wednesday, government palace, defense revolutionary movement, coastal cities, tuesday night, rebel attacks, guerrilla safehouses
tornadoes, worst years, frederick ostby, flooding, storms, fewer deaths, record, national severe storms forecast center, southern sections, kansas, warning, july, middle, longer range computer forecasts, months
republic, slovenia, federal, slovenian presidency, state tanjug news agency, constitution, monday, yugoslavia, new yugoslav confederation, sovereign state, milan kucan, factual authority, serbia, parliament, yugoslav federation
tunnel, british deputy chairman, eurotunnel, project, britain, chunnel, anglo-french company, french, high-speed rail link, state-owned british rail, alastair morton, passengers, london, france, government
slovenian declaration, slovenia, state, rival serbia, yugoslavia, federal authorities, republic, slovenian control, monday, loose confederation, kosovo, state media, prosperous northern republic, communists, armed forces
midnight sun, cloudy weather saturday, finnish, eclipse, eastern finland, total eclipse, total solar eclipse, foreign skygazers, joensuu, land, thousands, helsinki, extreme northern latitudes, television news, miles
wednesday, crash, sgt, ramstein air base, air force, cargo plane, persian gulf, military authorities, people, equipment, massive aircraft, frankfurt, reservists, 433rd military airlift wing, mile
farm empire, drought, severe drought region, years, crops, detailed income, nation, agriculture department analysis, information, heat, solvency position, annual farm costs, livestock, states, bad
fourth american aircraft, saudi arabia, crash, crew members, northern arabian sea, helicopters, region, 48th tactical fighter wing, days, monday, operation desert shield, today, equipment, c-5 jet cargo plane, marines
air force officials, accidents, operation desert shield, flights, persian gulf region, regular training flight schedules, pentagon, crashes, aircraft, hours, safety awareness, saudi arabia, tanker planes, noon local time, spokesman
rifaat el-mahgoub, assassination friday, second-highest official, state funeral, security men today, iraqi agents, grim-looking president hosni mubarak, islamic extremists, military parade, president anwar sadat, death toll, government, egyptian moslem fundamentalists, red-bereted military police, funeral procession route
officer, police, barnes, apartment, police chief steven bishop, innocent man, death, greg mills, alleged excessive force, racism, kansas city police officers, black citizens, year, white, good
costliest tunnel, workers, two-inch probe, officials, historic linkup, english channel, construction consortium, europe, tiny hole, british terminus, massive boring machines, french colleagues, chunnel, tuesday, britain
tunnel, british workers, english channel, probe, drilling, engineering, high-speed trains, europe, historic linkup, britain, construction consortium, french colleagues, miles, inches, construction union official
devastating storms, years, atlantic hurricane season, forceful hurricanes, years past, forecasters, normal rainfall, frequent, hugo, gilbert, destructive atlantic hurricanes, batch, usual, hint, sahel
moderate earthquakes, parts, quake, new madrid fault, person, considerable damage, world, magnitude, area, national earthquake information center, case climatologist iben browning, tremor monday, richter scale, nuclear test, new marid
slar eclipse, mexico, sun worship, astronomers bill, states, path, july, century, tourists, cabinet-level commission, day, baja california sur, tourism, populous regions, moon
mad cow disease, disease similar, zoo antelope, kudu, article type, scientists, london zoo, small herd, infection, infective agent, science editor, cso, nigel hawkes, transmission, animals
british cattle, disease, cow madness, animals free, british agriculture, bse, farming industry, scientists, ministry, ban, european governments, maff, population, sheep, feed
assassination, colosio, colombian government, presidential candidate, mexican institutional, luis donaldo colosio murrieta, revolutionary party, today, gmt, news media, gortari, mar, people, president, prensa latina
peace agreement, shining path, peruvian government, main points, popular war, amnesty, lima, television, prison, surrender, sunday review, weapons, program, life, general
prominent frc official, abu-nidal group, investigation, lebanese security, authorities, beirut, assassination, mobilization youth organization, rafiq al-zayn report, jordanian fundamentalist elements, imyo, jordan, information, al-rawdah camps, fundamentalist organizations
slovenia, yugoslavia, yugoslav diplomats, relations, belgrade, official slovene, slovene capital, foreign affairs, statements, yugoslav newspapers, milan kucan, normalization, attitudes, minister, extreme policy
imprisoned shining path, peace, path leader abimael guzman, alberto fujimori, document, la republica, leadership, lengthy statement, summary, october, january supplement, government, path statement, paper, retreat
subversion specialist carlos tapia, shining path faction, guzman reinoso, abimael, second party congress, government favor, opposition, edmundo cox beuzeville, proposal, country, shock force, reconciliation, negotiations, popular movements, feliciano
chong, joint, commander, paek tong-nim, evidence, assassination, seoul, team, military-prosecution investigation team, assassin kim, prosecution, martial law, president pak chong-hui, key member, army chief
crash, kadena air base, dfaa, f-15 fighter, okinawa, management, briefing, defense facilities administration agency, command, thorough investigation, april, cause, aircraft, japan, safe
path central committee, war, shining path congress, people, meeting, path pamphlet, great decision, abimael guzman, leaders, operational capacity, report, president gonzalo, alternate members, new phase, party
tuberculosis cases, tuberculosis morbidity, latvia increases, number, data processing, past year, mandatory treatment, state tuberculosis, inta pavlovska, mortality, anda mikelsone, medical legislative proposal, text, article, present time
bank, mr lewis preston, countries, development, early 1980s, huge debt, investment, project lending, private debts, ebrd, mr barber conable, primary education, mr john williamson, world development report, international economics
botswana, diamonds, cso, market, de beers, rough, new contract, exclusive sales contract, idc, important diamond producer, country, production, botswana stones, south african group, output
african debt, poor countries, governments, africa, debt burden, latin america, statistics, interest, loans, mr james skinner, conflicts, poorest, bulk, letters, real factors
central bank, slovenia, debts, foreign exchange deposits, slovene citizens, nby, unallocated yugoslav federal debt, relations, officials, negotiations, mr marko kranjec, dollars, mr andrej klemencic, independence, croatia
mad cow disease, spongiform encephalopathies, sheep, cattle, mr ron davies, condition, labour agriculture spokesman, scrapie, government, question, sparsely-scattered antelope population, britain, number, rapid increase, response
mr gates, los angeles police department, high-ranking commission, violence, poor black neighbourhoods, office, police force, investigation, controversial police chief, political scandals, attack, police conduct, brutal police forces, police officers, community
nafta pact, presidency, jobs, congress, mexico, north american free trade agreement, prospects, white house, democratic leadership, powerful texas democrats, labour rights, issue, governor bill clinton, support, capitol hill
slovenia, cent, lost markets, european community countries, exports, slovene enterprises, electrical goods maker, trade links, mr feri horvath, slovene imports, french car manufacturer, alternative trading partners, foreign investment, war, electronic
world bank, poverty, loan volume, country, mr lewis preston, poverty reduction, new drive, strength, commitment, operational directive, efforts, effective policies, today, past best practice, mr preston
president george bush, hurricane andrew, florida, mr bush, re-election campaign, mr bill clinton, emergency relief costs, white house chief, louisiana, initial response, devastated inhabitants, brief address, mr james baker, yesterday, americans
insurance claims, property claims services division, president george bush yesterday, dollars 6bn, industry, region, hurricane, catastrophe services, florida, hurricane andrew, second visit, costliest disaster, figure, ruins, damage
florida, people, louisiana state officials, federal emergency officials, local officials, hurricane andrew, storm, residents, alligators, dollars, storm-battered louisiana yesterday, distribution problems, need, transportation secretary andrew card yesterday, massive rebuilding effort
losses, dollars, general accident, british insurer, hurricane andrew, external catastrophe reinsurance covers, florida, certain claims threshold, total, mr nelson robertson, yesterday, information, company, louisiana, level
mr harry oppenheimer, diamonds, de beers, diamond industry, diamantaire newsletter today, russian gold, moscow office, russia, five-year sales contract, cso spokesman, time, big shake-up, present market turmoil, mr oppenheimer, dollars 5bn
severe damage, southern florida, insurers, miles south-west, low-lying city, dollars 1bn, louisiana, new orleans, storm, yesterday, monday, hurricane andrew, lloyd, senior member, landfall
dollars 20bn, southern florida, hurricane andrew, louisiana, damage, yesterday, insurance industry analysts, texas yesterday, mississippi, government officials, new orleans, gulf, emergency services, property damage, storm
pounds 3bn, business interruption claims, total losses, insurance market, dollars 15bn, gulf, mr justin balcombe, lloyd, mexico, outlying eastern islands, insurance industry losses, power lines, reinsurance risk, hurricane andrew, alabama
diamonds, market, successful cartel, de beers, dollars, time, rough, angola, soggy demand, cso, prices, diamond business, river levels, canada, world
welfare, welfare reform, new administration, welfare programmes, president bill clinton yesterday, national governors, task-force, family support act, mr clinton, work, right economy, welfare recipients, welfare cheque, requirement, job training
slovenia, croatia, slovenes, southern border, independence, war, costs, slovenian coast- line, alpine neighbours, war-impoverished rest, yugoslavia, peaceful, balkan partners, hard currency income, three-pronged coalition government
bse, cases, government veterinary, mr peter warhurst, cjd, health experts, disease, farmers, yesterday, incidence, chief medical officer, humans, weeks, number, cattle
mr lewis preston, bank, poverty, lending, world bank president, poor people, poverty reduction, progress, explicit poverty focus, economic safety nets, specific increases, mr preston, countries, performance, share
nafta, hispanic backing, key hispanic groups, support, competitive sectors, mr richard lopez, worker rights, agreement, north american trade agreement, environment, job growth, sides, labour force, southwest voter registration project, canada
nafta, mr ross perot, california, foes, massive campaign, washington state, north american free trade agreement, american public, opposition, year, clinton administration weeks, labour leaders, anti-nafta crusaders, town, pact
mr clinton, white house pomp, foot anti-nafta banner, nafta, pact, widespread public hostility, environmental activists, president carter, north american free trade agreement, pro-nafta congressmen, administration, greenpeace, mexico, opposition, similar exploits
william daley, back-room political arm-twisting, mr clinton, nafta position, chicago, chief adviser, man president bill clinton, washington, legendary democratic machine, international trade arenas, younger brother, mr daley, general agreement, divided congress, tangible supporter
welfare, fatherless children, radical welfare reform, mr clinton, president bill clinton, urban decay, low-paid employment, work pay, benefit, administration, jobs, year, welfare mothers, dollars, families
new cases, second dairy farmer, bse, disease, mad cow, cjd, year, government policy, public concern, prion, brain disorder similar, animals, herds, deaths, epidemic
river limpopo, diamond business, de beers, zimbabwe, river ranch, carats, south african group, mr robin baxter-brown, dollars, southern border, rights, zimbabwe government, site, new joint owners, state-controlled minerals marketing corporation
nafta, democrats, president, white house lawn, fair trade campaign, bill daley, jim jontz, political battles, ms lori wallach, republicans, vote, perot, mr clinton, congressman jim kolbe, labour
welfare system, wisconsin, cash payments, welfare benefits, president bill clinton, pilot plans, time limit, georgia, welfare reform, families, broader overhaul, wisconsin plan, welfare payments, experiments, pioneer
pensions, cost, oecd, welfare state, cent, populations age, economic co-operation, countries, low-income families, growth, unemployment benefits, increase, number, pressures, fundamental reforms
clinton administration, pro-nafta votes, white house, job losses, favourable constituent mail, nafta, congressman esteban torres, north american free trade agreement, undecided congressman, pro-nafta fold, support, communities, anti-nafta public opinion, north american development bank, projects
guns, brady bill, long years, government, republican senators, weapons, state laws, gun control, new, nra, mr james brady, background, assassinations, tougher controls, criminals
virginia, congressman, nafta, florida state university, mr ross perot, companies, district, passionate opposition, mexican workers, congressmen, north american free trade agreement, saturday, mexico, mr josh greenwood, little competition
nafta, higher inflation, president clinton, investors, trade conference, growth, share prices, stock markets, congress, bond yields, good, mexico, business leaders, wednesday, week
debate victory, mr perot, mexico, nafta, vice president al gore, company yesterday, country, pro-nafta forces, trade pact, day holiday weekend, congress, home, washington, anti-nafta whip, fierce attack
human beings, new research project, german government yesterday, bse, british beef imports, cattle disease bovine spongiform encephalopathy, european union ban, launch, country, initiative, contaminated beef, eu health ministers, mad cow disease, conclusive evidence, non-existent
caribbean governments, nafta signatories, region, caribbean officials, central american, canadian markets, mexico, mr alexander watson, parity, north american free trade agreement, caribbean basin countries, proposals, free access, state, canada
north eastern france, property market, house, french, le shuttle, prices, kent, prospective buyers, walled town, pounds, wine society, northern french property, calais, hesdin, tunnel
european commission, british beef exports, ban, germany, bse, legal action, mad cow disease, uk beef sector, bovine spongiform encephalopathy, health ministers, bonn, humans, live cattle, fear, scientific evidence
north-west regions, belgium, channel tunnel, veurne, commerce, new european metropolitan area, west, western flanders, biggest ports, france, traffic, official opening, north, courtrai, calais
japan, imminent earthquake, prediction believers, area, tokai area, coastal tokai region, significant quake, tectonic plates, precursors, tokai section, world, research, tokyo, tidal movements, unusual phenomena
metres deep, diamonds, jwaneng, open pit, de beers, world diamond production, botswana, mines, mr loz shaw, finsch, south african group, company, underground development, general manager, mr simon webb
venetia, de beers, diamonds, ore, output, south africa, cso, production, gem stones, cent, weeks, quotas, global diamond markets, russian exports, time venetia
party, mr jose francisco ruiz massieu, mr manuel munoz rocha, drug gang, political reactionaries, mr ruiz massieu, mexico, gulf drug cartel, mr ernesto zedillo, pri, legal system, federal deputy, strong links, assassination, killing
police, protesters, demonstrators, police use, operation rescue, officers, los angeles police academy gym, pain, law-and-order conservatives, fred nichols, pain-compliance, force, techniques, civil rights, arm
office, don jackson, independent investigation, los angeles county district attorney, incident, white long beach police officer, mark dickey, long beach officers, curt livesay, civil rights, black man, brutality, jeff hill, tuesday, allegation
firescapes demonstration garden, natural fires, landscaping, plant zones, owen dell, santa barbara, properties, santa barbara city fire department, homes, house, canyons, homeowners, chaparral, flammable, trees
exxon, charge, costs, oil, spill, new york, additional cleanup costs, net income, exxon spokesman william smith, second quarters, year, fourth quarter, tanker exxon valdez, spill coordinating office, earnings
guns, right, don kates, second amendment, time magazine, militia, law professors, individual right, constitution, bill, purpose, free state, handgun, good, rights protections
ben johnson, personal physician, disgraced olympic sprinter, astaphan, toronto star newspaper, stanozolol, drug, meters olympics, carl lewis, gold medal, occasion, steroid, months, today, rivalry
officer mark dickey, don jackson, official report, white long beach police officer, state police officer standards, black man, television crew, car, plate-glass window, arrest, incident, errors, state senate oversight committee, friday, boatwright
