Guard said only Reef, Valdez and the Exxon, endanger the stability, needed to transfer, chemicals to disperse, require them to make, shoals off Massachusetts, Alaska chief environmental officer, Prince William Sound, oil, Exxon Valdez, Coast Guard, environmental officer criticized cleanup, Golob Oil Pollution Bulletin, Saturday, Alaska, tanker ran aground spread, tanker, biggest oil spill, North Slope crude oil
President Reagan warned Saturday, welfare legislation Congress sends, Labor Day weekend radio, welfare, work, Saturday, Downey, work requirement, bill, Americans, Congress, Labor, quiring welfare recipients work, Friday unemployment figures showed, people, Department showed unemployment, sends, state, years ago, Reagan mingled
Monday after two Navy, crewman tried to guide, practicing combat maneuvers, Atlantic Ocean off North, Ocean off North Carolina, Navy Atlantic Fleet air, Guard and Navy aircraft, vessels today searched, Carolina while practicing combat, Navy, San Diego, Coast Guard, jet, crash, Gillespie Field, Ocean, Air Station, fighter, aircraft and vessels today, Air
Sheets was n't skipping, director of the National, skipping a beat, National Hurricane Center, multitude of reporters fired, Bob Sheets, reporters fired questions, named director in March, beat Tuesday, Gilbert, major, Center, winds, Dealing, Florida, Atlantic, Alabama and Florida Panhandle, Jorge, showing the destructive Hurricane, Gulf of Mexico
Gilbert the most intense, roofs and windows, blown away and shattered, build to very high, Hurricane Gilbert clocked, Labor Day hurricane, Gilbert, weather officials called Gilbert, Mexico Yucatan Peninsula, winds, Center, center meterologist Jesse Moore, pressure, mph, EDT on Tuesday, storm, Air Force reconnaissance plane, damage, Florida Keys, Mexico
Hemisphere in terms, Director Bob Sheets remained, record-breaking fury sends Caribbean, sends Caribbean islanders scrambling, National Hurricane Center Director, Hurricane Gilbert record-breaking fury, islanders scrambling for cover, Hurricane, Gilbert, EDT Tuesday night, National, Bob, Center, pressure, remained calm, winds, Sheets spent, major, Mississippi, Dealing
work together to raise, told the opening session, prices to strengthen, part Monday for perpetuating, Minister Roberto de Abreau, World, Abreau Sodre of Brazil, nations in part Monday, General Assembly, Foreign Affairs Secretary Obed, countries, World economic picture, Brazil, Foreign, indebted developing, Monday, debt, sounded Monday in West, Susana Ruiz Cerutti, African
run as fast, number of disturbances, Canadian Ben Johnson left, American Carl Lewis, Johnson left the Olympics, Johnson, accused of cheating, dash and stripped, International Olympic Committee President, Olympic, Ben, York Kennedy International Airport, Canada, Horace Dove-Edwin of Sierra, drugs, Lewis, President Juan Antonio Samaranch, Prime Minister Brian Mulroney, airport, today
awaited the return, government accepted the validity, reporters in her yard, control the crowd, Johnson, national hero Ben Johnson, Canadians. Sports Minister Jean, British Colombia, angry and saddened, Fergus Kilmartin, Ben, Ben Johnson was stripped, Canada, saddened Tuesday, Minister Jean Charest, Olympic, Los Angeles, drugs, enhance his performance, medal
bemoaned the fate, spoiled a gilt-edged, ducked into a car, made a mad dash, shirt over his head, asked what he felt, called the stripping, Johnson, Olympic gold medal, homecoming in seclusion, illegal steroid Stanzolol found, gold, Canadians bemoaned, Toronto, South Korea, flight, home, York, plane, surrendered to Canadian Olympic
medal of the Olympics, Canada and a medal, brought the same sickening, escape the influence, believing the end, hockey superstar Wayne Gretzky, Johnson Olympic gold, shamed a nation hungry, Wayne Gretzky getting run, replace hockey superstar, Ben Johnson, Pat Reid, wounded Canadian, Gretzky, Toronto Star, Wayne, medal, gold, Shame, Ben
monitored the program, Olympic sprinter Angella Issajenko, fellow Canadian Olympic sprinter, Johnson, close close, Issajenko, Toronto Star newspaper quoted, steroids, Olympics, Astaphan, interview published Sunday, Angella, quoted, Ben, Mazda Optimist Track Club, South Korea, Jamie, Sunday, Francis, knowledge Johnson received steroids
London to the tunnel, seal the leak, pursuing a dream born, British Rail, white cliffs of Dover, dream born in Napoleon, French, project, colossal tunneling machine, English, trains, Channel, tunnel builders call, Kirkland, digging, Dover, European Economic Community, machine, machine is boring beneath, journey
capital of Bogota, Hurricane, Joan, Colombia, Gross, San Andres, mph winds churned, storm, hurricane reached Central America, mph, unusual southern path, strength, storm passed Monday, Victor Leon, Bolivar, Center, forecasters puzzling, miles, dead, Nicaragua
opens the door, test to detect, Zealand biochemist Garth Cooper, newly isolated hormone found, International Diabetes Federation Congress, Diabetes, common form, found in abnormal levels, insulin, Type, Oxford University, Congress in Sydney, levels, found, study, Zealand, Garth, scientists, blood sugar, major
aborted a takeoff, touch the ground, Valley in October, Air Force Base, Senior Airman Tim Sanders, Air, Base, Castle Air Force, flames early today, burst into flames early, crew, Technical Sgt. Anita Bailey, Marquette General, Air Command installation, Strategic Air, Peck, Capt. Paul Bicking, Capt., Debruzzi, spokesman
raisng the death, remained in critical, top West German military, brigade leader Berthold Hoehler, national defense programs, Air Force, erode popular support, West, German city of Remscheid, support for national defense, Germany, Saturday, people, people hurt in Thursday, crash, defense, training, East Germany and Czechoslovakia, Force jet, Welt am Sonntag newspaper
Garza says the committee, Forest Service, scorched the West, Yellowstone National Park, Garza, Service handled last summer, stubborn wildfires that scorched, West, hearings, House Agriculture, Texas Democrat, including one-third of Yellowstone, summer stubborn, fires, Agriculture subcommittee on forests, done. De la Garza, House, Farm Bill, planned, one-third
Service and the National, open for public, fire management plans, fire, National Park Service, burn, panel, parks and wilderness areas, nearby national forests, report, Western, recommended halt, areas, policies, Charles Philpot, Yellowstone, government, natural, Thursday, halt
Pan American World Airways, World Airways Flight, Wednesday night in Lockerbie, crash of Pan American, developments today involving, today involving the crash, Scotland, Pan, people, today, crash, night, killed
abnormalities near the equator, appearing in Friday, weather outside the tropics, computer study reported Thursday, Atmospheric Research in Boulder, Pacific Ocean temperatures ranged, Friday issue of Science, Oceanic and Atmospheric Administration, drought, National Center for Atmospheric, jet stream, Arkin, Thursday, Camp Springs, Kevin E. Trenberth, Trenberth and Grant, Climate Analysis, Administration in Camp, ocean, Science magazine
allies to agree, crashed near the heart, speeds and altitude, Tactical Fighter Wing, Fighter Wing at RAF, Britain this morning, Air, Wing at RAF Alconbury, Force, Thunderbolt jet in Europe, Air Force describes, Howard, Pentagon, plane, crash, routine training flight, jet, jet crashed and burned, pilot, Wing
rebel name for Guzman, Peru from its Andean, back his reactionary, forces. His Maoist, line the bone-dry, result of poverty, Shining Path, Sendero Luminoso, Andean base in Ayacucho, guerrillas, Lima, people, Path move, Huaycan, Maoist rebels, Andes, public support in Huaycan, Central Highway, shantytowns, years ago
pilot of a crashed, shut down an engine, Authorities questioned the badly, British Airline Pilots Association, Federal Aviation Administration ordered, Midland Airways jet, badly injured pilot, shut, engine burned, revealed no clues, Boeing, flight, Aviation, Boeing Commercial Airplanes, jet, crash, plane, Administration ordered inspections, Sunday, Fatal Error
thought to the residents, counter a huge, grasses and smoldered, small Montana tourist town, Cooke City, Mrs. Smith, Silver Gate, Winter, northeastern corner of Yellowstone, unwelcome thought, National Park Service, Yellowstone National Park, season, Montana, Storm Creek, Boise Interagency Fire Center, Park, City motels, million, forest fires
Long Beach, Council today asked county, Los Angeles, Jackson, police, asked county prosecutors, Beach City Manager James, Los, Special Investigations Division, Hawthorne Police Chief Kenneth, Thomas J. Clark, prosecutors to investigate, secretly filmed, incident, Andy Reynolds, Council, Angeles area, City, Christian Leadership Conference Los, Monday night
Tuesday on the London, Ltd. and De Beers, Beers is a South, practices by a London-based, decide to refer, London-based diamond cartel controlled, complaint alleging anti-competitive practices, Office of Fair Trading, South Africa giant, Central Selling Organization, Gold Fields PLC, Corp. of South Africa, diamond, Office, Gold, Consolidated, Fair Trading notified, Selling, Luxembourg-based Minorco, Minorco
heading toward the northeast, possibility of flooding, annual assault on America, nature most vicious spectacles, renew its annual assault, changeable spring weather breeds, Severe Storms Forecast Center, tornado, National Weather Service reported, National, poised to renew, weather, America, breeds the storms, South Carolina and Texas, Forecast Center in Kansas, Kansas City, month, years, November
including the strongest, earthquake, earthquake-related death toll worldwide, Geological Survey reports, Survey reported Monday, Richter scale, Survey, year, toll, pushed last year earthquake-related, Armenia pushed last year, people in Armenia pushed, significant, Nov., Soviet Union, recorded, Azores Islands Nov., Aug., Monday, United
AIDS virus, tuberculosis bacteria, people, study published today, HIV, medicine to prevent full-blown, study, Selwyn of Montefiore Medical, England Journal of Medicine, medicine, risk, infected, Drug abusers, Peter A. Selwyn, high risk of AIDS, carry, years, people who carried HIV, prevent, England
reduced the number, Colombia and Brazil, Observatory in Los Angeles, Tuesday as crowds gathered, eclipse, moon Tuesday, crowds gathered to watch, director of Griffith Observatory, Solar telescopes yielded views, percent, partial solar eclipse visible, western North America, sun, yielded views of flare-producing, California Institute of Technology, visible, partial, MST, Solar, people
tube for a diabetes, neighborhoods to randomly, four-member team to relocate, finding the gene, Canada and Mexico, Joanne Pierluissi raised, sleeve as nurse Mary, Perez inserted a needle, Mary Perez, Inside a small motor, Hispanics, Texas Health Science Center, American Diabetes Association, drawing blood, Stern, Twelve million Americans, Joanne, insulin, San Antonio Hispanic makeup, percent
team to relocate, finding the gene, nurse Mary Perez inserted, Joanne Pierluissi raised, sleeve as nurse Mary, Perez inserted a needle, Inside a small motor, drawing blood, diabetes, San Antonio Hispanic, Joanne, Mary, Perez, University of Texas Health, million Americans, Texas, Yale University, Americans die, forearm, motor
tablet that also reflects, visible at the time, hypothesis. The translation, made in China, total solar eclipse, clay tablet found, reflects fear, Amsterdam and Leiden University, Scientists missed, years, British journal Nature, ancient observers, Dutch scientists, solar, city near Syria Mediterranean, February or early March, Syria, eclipse occurred, oldest known reliable record, Observatory in Los Angeles
city that for decades, deaths pushed the issue, knew the elderly, police, Minneapolis Police Department, Laux, reputation for racial harmony, city, Democratic National Convention, Hayden, drug raid, Glover, progressive attitude, President Hubert H. Humphrey, problem, Councilwoman Sayles Belton, image, Minnesota, shaken this city, watch
spewed from a ship, aboard the vessel, tide pushed the crude, park a Cadillac, shoals off Massachusetts, Prince William Sound, Exxon Valdez, North Slope crude oil, oil, Golob Oil Pollution Bulletin, William Sound have stymied, calm waters of Prince, largest oil spill, Valdez Fisheries Development Association, aground on Bligh Reef, ship, heavy North Slope, tanker Exxon, Golob, occurred early Friday
Shipping Co. said Sunday, Sunday and the Coast, caused the nation biggest, told The Associated Press, collided in Galveston, expected to increase, Coast Guard, Exxon, oil, Valdez, Prince William Sound fishermen, nation biggest oil spill, once-pristine Prince William Sound, Exxon Shipping spokesman, mate Gregory Cousins, spill. Exxon Shipping, Alaska oil pipeline, North Slope crude oil, Sound, Dunphy
facts from the National, National Weather Service, Insurance Information Institute, April through June, Institute and news accounts, Service, Tornadoes, June, Weather, track southwest to northeast, frequent from April, Indiana in March, accounts, April, mph, paths can spiral erratically, average, miles, record, Missouri
Valdez said the ship, Iarossi also said Exxon, removing the source, put the brakes, Exxon Valdez, nation worst-ever oil spill, Exxon crews Tuesday finished, oil, preparation for refloating, Tuesday finished pumping, Alaska, ship, vessel, million, Prince William, Monday, Environmental Protection Administrator William, boom, Long Island, Alaska Department of Fish
feeling the effects, birds and threatening, landfall in large, showed an amorphous, insulation against the cold, Prince William Sound, Exxon, oil, Exxon officials Monday released, largest oil spill, Valdez, miles of Alaskan, cleanup, Boycott Exxon Alliance, Alaska wild Katmai National, local environmental laws, Sound, Park, spill fouled the beaches, coastline
expected the size, bury the sludge, surges as high, Coast Guard Commandant Paul, Tuesday attacked Exxon plan, Commandant Paul A. Yost, Exxon, Yost on Tuesday attacked, oil, Boycott Exxon campaign, Exxon President William, Alaskan oil spill, State Gasoline Retailers Association, Valdez, state, Yost, Guard, Paul, Tuesday, Ralph Nader said Exxon
health officials said Thursday, federal health officials, Centers for Disease Control, CDC, measures to curb, inmates, CDC Advisory Committee, times higher, tuberculosis, Thursday, York state, visitors. The CDC Advisory, prisons, reported, AIDS, Jersey population, federal, urging, bars, curb TB behind bars
opening of the Atlantic, made it clear, moving to coastal locations, Forecasters preparing for Thursday, Thursday opening, Atlantic hurricane season, crucial to ever-growing coastal, North Palm Beach, Florida, National Weather Service, Sheets, Air Force has agreed, agreed to fly hurricane, hurricane reconnaissance flights, Tom Lewis of North, people, Air, service, flights, Darrell Hayes
chief of the Philippines', Philippines' major financial center, Suspected communist rebels today, Police Sgt. Lydio Zeta, Col. Herminio Taylo, escalation of street violence, street violence sweeping, police, Mrs. Aquino, rebels today killed, Taylo, Army Col. James, People Army, sweeping the capital area, Lydio Zeta quoted witnesses, Security Adviser Rafael Ileto, capital, Military Assistance Group, assassination, chief
Bureau of Land, Fire, Forest Service, Saturday, Land Management in Utah, National Forest, Boise Interagency Fire Center, Service spokesman Dave Reider, Utah, hope Mother Nature, Mary Plumb, Wyoming, Diamond Peak fire, north, contained, Colorado drought-stricken mountains Saturday, Janesville, Mexico, homes, Denver
warned the break, forced biologists to rescue, fire, Mescalero Fish Hatchery, Forest Service Fire Staff, Gila National Forest, Mexico fire that polluted, Mexico, Gila, long-handled nets, creek, contained, southwestern New Mexico, Service spokeswoman Andrea Garcia, Thursday, Officials, firefighters whip blazes, Diamond Creek in southwestern, trout, Wyoming Interagency Fire
matter into the hands, vote when the Constitution, illegal aliens, census, House seats, amendment, Supreme Court, states, Shelby, Bureau testimony to Congress, counted, Census Bureau maintains, immigration bill, question, Commerce Robert Mosbacher, process, bill, United States illegally, put, reallocate House
intend to allow felons, constitution used to guaranteed, Cumberland County Superior Court, Court Justice Stephen, bear arms, Edward Brown of Cumberland, felon against Edward Brown, Maine, amendment, judge ruled, General James E. Tierney, Perkins on Friday dismissed, enacted a constitutional amendment, Brown, Friday dismissed a charge, Court, gun, felons, Attorney General James, state
candle to the damage, year record-breaking fire season, flare-up of Western wildfires, contiguous United States, hold a candle, damage wrought, fire, Sacher, year, Western, Western forest and range, million acres, fire officials said Monday, week flare-up, Yellowstone National Park, dry, Idaho, August could change, post in Boise, January
raised in committee, federal aid to local, aid to local governments, empowered to identify, House, major issue hanging, Census, aliens, states, Constitution requires House seats, counting illegal aliens, House blocked an effort, Rep, military personnel stationed overseas, million, House reapportionment every decade, decision to include military, Commerce, Ridge, Dymally
center of the hurricane, flooding in Texas, Islands and Puerto Rico, Puerto Rico reported, Virgin Islands, eastern Caribbean, National Weather Center, Rico, Hurricane Dean rumbled, San Juan, Wednesday, Center, storm, Barbuda, mph, nightfall the National, Leeward, Rico advised residents, Leeward Islands from Antigua, miles
electricity is again surging, expert to fly, Atlanta to LaGrande, fields a caller, Boise Interagency Fire Center, nation wildfire command post, set the West ablaze, Fire, Fire Center spokesman Arnold, Center, West ablaze this summer, nation, Reed Jarvis, logistics center marshal, Idaho, California and Utah, Lynn Findley, center marshal resources, red, Joe Blow.
rest got the message., support of tens, enforce a hyper-Christian, Maoist Shining Path guerrillas, dominate Peru Upper Huallaga, Tingo Maria, Upper Huallaga River Valley, Shining, Path, Valley, Shining Path political officer, Path guerrillas who dominate, violence-ridden region, cab driver David Nicolas, coca, rebels, Maoist, Peru, officials, corrupt
Institute of Technology, destructive path Hurricane Hugo, South Carolina coast, hurricane, Oceanic and Atmospheric Administration, Hugo, giving people plenty, hurricane forecasters predicted, models, forecasting, satellite, track Hugo path, officials in South Carolina, Administration satellite service, forecasters predicted the destructive, path, National, Hugo would follow, Thomas Pyke, Center
segregation in the nation, nation third-largest city show, detailing widespread segregation, days of racially charged, Daley, city, police, elected mayor April, City Council hearings Thursday, mayor, Northeastern Illinois University, heal some old wounds, Richard, Chicago, black politicians, report detailing, younger Daley emphasized empowerment, hearings Thursday and Friday, hearings, city first black mayor
emphasized the increasing, world-class sprinter knocked, sprinter knocked off track, track and field pedestal, field pedestal after testing, Ben Johnson here. Lewis, Olympic gold medals Johnson, Lewis, muscle-building substance, pony-tailed Lewis told reporters, caught in Seoul, testing positive, anabolic steroids, awarded the Olympic gold, told, Ben, Carl, wrong, Henry Waxman, knocked
earthquake in this area, kinds of older, Geological Survey Earthquake Center, California Institue of Technology, Francisco Bay area Tuesday, Southern Santa Cruz mountains, region seismologists targeted, Allen, San Andreas Fault, Bay area Tuesday occurred, probability, Richter scale, San, Northern, quake, struck the San Francisco, Geology and Geophysics, major, areas of Southern California, magnitude
shook the Solomon, world in five months, Francisco Bay area Oct., USGS spokesman Don Finley, Geological Survey, South Pacific today, earthquake, Pacific Tsunami Warning Center, hit the San Francisco, Richter scale shook, Warning Center in Honolulu, Islands, today, Islands south of Australia, Guadacanal Island, Finley, major, reading, South, Solomons chain
victims of a tornado, country from worried, Rescuers crawled through collapsed, National Weather Service, people, Bob Caraway, stretch of destruction, collapsed homes and shops, Huntsville, injured, tornado watch, lines, dead, twister, car, Deep South, Connecticut and Rhode Island, school, specialty is cave rescues, city
hundreds homeless since Wednesday, tornadoes and severe thunderstorms, left hundreds, Wednesday, people, killed, homeless
federation since the death, accept a comprehensive, Slovenia, Josip Broz Tito, oust us from Yugoslavia., Yugoslavia. The statement, Serbian, south and east, northern republic of Slovenia, presidency called Serbia action, leader Josip Broz, Tuesday, Serbian communist leadership, Slovenia collective presidency called, rally, economic contacts, denounced the Serbian communist, oust, monolithism. Serbia, republic
largest disaster relief measure, Washington where politicians pushed, drought captured attention, found the money spread, Washington, Press went back, pushed through the largest, America, drought, pushed, largest, disaster, relief, measure, back, found, money, spread
harder than in North, upper Midwest, Dakota, billion disaster aid program, North, aid program helped farmers, drought, hit, relief aid, disaster, Cashing, billion, story, four-part, program
whites, blacks, Black Americans suffer, study, important reason, people, percent, George Comstock of Johns, tuberculosis, Johns Hopkins University, found, Stead study found, National Institute of Allergy, disease, infection, genetic susceptibility, Allergy and Infectious Diseases, Africa, Arkansas Department of Health, England Journal of Medicine
poor or to developing, AIDS experts said Saturday, AIDS, recent advances have made, tuberculosis, panel of AIDS experts, Vermund, William Haseltine, epidemic, Cancer Institute in Boston, Dana-Farber Cancer Institute, vaccine, made clear, number, AIDS vaccine looked doubtful, James Mullins of Stanford, remission, suddenly resurgent epidemic, Mullins, Allergy
Thomas as a federal, support to defeat, born in poverty, Senate today confirmed conservative, federal appeals judge, Equal Employment Opportunity Commission, official Clarence Thomas, Senate, District of Columbia, Reagan and Bush administrations, confirmed, Pryor, judge, Aging Committee, brushing, Yale Law School, today, senior citizens groups, liberal, Employment
oil from the Exxon, Department of Environmental, frozen in five vans, oil, Exxon Valdez, Prince William Sound, percent, beaches, worst oil spill, impress Joe Bridgman, Sound, wave-washed beach, state, wildlife, Alaska Department, Hundreds of gallons, surface oil, smooth gray pebbles roll, William Sound last March, Valdez spread
Disease Control reported Thursday, federal health researchers, stopped amid the continuing, Centers for Disease Control, continuing threat, percent, cases, tuberculosis, CDC, Hispanics, reported, Asians and Pacific Islanders, percent average annual decline, federal, Thursday, steady, amid, health, Control, United States
throw from the smelly, loosen its grip, fighting the lackluster, smelly Smithfield meat market, attention of Londoners hurrying, Beers' South African interests, diamond, Beers, Organization, Soviet Union West-bound diamonds, percent, South, Consolidated Diamond Mines, world, attract the attention, Oppenheimer, Africa, nationalize South Africa, rough diamond sales fell, Sales
lack of effect, industry and raised fears, Mad cow disease, Britain cattle industry, BSE, cattle, Agriculture, animal, Professor Sir Richard Southwood, Martin Raff, government, sheep, food, Sir Simon Gourlay, report, wonder. Mad cow, University College, Plant Health Inspection Service, British, sheep offal in cattle
Exxon Valdez oil spill, cleanup and related developments, chronology of the Exxon, Exxon, Valdez, spill, cleanup, related
International Community Assistance, non-profit Foundation for International, promotes village banking, John Hatch, village banking to encourage, encourage private enterprise, Assistance, founder of the non-profit, Community, world poverty through bootstrap, World, bootstrap economics, banking, body blow to world, foresees is a body, body, blow
fall from a horse, listed as stable Thursday, Actress Elizabeth Taylor, Health Center, Taylor, Lisa Del Favaro, Chen Sam, Freeman Marina Hospital, Miss Taylor health problems, Miss, York City, hospitalized, Clinic in Rancho Mirage, Taylor spokeswoman with Chen, John, Sam and Associates public, Daniel Freeman, pneumonia, problems, National Velvet.
put a patient, ill Elizabeth Taylor battled, Miss Taylor, Taylor battled pneumonia, Daniel Freeman Marina Hospital, Afraid of Virginia Woolf, Lisa Del Favaro, John, doctors, condition, Chen Sam, Hospital officials, assisted by a ventilator, breathing, Betty Ford Clinic, April, ill, Southern California lung, intensive care, lung biopsy to determine
undergo a tracheotomy, Todd-Tivey and Christopher, Christopher and Michael Wilding, specialist treating Miss Taylor, Elizabeth Taylor has rallied, joked about coming, near-fatal bout with pneumonia, Health Center, Taylor, Johns Hospital and Health, balcony attire, Miss, Patricia Murray, Bernard Weintraub, Johns, National Velvet., infectious disease specialist, actress, rallied, wave
Pizarro as its presidential, clashes in several cities, plotting the crime, Colombia government refused Friday, presidential candidate Carlos Pizarro, Pizarro, Thursday aboard a Colombian, refused Friday to put, Friday, Colombia, Lopez Trujillo, Interior Minister Horacio Serpa, government, drug traffickers, denied responsibility Friday, kill Colombia Roman Catholic, police, drug, Friday telefax accused police, bullets Thursday aboard
candidates indicated that Colombia, Barco and his party, God. Addressing President Virgilio, love of God. Addressing, Pizarro, Colombia, Medellin, party presidential candidate, Virgilio Barco, brink of political chaos, armed forces, government, traffickers, country, jetliner Thursday, Liberal, killed, drug, country largest newspaper implored, Carlos
Todd-Tivey and Christopher, Elizabeth Taylor suffered complications, Miss Taylor, complications including, remain hospitalized, Friday, pneumonia, Health Center, doctors, room, Afraid of Virginia Woolf, Christopher and Michael Wilding, Daniel Freeman Marina, week, John, infection, Hospital spokeswoman Paulette Weir, April, Chen Sam, suffered
