gas algorithm Recent, algorithm Recent theoretical, fluid dynamics problems, Recent theoretical results, quantum lattice gas, solve fluid dynamics, lattice gas algorithm, Recent theoretical, theoretical results suggest, quantum information processors, algorithm Recent, information processors communicating, dynamics problems, lattice gas, communicating via classical, classical channels, fluid dynamics, nonlinear Burgers equations, Quantum lattice-gas algorithms, NMR implementation
four-player quantum games, multi-player quantum game, quantum game played, cooperative multi-player quantum, game played, cooperative multi-player, four-player quantum, multi-player quantum, quantum games, Cooperative, quantum, studied, games A cooperative, quantum superposed operator, non-zero sum difficulty, four-player, multi-player, played, players, games
law firm, Blog, firm, law, tools, Individual, institutional, create valuable content, providing simple tools, solve that problem, focus on providing, year, providing simple, users that create, create valuable, valuable content, simple tools, institutional benefits, today, Individual contributions
global structural representation, whilst incorporating accurate, incorporating accurate blackbox, model identification methodology, whilst incorporating, Grey-box model identification, computing This paper, paper presents, methodology that makes, priori knowledge, dominant structural identification, accurate blackbox models, global structural, structural representation, local nonlinearities, evolutionary computing, model identification, evolutionary technique, building dominant structural, structural identification
automatic generation control, automatic generation, generation control, generation control parameters, presents a method, method based, power systems, optimization of automatic, control, control parameters, automatic, power, generation, genetic algorithm, paper presents, genetic approach, genetic, power line, systems, frequency
features and functionality, improve business processes, efficiency and profitability, improve business, business processes, huge impact, company efficiency, Choosing, business software, business, software, vendor, profitability, software features, improve, processes, huge, impact, company, efficiency
application environments, environments are exceedingly, exceedingly dynamic, workflow monitoring, Multi-agent collaboration, workflow, problems, dynamic and competitive, monitoring, application, competitive, changing process requirements, collaboration, environments, exceedingly, dynamic, workflow problems, solve problems, time constraints, processes
Web-based enterprise resources, enterprise resources planning, resources planning systems, Web-based enterprise, critical business data, enterprise resources, resources planning, analysis for Web-based, central nervous system, synergic analysis, central nervous, managing an organization, organization mission, mission and critical, e-business implementation, planning systems, business data, enterprise, planning, critical business
Salt River Project, initiative Reliability planning, management initiative Reliability, River Project, Salt River, asset management initiative, cost benefit model, Reliability planning analysis, initiative Reliability, Reliability planning, SRP rolls, cost benefit, benefit model, asset management, management initiative, SRP, rolls out reliability, reliability and asset, SRP wanted, reliability
background gradient compensation, z-shimmed background gradient, Multiecho segmented EPI, gradient compensation, z-shimmed background, background gradient, segmented EPI, severe susceptibility artifacts, pulse sequence, compensation, functional MRI, EPI with z-shimmed, segmented, proposed and validated, suffering from severe, severe susceptibility, pulse, EPI, z-shimmed, background
rate of change, change of phase, complex Schur polynomial, circle traversed counterclockwise, complex Schur, unit circle traversed, Schur polynomials, traversed counterclockwise, strictly positive, conditions for Schur, Schur, real polynomial evaluated, unit circle, Phase conditions, circle traversed, Phase, real, real polynomial, polynomial evaluated, real coefficients
applications Multiresolution analysis, applications Multiresolution, Multiresolution analysis, levels of details, wavelets, efficient tools, tools for representing, multiple levels, MRA, Multiresolution, Four-point, Four-point wavelets, analysis, wavelets provide, representing functions, four-point subdivision scheme, applications, four-point subdivision, details, subdivision scheme
intensity modulated radiation, modulated radiation therapy, neoplasms with intensity, intensity modulated, Millennium multileaf collimators, modulated radiation, radiation therapy, multileaf collimator leaf, IMRT treatment plans, multileaf collimator, head and neck, CNS, IMRT treatment, dose, neck neoplasms, MLC treatment delivery, dynamic MLC treatment, MLC leaf sizes, MLC treatment, MLC
flexible manufacturing systems, fixed production ratios, production ratios Determining, flexible manufacturing, Production capacity, manufacturing systems, production ratios, fixed production, capacity of flexible, important issue, Production, ratios Determining, Determining the production, maximum production rate, capacity, flexible, part types, manufacturing, systems, Determining
arterial spin labeling, arterial spin, oxygen-enhanced and arterial, spin labeling, spin labeling techniques, signal intensity, study investigates, healthy volunteers, arterial, intensity in human, ASL, Ventilation-perfusion ratio, spin, oxygen-enhanced, labeling techniques, labeling, human lung, signal, intensity, Ventilation-perfusion
Laser-based internal profile, automatic laser-based system, internal profile measurement, Laser-based internal, automatic laser-based, internal profile, laser-based system, profile measurement system, measure the internal, system, internal, laser measurement meter, Laser-based, measurement, rotating optical device, floor, point laser source, window, laser, optical device fixed
large-scale model predictive, model predictive control, predictive control Quadratic, control Quadratic programming, Quadratic programming, Quadratic programming algorithms, model predictive, predictive control, large-scale model, MPC applications, control Quadratic, important element, Quadratic, challenging MPC applications, MPC, large MPC applications, predictive, model, programming, programming algorithms
War games, network security, tip of tongues, terror groups, groups could target, target your network, Qaeda, network, War, games, truth, security, world, find, tip, tongues, terror, groups, target, dangers
bane or boon, law reporting, law, Transcripts, reporting, bane, boon, statutory systems, system, efficient system, judge-made law, immediately accessible, law reporters, decisions going unreported, nature, codified, statutory, majority of decisions, Considerable power, judge-made
financial, FinancialContent, Web, Financialcontent.com, site named Financialcontent.com, content, Credibility is king, expect to find, Web sites, financial information, individual Web, individual Web site, site, sites, information, individual, distribute, site named, Credibility, find
FCC Chairman Michael, Chairman Michael Powell, Commerce Committee told, Michael Powell pitched, six-step market-based recovery, market-based recovery plan, telecom revival requires, FCC Chairman, Chairman Michael, Commerce Committee, Michael Powell, Committee told, reliance on regulation, Powell pitched, pitched a six-step, six-step market-based, recovery plan, told him telecom, telecom revival, revival requires
computer science, computer, science, computer science majors, science majors, Open letters, Surely, respective institutions, major, women, male computer science, Open, letters, attractive, monitored with great, great interest, interest the ratio, ratio of female, female to male, choice
current-programmed regulators Uncertainty, regulators Uncertainty models, current-programmed regulators, basic switch-mode converters, regulators Uncertainty, Robust stability analysis, basic switch-mode, delta, models, stability analysis, Robust stability, Uncertainty models, buck, boost, structured dynamic uncertainties, analysis, Robust, Uncertainty, linear fractional transformations, switch-mode DC-DC converters
relational type characterized, study indiscernibility relations, indiscernibility and complementarity, information systems, complementarity relations, first-order conditions, duality result, structures of relational, relational type, type characterized, first-order characterization, modal logic, complementarity, study indiscernibility, indiscernibility, relations and complementarity, relations, information, systems, characterized by first-order
totally dual integral, cycle-vertex incidence matrix, feedback vertex set, vertex set problem, feedback vertex, linear system, dual integral, all-one vector, sufficient condition, totally dual, cycle-vertex incidence, incidence matrix, vertex set, bipartite tournaments, set problem, min-max theorem, general bipartite tournaments, cycle packing problem, feedback, vertex
single pass turning, pass turning operations, economic cutting conditions, single pass, cutting conditions, pass turning, turning operations, deterministic optimization approach, deterministic approach, operations are presented, economic cutting, optimization analysis, single, Optimization, conditions, pass, operations, cutting, conditions for single, turning
profiled edge lamination, tooling Profiled edge, profiled edge, lamination tooling Profiled, promising rapid tooling, PEL tooling development, edge lamination tooling, simultaneously profiled, intended tool surface, tooling Profiled, edge lamination, top edges, comprehensive PEL tooling, CAD model, profiled, tooling development system, promising rapid, involving the assembly, PEL tooling, PEL
users find workflow, process management software, management software appealing, business process management, Keen but confused, straightforward to implement, find workflow, content management, users find, business process, software appealing, process management, management software, workflow, content, Pat Sweet reports, content and business, Pat Sweet, Keen, confused
customer relationship management, approaching zenith, relationship management, manufacturers are starting, starting to warm, concept of customer, customer relationship, CRM software evolves, CRM, CRM software, approaching, management, big business, zenith, manufacturers, starting, warm, concept, customer, relationship
important Windows-based applications, tax service Peterborough-based, service Peterborough-based tax, Peterborough-based tax consultancy, Taxguard wanted real-time, safeguards tax service, Windows-based applications, consultancy IE Taxguard, Taxguard wanted, important Windows-based, Peterborough-based tax, Server safeguards tax, wanted real-time failover, real-time failover protection, protection for important, safeguards tax, tax service, tax consultancy, wanted real-time, failover protection
nested Petri nets, nested Petri, Modeling dynamic objects, Petri nets Nested, nets Nested Petri, allowing tokens, nested, dynamic objects, objects in distributed, represented by marked, nets Nested, Petri, Modeling dynamic, systems, distributed systems, Petri nets, NP-nets, systems with nested, net marking, marked nets
local neighbourhood information, Adaptive image enhancement, retinal blood vessel, adaptively estimated based, segmentation Retinal blood, vessel segmentation Retinal, retinal blood, blood vessel images, nonstationary background, blood vessel segmentation, Adaptive image, enhanced by removing, removing the nonstationary, adaptively estimated, estimated based, based on local, local neighbourhood, segmentation Retinal, image enhancement, blood vessel
Accelerated business processes, business structures Accelerated, structures Accelerated business, structures Accelerated, business processes demand, Accelerated business, processes demand, distributed business structures, knowledge databases, Efficient allocation, Accelerated, information systems, information, business structures, business processes, transform individual knowledge, collaborative information space, knowledge, concepts and realizations, demand new concepts
Boost Graph Library, Boost Graph, Graph Library, author applies Boost, applies Boost Graph, Applying BGL, Graph Library graph, computational geometry, Graph, BGL to computational, Boost, Library, applies Boost, Graph Library data, author applies, Graph Library generic, Library graph, BGL, computational, geometry
Constraint Satisfaction Problems, Constraint Satisfaction, Satisfaction Problems, CSPs Search algorithms, numeric CSPs Search, Search algorithms, Accelerating filtering techniques, CSPs Search, make an extensive, filtering techniques, Accelerating filtering, numeric CSPs, Constraint, Problems, Search, Satisfaction, filtering, numeric, techniques, numeric CSPs solving
Virtual Development Center, Development Center, Virtual Development, Development Center program, seeks to significantly, significantly enhance, Development, Technology, Center, Technology seeks, Virtual, Women, Institute for Women, Institute, enhance the impact, developing need-based technology, communities serving women, Center The Virtual, Center program, created technology
Access matters Discusses, including accessible Web, matters Discusses accessibility, accessible Web sites, TTY access, matters Discusses, people with disabilities, clients to resources, Web sites, Discusses accessibility, accessible Web, referring clients, Access matters, Braille, ADA legislation requiring, TTY, Discusses, perspective, Web, legislation requiring accessibility
provide competitive advantage, manufacturing technology innovations, appropriately implemented, provide competitive, competitive advantage, manufacturing, manufacturing technology, advanced manufacturing technology, Exploratory study, technology innovations, common questionnaire, technologies, USA, manufacturers, study, advanced manufacturing, adoption of manufacturing, present study compares, technology, Exploratory
South Africa transition, South Africa, policies supporting freedom, adopted policies supporting, Developing policies, Africa transition, Africa Following South, South, Africa, access to information, access, supporting freedom, freedom of expression, information, adopted policies, policies supporting, Work in progress, government information, transition to democracy, Legal Deposit Act
Networking without wires, thin air, wires Several types, types of devices, devices use radio, radio transmitters, transmitters to send, send data, data over thin, Networking, air, wireless local area, local area networks, wireless local, area networks, wires, types, devices, radio, transmitters
produce entangled spin, entangled spin squeezed, spin squeezed states, propose a method, method to produce, produce entangled, entangled spin, spin squeezed, squeezed states, inside an optical, atoms, kappa Gamma, atom cavity coupling, optical cavity, cavity, Entangling atoms, atoms inside, large number, bad cavities, cavity coupling strength
chest radiographic reports, natural language processing, chest radiographic, natural language, radiographic reports, evaluate translation, compare the findings, language processing, narrative chest radiographic, chest radiographic narrative, radiographic narrative reports, translate clinical information, reports, translating chest radiographic, radiographic, chest, language, natural, translation of chest, language processor coded
risk attitudes, subconscious priming, Choice preferences, attitudes We present, subconscious, attitudes, priming, Experiment, risk, preferences, present a procedure, Choice, inferences, priming procedure, procedure, preferences without inferences, procedure for subconscious, present, risk preferences, priming of risk
self-organizing context-based approach, recall complex spatiotemporal, complex spatiotemporal sequences, neural network designed, self-organizing context-based, context-based approach, tracking of multiple, designed to learn, learn and recall, recall complex, complex spatiotemporal, multiple robot trajectories, combined competitive, spatiotemporal sequences, competitive and Hebbian, sequence, neural network, network designed, multiple robot, Hebbian learning
spatial normalization, based affine registration, affine transformation, Intensity based affine, affine registration including, based affine, including feature similarity, affine registration, similarity for spatial, spatial, normalization, brain, affine, intensity based registration, Intensity based, based registration method, paper presents, normalization with affine, feature similarity, global brain
logic is based, information is codified, high level, controllers Stochastic logic, random pulse sequence, pulse, finite sequence, pulse sequence, random pulse, Stochastic logic, random pulse stream, pulse stream, binary pulse sequence, digital processing, Digital, sequence, Boolean algebra, Boolean, digitally processed, stochastic
approach Analyses push, metamodelling approach Analyses, push and pull, Analyses push, approach Analyses, pull systems, transportation consideration, metamodelling approach, Comparison of push, systems, pull, Analyses, push, multistage production system, transporters, time, Comparison, consideration, batch size, metamodelling
legal information professionals, Cat and class, legal information, information, legal, skills, classification skills taught, information professional, Cat, class, professionals, classification skills, skills taught, information studies, article, cataloguing and classification, law firm libraries, firm libraries, academic and law, law firm
current mirror operation, current-mode algorithmic, converter Errors limiting, mirror operation, related to current, current mirror, Errors limiting, resolution of current-mode, current-mode, algorithmic, converter Errors, systematic errors, Errors, Resolution, limiting the resolution, proper circuit techniques, operation, limiting, related, current
size-resolved cloud models, cloud drops leads, size-resolved cloud, cloud models, phase, existence of cloud, cloud drops, cloud, multiphase chemical systems, gas phase, chemical species, phase chemistry, aqueous phase, gas phase chemistry, aqueous phase chemistry, multiphase chemistry, phase transfer, transfer, chemical, drops leads
colocated feedback controller, paper we propose, propose a special, special type, type of colocated, colocated feedback, Resonant, smart structures, Resonant controllers, feedback controller, resonant circuits, smart, parallel combination, controllers, high-Q resonant circuits, structures, paper, propose, special, type
Commercial and Technical, public business library, Technical Library, Leeds Public Libraries, British Standards information, chapter Traces, Traces the history, Public Commercial, business information services, Public business, Library, Public Libraries, mainstream business information, business information, business library, revolutionary impact, Internet, Public, information, British Standards
eliminate redundant tasks, Process pioneers, infrastructures along so-called, organisations can streamline, eliminate redundant, increase automation, agile business, business processes, managing IT infrastructures, redundant tasks, tasks and increase, lines, streamline their business, Process, pioneers, agile, so-called, top, organisations, processes
perform text independent, computationally simple method, utterance level scoring, text independent speaker, order statistics, level scoring, modeling This paper, paper describes, describes a computationally, computationally simple, perform text, text independent, Text-independent speaker verification, called utterance level, utterance level, simple method, utterance, utterance sample covariance, covariance, covariance modeling
coupled electron-photon transport, clinical accelerator targets, clinical electron accelerator, Boltzmann equation, Monte Carlo, slab geometry, clinical accelerator, Monte Carlo calculations, transport in one-dimensional, electron accelerator targets, accelerator targets, Monte Carlo methods, energy spectra produced, compute photon energy, proposed to compute, equation for coupled, coupled electron-photon, electron-photon transport, Monte Carlo runs, clinical electron
open source, Networks dominate today, secure, dominate today computing, today computing landscape, protection, technology, open, source, Networks dominate, attack technology, commercial technical protection, technical, dominate today, today computing, computing landscape, landscape and commercial, lagging behind attack, management, commercial technical
equivalent electronic circuit, electronic circuit, system was simulated, equivalent electronic, cardiovascular system, cardiovascular physiology, heart, cardiovascular, diastolic, circuit, system, simulated, equivalent, electronic, left ventricular relaxation, Simulation, physiology, diastolic function, functions, left ventricle failure
well-established multipulse topology, high-power converter topologies, multilevel topologies, converter topologies, multipoint clamped, transmission system, nested cell, multipulse topology, comparison of high-power, paper compares, flexible AC transmission, well-established multipulse, topologies, power flow controller, FACTS, FACTS controllers, implementation of flexible, high-power converter, power, implementation
limited labour constraints, automated manufacturing cell, tear-downs and loads, Work sequencing, manufacturing cell, constraints This study, study focuses, today automated manufacturing, limited to setups, manufacturing, utilization is limited, group scheduling heuristics, limited, limited labour, labour constraints, labour utilization, unloads, labour, scheduling, automated
heat equation, equation with nonlocal, equation with integral, nonlocal boundary conditions, integral boundary conditions, paper deals, numerical solution, boundary conditions, heat, equation, solution, nonlocal boundary, integral boundary, resolvent condition, semidiscrete problem, sectorial resolvent condition, one-step methods, numerical, conditions, boundary
Santera targets independents, include independent telcos, major strategy overhaul, capital expense budgets, slashing capital expense, next-generation switching platform, Santera Systems, Calif-based Kerman Telephone, big carriers slashing, carriers slashing capital, Santera targets, Systems is broadening, independent telcos, strategy overhaul, expense budgets, targets independents, include independent, major strategy, slashing capital, capital expense
chemical mechanical polishing, physics-based CMP modeling, physically based comprehensive, Establishing the discipline, past decade, semiconductor industry, discipline of physics-based, chemical mechanical, mechanical polishing, polishing has eluded, eluded the semiconductor, based comprehensive process, comprehensive process model, physics-based CMP, CMP modeling, CMP process development, physically based, based comprehensive, comprehensive process, CMP process
judgments, Eliminating recency, self-review, debias recency, auditors, recency, concern, audit, paper examines, staff auditors, staff, auditors' judgments, choices, Eliminating, concern judgments, simple self-review technique, case, examines, debias, staff auditors' judgments
robot to adapt, adapt to changing, simulated running jointed, jointed legs poses, difficult control problem, jointed leg Running, running jointed leg, poses a difficult, difficult control, scalable intelligent takeoff, running jointed, intelligent takeoff controller, simulated running, jointed leg, jointed, scalable intelligent, legs poses, Neural controllers, intelligent takeoff, control problem
low encoding, paper proposes, proposes a versatile, capable of low, versatile perceptual audio, audio coding, Perceptual audio coding, audio, decoding delay, Perceptual audio, coding, high compression ratios, achieves high compression, lossless, delay, adaptive pre, versatile perceptual, redundancy reduction, high compression, achieves high
signal processing applications, angle quantization approach, vector rotational CORDIC, quantization approach Vector, approach Vector rotation, digital signal processing, angle quantization, key operation employed, operation employed extensively, Rotational CORDIC Family, called Angle Quantization, vector rotational, rotational CORDIC, CORDIC Family, CORDIC, quantization approach, processing applications, rotational, employed extensively, signal processing
viscosity solutions techniques, deterministic control problems, running cost, solutions techniques, cost is studied, studied by viscosity, viscosity solutions, Homogenization of deterministic, Homogenization, deterministic control, Birkhauser Boston, effective Hamiltonian, Stochastic Analysis, Hamiltonian, periodic micro-structure converges, micro-structure converges uniformly, Boston, problem, control problems, discontinuous Hamiltonian
trailing edge flap, reducing unwanted helicopter, unwanted helicopter noise, trailing edge, current rotorcraft research, edge flap, blade trailing edge, tube actuator, flap, piezoelectric tube actuator, actuator, rotor blade trailing, edge, active trailing edge, trailing, edge flap actuators, active rotorcraft vibration, research is focused, focused on improving, reducing unwanted
NAS parallel benchmarks, NAS parallel, HPF, NAS, implementing all NAS, well-known benchmark set, compiling and implementing, HPF version, High-Performance Fortran, HPF The NAS, NPB, benchmarks, HPF compiler, high-performance machines, high-performance, parallel, version, benchmark set, set, Fortran
Dynamic modification, object Petri nets, Petri nets, high-level Petri nets, object-based high-level Petri, object Petri, high-level Petri, Petri, modification of object, modelling protocols, nets, Dynamic, object net formalisms, object net, modification, object, modelling, protocols, net formalisms incorporating, paper we discuss
channel coding, scheme for joint, channel, joint source, lapped transforms, coding, efficient lapped transforms, block classification, Source, coding of images, images, proposed, images is proposed, traditional source, channel-optimised robust quantisers, lapped, transforms and block, transforms, classification, efficient lapped
process design, energy consumption, electropneumatic field, field This article, article proposes, modified with respect, specifications for position, position and velocity, velocity tracking, control strategy, electropneumatic system, application in electropneumatic, process is modified, industrial bench test, process, electropneumatic, nonlinear control laws, Experimental results, bench test, Influence
semidefinite feasibility problems, feasibility problems arise, feasibility problems Semidefinite, problems Semidefinite feasibility, semidefinite feasibility, symmetric positive semidefinite, semidefinite matrix Gamma, feasibility problems, Gamma, analytic center cutting, center cutting plane, analytic center, cutting plane method, cutting plane, operations research, positive semidefinite, areas of operations, positive semidefinite matrix, semidefinite, approximate analytic center
Signal analysis techniques, wear and failure, tested and reported, indirect monitoring methods, monitoring methods, tool condition monitoring, failure monitoring, signal analysis, monitoring, analysis techniques cover, methods, methods applied, summary, tool wear, Wavelet Transform, Fast Fourier, Fourier and Wavelet, monitoring in drilling, condition monitoring, indirect monitoring
sacrificing quality, welding, industry is driven, arc welding, deep narrow penetration, double-sided arc welding, arc, deep narrow, welding process, narrow penetration, welding industry, achieving deep narrow, improve welding productivity, double-sided arc, arc welding process, improve, achieving deep, Sensing and control, deep, driven to improve
SBC Communications, Communications last week, regulatory compliance efforts, SBC, week created, bring a cohesiveness, cohesiveness and efficiency, efforts that previously, regulatory compliance unit, landing FCC approval, compliance efforts, Communications, FCC approval, compliance unit, regulatory, compliance, landing FCC, created a unit, hopes will bring, unit
provide numerical measures, potential and performance, numerical measures, capability index, process capability indices, Maple computer program, capability, calculating the p-value, Computer program, capability index called, pmk, provide numerical, process potential, testing process capability, process capability, index, indices, process, efficient Maple computer, Maple computer
time passes, hardware and software, software replace, block, passes, upgrade practicalities, kit, time, hardware, software, replace, Dalrymple examines, upgrades, resellers and consultants, Dalrymple, straightforward, practicalities, examines the business, business issues, issues and costs
Evaluating alternative manufacturing, dynamic job routing, distributed control system, describes an investigation, effects of dynamic, alternative manufacturing control, Evaluating alternative, alternative control strategies, job sequencing decisions, control strategies, control, manufacturing control strategies, paper describes, distributed control, system, benchmark manufacturing system, control system, strategies, dynamic job, job routing
appearance to conform, GUI library Swing, provide software developers, highly customizable framework, library Swing provide, making Swing components, GUI library, Swing provide software, run time, International swinging, Swing components locale-sensitive, provide software, software developers, highly customizable, customizable framework, framework for creating, automatically change, library Swing, Swing library, making Swing
reaching potential customers, cheap Web technology, potential customers, Web talk, cheap Web, Web technology, talk is cheap, wealth of opportunities, opportunities for reaching, reaching potential, Web, customers, talk, cheap, technology, wealth, opportunities, reaching, potential, make it work
wavelet packet basis, wavelet packet, operator diagonal, average over translations, packet basis, wavelet, packet, show, bases We show, diagonal, convolution, operator, basis, permits, bases, average, translations, image, framework, deblurring
Carnegie Mellon University, Carnegie Mellon experience, University were women, Mellon University, Carnegie Mellon, Carnegie Mellon School, Unlocking the clubhouse, students entering, entering the undergraduate, undergraduate program, Mellon experience, computer science, Carnegie, University, Mellon, Mellon School, women, program in computer, Unlocking, clubhouse
Efficient cellular automata, cellular automata based, programmable cellular automata, low-complexity programmable cellular, automata based versatile, based versatile modular, cellular automata, based versatile multiplier, versatile modular multiplier, Efficient cellular, based versatile, automata based, programmable cellular, low-complexity programmable, PCA, versatile modular, versatile multiplier, versatile multiplier increases, multiplier, modular multiplier
automatic attack construction, find potential attacks, security protocols, paper proposes, proposes an automatic, find potential, strand space model, security, strand space, dynamic strand space, order to find, attack construction algorithm, space, space model, algorithm, original strand space, model, protocol execution, attack-finding algorithm, construction algorithm
modulated radiation therapy, treatment planning typically, Intensity modulated radiation, Incorporating multi-leaf collimator, iterative IMRT optimization, optimization Intensity modulated, beam delivery, MLC, optimization, multi-leaf collimator, collimator leaf sequencing, beam delivery device, IMRT optimization Intensity, radiation therapy, separate tasks, sequencing into iterative, modulated radiation, planning typically, patient treatment delivery, Incorporating multi-leaf
Vehicle travel time, AGV systems, travel time models, AGV-based material handling, material handling systems, variables involved, travel time, highly complex, large number, number of variables, models for AGV, Vehicle travel, Vehicle, AGV, AGV-based material, material handling, travel, time models, handling systems, empty travel times
virtual reality graded, reality graded exposure, graded exposure therapy, imaginal exposure therapy, reality graded, virtual reality, exposure therapy, graded exposure, equally efficacious, fear of flying, imaginal exposure, efficacious, VRGET, treatment of fear, exposure, therapy, flying, specific phobia fear, fear, determine if virtual
global invariant sets, stable stationary states, three-dimensional nonlinear chaotic, time-periodic orbits, global invariant, invariant sets, three-dimensional nonlinear, stable stationary, stationary states, states or time-periodic, control, nonlinear chaotic systems, steering trajectories, energy, paper presents, energy based, nonlinear chaotic, approach, system, control design
team software development, Knowledge flow, software development, distributed team software, neglected in current, team software, Knowledge, team, software development processes, Cognitive cooperation, current team software, flow, software development Cognitive, development Cognitive cooperation, development, software, Knowledge flow management, distributed team, development processes, distributed
structure and parameters, Network Markup Language, neural network, neural network model, neural network exchange, trained neural network, Neural Network Markup, exchange This article, article introduces, introduces a framework, interchange of trained, neural, network, Markup Language, trained neural, network model, network exchange, Network Markup, Application of XML, network model description
Taiwan power company, power company phases, Taiwan power, power company, City District Office, privatization and deregulation, Taipei City District, company phases, face the challenges, challenges and impact, inevitable trend, trend toward privatization, power, Taiwan, Facilities Management, District Office, computerization development plans, Automated Mapping, Mapping and Facilities, Taipei City
efficient and stable, propose an efficient, finding ray-surface intersections, parametric surfaces, finding ray-surface, stable algorithm, Newton method, Newton, stable, efficient, Bezier clipping, algorithm, stable ray, stable ray tracing, algorithm for parametric, algorithm for finding, Bezier, ray-surface intersections, paper, method
frames as short, trajectory Time-resolved contrast-enhanced, Time-resolved contrast-enhanced, Time-resolved contrast-enhanced imaging, projection trajectory Time-resolved, trajectory Time-resolved, gained in popularity, Time-resolved, resolution, contrast-enhanced, isotropic, contrast-enhanced imaging, projection trajectory, projection, MRA, methods have gained, undersampled, temporal, FOV, tradeoff
Groove Networks, Ray Ozzie, Networks, Information Age, Groove, CEO and chairman, Massachusetts company, connection age, produces collaboration software, Age, Ozzie, information technology, information, connections, chairman of Groove, Matching technology, collaboration software, CEO, Beverly, Massachusetts
Qwest executive sheds, executive sheds light, carrier controversial deal, Qwest executive, real story, executive sheds, sheds light, controversial deal, Calpoint, telecom, Qwest, check from Quest, story behind Calpoint, deal with Calpoint, real, story, executive, sheds, light, carrier
bring to light, Women of color, computer engineering, computer science, increase the number, area of computing, Women, science and computer, computer, color, find the numbers, computing, color based, women of under-represented, engineering, field of computing, under-represented ethnicities, increase, area, science
nonlinear time-invariant input-output, nonlinear time-invariant, time-invariant input-output dynamical, Lyapunov function, dynamical systems, storage functions, passive dynamical, dynamical, Lyapunov, systems, passivity conditions, imply storage functions, Storage, Lyapunov function satisfying, unique Lyapunov function, time-invariant input-output, passive dynamical systems, functions, storage functions satisfying, conditions imply storage
