data and structured information, books named English, Books, Gutenberg Project, Grammar, grammar books are important, Century English grammar books, materials for English learning, important materials, unstructured data and structured, order to systematically analyze, themes and trends
preliminary element for discovering, Instituto Geofísico at Escuela, fundamental preliminary element, data with the log-book, reports of the experts, Escuela Politécnica Nacional, Mining Techniques A fundamental, Storing Seismic Event Characteristics, Opinion Mining Techniques, staff of Instituto, Event Characteristics Using Process, Design for Storing Seismic
people have held, Operational pattern revealing technique, made, technique in text mining, era, results, methods, improve the discovering pattern, made available in digital, information is made, digital form, pattern
Machine Learning Algorithms, Term Association for Text, Based Term, Learning Algorithms with Co-occurrence, effective method for computing, problem of lack, method, Text Mining, evaluate the effectiveness, Co-occurrence Based Term Association, text corpus is presented, lack of relationship
Customer Complaints Clusterization, effective platforms to communicate, Social Media Twitter, Customer, Media, Complaints, Text Mining, Media Twitter using Text, Company on Social Media, data, Clusterization of Government Drinking, Government Drinking Water Company
extract, relevant document, discovery, Implementation, based, data, text mining, open research issue, term based approaches, techniques, pattern, improving the effectiveness
Text, performed using Graphical Processing, GPU accelerated Chemical Text, relationship identification, data, Chemical Text mining, reveal interesting patterns, GPU, heterogeneous environment Chemical, Text mining techniques, Processing Unit, disease and drug
Institute of Statistical Studies, Automatic Selection of Academic, manual work, Selection, case of large, Approach for Automatic Selection, Academic Course Topics based, Text Mining Approach, educational material, focused on text mining, Academic, Topics
find, Text mining, issues and challenges, professionals, shape, centres, Information explosion and availability, changed the shape, issues, information, nature, knowledge
fault of distribution network, large number of trip, accumulated large number, Intelligent Mining Method, Filling Text, results trip provided text, strong subjective factors, Distribution Line Trip Filling, speech and syntactic, method using the distribution, text causality fault phenomenon, segmentation and part
Rapid, Text, comparing performance, Text Mining Processes, Processes using Rapid Miner, performance parameters of KNN, Mining, Methods, Weight Information Gain, improves the accuracy, Enhanced Text Classification Methods, KNN and Nave Bayes
Text, language and abstract, Algorithm Optimising the Determination, process, identification of relevant literature, Mining, Preparation includes the processes, Algorithm, relevant literature studies, abstract and keywords, Text Mining Algorithm Optimising, Studies
improve the output, day to day life, large collection of unstructured, Finding, day, documents, Text, life, documents from large collection, video files, unstructured text, include books journals
countries in the world, Taiwan, Sustainable Development Goals, United Nations proposed, energy technology, Analysis, GRB text, Associative Analysis Framework, Affordable and Clean Energy, world to promote sustainable, Government Research Bulletin, Contextual Text Mining
complexity is steadily rising, Integrated Text Mining Architecture, Knowledge-based Production Documentation Analysis, Analysis, resource at the heart, vital core resource, Production, mining architecture for design, unseen potentials for faults, landscape of high technology, heart of the organization, high technology companies
improvements in Big Data, Big, Big Data Tools Gigantic, analyzing of large, Tools, Turkish Language, content, Text Mining, Mining Analysis, increasing, social media, Data
language, stock market, natural, major components, Analysis, world, world developing countries, components of economy, text, Dhaka Stock, natural language processing, mining
Text, mining has gained increasing, gained increasing popularity, return the similar, Medical, system, approach Medical text mining, statistical machine translation, radiology, mining, machine translation approach Medical, popularity in recent years
Satya, Text, Satya Wacana Christian University, students of Informatics Dept., research topics written, Investigate Undergraduate Research Topic, Mining, SWCU, University Library database, Text Mining to Investigate, study investigated the clusters, Christian
genomic data has lead, Medline has grown tremendously, Drug, Analysis of Gene, Approach, literature, text submitted by researchers, Text Mining, Gene Drug Association, growth of genomic, Gene, explosive growth
Country, audio data sources, bring out the convention, video and audio data, African, main adopted text mining, based on online, Text Mining A Decade, Decade Of Focal Development, Development Trends, African Country This paper, modeling with the term
mining methods to analyse, Text, Text Mining Digital banks, Banking, entrants, started late, Reviews Using Text Mining, industry, industry in the Philippines, digital banking application, Reviews, Digital
Text, HathiTrust Research Center, Center and its tools, text data mining research, services for computational text, HTRC leverages the scope, computational text analysis, Mining, data, tutorial will introduce attendees, Digital Library collection, services
minimal effort, requirements of modern, access the desired, possibility to access, computational linguistics with python, undoubtedly the possibility, Python Libraries, Text Mining, amount of storing information, foremost requirements, desired information with minimal, modern man is undoubtedly
generally to the process, non-retrieval patterns or knowledge, process of extracting interesting, discovery from textual database, text documents, data, Knowledge discovery, interesting or non-retrieval, information, text, textual database refers generally, mining
relies on masking part, information and long-term dependency, generate context-dependent word vectors, achieve bi-directional prediction, emotion classification model based, XLNet pre-training language model, semantic mining in RNN, dependency and inadequate, calculate the deep semantics, BERT model relies, Analysis Based on XLNet-BiLSTM, part of the word
find, algorithms have been proposed, human interaction and closeness, text Most forms, typos, proposed to find, Mining typos in text, understanding the occurrence, text, indirect significance in understanding, occurrence of typos, exploited to reveal details
Indonesian swear word, words, differentiate the real, Bayes, Naive, tree to detect Indonesian, Naive Bayes classifier, swear, decision tree to detect, world most famous social, Twitter, famous social media
moving towards participatory, built using Support Vector, complaints and proposals Enabled, number of countries, access to online services, text mining, Application of text, Enabled, increased connectivity and ease, participatory decision making, directly involve community associations, community
domain Eliminating all stop, classification accuracy, domain, word selection, stop words, presented methodology, critical, optimal set, text mining, geo-location information, critical infrastructure domain Eliminating, feature space
Environmental Costs Expenditure, corporate management policy, Time Series Data, text mining technique, listed companies, 2000-2011 in Japan, motivation of corporate behavior, management policy and strategy, Mining Analysis on Determinants, study aims to read, Determinants of Environmental Costs, Costs Expenditure as Time
abbreviation identification, phrases are commonly required, full texts, scientific, quantum mechanics, addressed repeatedly, Performing literature review, text mining, review, elaborated concepts, Expanding domain knowledge, Part
work describes an investigation, investigation of formal grammar, ontology This work describes, construction, type of data, text mining, ontology, grammar, formal, formal grammar with application, text requires other methods, application to text
Text Mining Technology, widespread application and vigorous, Town Products Based, Analysis, Volume of Leisure Industry, Intelligent Analysis Mechanism, Based on Text Mining, Online, Sales Volume, Leisure Industry Town Products, e-commerce is growing fast, vigorous development of internet
rapid development of Internet, analyzing the vast amount, Internet, information explosion, Application, Web, Web mining technology, saved out the human, Network, Algorithm, Web structure mining, lot of redundant information
knowledge discover and management, analyzes their characteristics, Word Stat, Based, Software, mining software Text Analyst, Applications Based, Text Analyst and Word, Based on the introduction, Text Mining, introduction of text, paper analyzes
individual text mining methods, Text, base, MKR knowledge base, Multidimensional Knowledge Representation Multidimensional, Summarization Using Multidimensional Knowledge, Extractive Text Summarization, complex computer-aided writing tasks, result of integrative text, MKR, mining, results
linguistic structures, processing is a suite, Discourse, support, Applications, suite of Natural Language, Natural, uncover linguistic, Natural Language Processing, levels, Text Mining, NLP
Text, common situation, Based, life of a person, subject, Based on Text Mining, text mining method, virtual environments, daily life, Mining Algorithm Ask friends, Peer Recommendation Based, Peer
research status, Text, valuable information and knowledge, Technology This paper studies, Art of War, status of text mining, Text mining technology commonly, Mining, show the key, Sun Tzu, paper studies the development, development history and research
DGMS Fatality Reports, mine workers due, nature of the job, specific mine safety data, Reports on Indian Non-Coal, pose a major threat, Natural Language, Mines Mining activities pose, Directorate General Mines Safety, Automated Analysis through Natural, analysis of Directorate General, inherent risky nature
Text, produced daily is growing, Natural Gradient, show the potential, daily is growing significantly, Analysis Based, Mining, Text Mining The volume, volume of texts produced, proposed model, Efficient and effective, gradient independent component analysis
Naive Bayes Classifier, Health Social media, Text, Text Mining in Health, information in recent years, Tool, Social Media Text Mining, data, Media, major source of information, data analytics, Implement a web application
analysis, Text Data, Large Language Models, scientific, Data Mining, increased significantly, Roadmap on Developing, widely used Large Language, research, Models, Developing a Taxonomy, unstructured text
study about a newly, extract, mining to extract knowledge, data mining techniques, evaluation, evaluation comments in undergraduate, conduct a preliminary study, previous Likert scale, Likert scale question-based survey, apply text mining, newly established course evaluation, comments
customer loyalty, large portion, automotive financing company based, population are shifting, shifting from lower-class consumer, consumer, including automotive products, affluent consumer socioeconomic category, growing by leap, leap and bound, economy of Indonesia, structural equation modeling
model, quality of discovered relevance, data patterns, mining and classification methods, describing user preferences, Relevance Feature Discovery, Text Mining, existing popular text, large scale, methods, scale terms and data, big challenge to guarantee
Evaluation of Universities', represent well the characteristics, Text Mining Technique, company future business development, summarizes a company future, Reports, management vision, intangible assets, Universities' Integrated Reports, conventional evaluation criteria, based on information, integrated report summarizes
Traditional Crafts, users, local traditional, inheritance and innovation, establishment, Mining with Sentiment, Text Mining, Minister of Economy, Visualization System, Crafts based, local, Sentiment Analysis
Text, transaction in addition, Character Level N-gram Termsets, aims to discover relevant, huge amounts, Text Categorization Text, amounts of text data, improves the performance, Support Vector Machine, Evaluation, text mining process, binary and cardinality
summarization of research, articles using TextRank Owing, Owing to the popularized, researcher can conveniently access, popularized utilization, task of automatic, Google Scholar or Microsoft, Performing literature review, access is unlimited, academic search engines, Part, Microsoft Academic
Research in Fuzzy Approach, Mining Text, analysis, text generated every day, Review of Survey, Fuzzy, Text Mining, emergence of Web, methods, popular research topic, natural language processing, Fuzzy Approach for Text
language, Text, Based, Text Data Mining, Study on NLP Based, NLP Based Approach, Information in Clinical Notes, Clinical Notes Artificial Intelligence, processing, Data, NLP, vast area in modern
education field, essay scoring system, Essay, consistent and objective, efficiency of work expecially, maximized the effectiveness, Natural Language Processing, affect the quality, Automated Essay Scoring, Language, Natural, Text Mining Method
Text, conducting a data mining, considered when conducting, Categorisation Using a Semi-Supervised, text documents, data mining study, study on a text, linked data Knowledge Graph, data, Hierarchical Text Clustering, multiple techniques, achieving any results
blood, satisfactory blood pressure control, treating hypertension through text, Chinese medicinal physical, analyzes the frequencies, physical therapies in treating, patients maintain a satisfactory, text mining, hypertensive patients maintain, world-wide challenge that hypertensive, TCM practice, traditional physical therapies
research methodology is commonly, small, education, technique, applied, tool for qualitative, qualitative research, tool, text, mining, results, study
coming out the conclusion, methods on massive online, viewing the literatures, text mining methods, literatures of text mining, massive online reviews, preferences of e-cigarettes based, differentiation in focus, researchers studied the utility, seldom have researchers studied, text, found that seldom
Model, focuses on the pattern, Text, Model for Text Mining, Based, Method This paper focuses, Visualized Pattern Discovery Model, TF-IDF Weight Method, builds a visualized, Based on TF-IDF Weight, Text Mining Based, Discovery
presenting greater accurate statistics, Information Analysis Textual content, significant information, Analysis, large, Investigating the Benefits, paper, Text Mining, Benefits of Text, large volumes of unstructured, insights from large volumes, manner of extracting significant
Text, Introduction to Data, Mining, Business Analytics Minitrack, Web, Web Mining for Business, Data
usage of heap, grounds nowadays in terms, synthetic intelligence, section of the synthetic, business and analysis, LSTM based models, Text, mining in gaining information, Learning Models Text mining, Mining, text mining technology, applications in business
Text, mining technology can acquire, Based, description and feature extraction, acquire and discover implicit, Deep Learning Text analysis, knowledge formation, discover implicit knowledge, Deep, data mining, Based on Deep Learning, Text analysis Based
Text, called text mining, Information Extraction, process, patterns is called text, Natural Language Processing, written in natural language, Processing In unstructured, Language, elements in documents, Text Messages Using Natural, Natural
text-mining Background, Identifying genes involved, Dimension, databases like crucial role, Google scholar, PMC, publications which also plays, literature, repository of scientific models, crucial role in communication, plays a selection, manual knowledge is research
Analysis Of Threats, Text, social media, Mining, police to find, techniques and machine learning, machine learning algorithms, Text Mining Location-Based Modelling, Modelling And Analysis, threat occurs through social, find the location, activities using some text
manually large documents, identified the main, preserve and show, essential, overview, favorite domain to preserve, summarization, extractive text, main purpose, text, increasing of online, purpose of textual information
Shimane, analyze the cases, Shimane University School, efficiently analyze, Medical, Reports, Text Mining, mining techniques to efficiently, incident reports from Shimane, Medicine Hospital using text, Medical Incident Reports, School of Medicine Hospital
Text, systems, papers, Managerial Decision Support Minitrack, developing systems for decision, Decision, Web Mining for Managerial, healthcare to social media, Minitrack, Web, Data, Support
personage biographies, Biographical Database, historical, study of history, important kind of entities, elaborates on the lessons, TBDB, researching into historical events, system, mining system for Taiwanese, text retrieval and mining, Taiwanese historical people Personage
form of short messages, Analysis of Text Data, Text, Text Mining algorithms, entering the information, Categorization The report, Text Data for Solving, short messages in text, problem of categorizing, solve the problem, Intellectual Analysis, search for keywords
occur in terms, Text, Failure, Analysis, word, Mining, terms of tripping, Text Mining Transformer failure, good maintenance strategy, Data, Transformer failure could occur, unplanned or unseen outage
medicine, text mining Single Chinese, prescription, Radix Astragali, Chinese, syndrome, basic element, rules, associating rules, Single Chinese herbal medicine, text, TCM
presents the first results, significant in detecting, analyzing copious amounts, medical records to discover, facts on diabetes, Mining the web, major benefits of text, web and medline medical, copious amounts of knowledge, effective method for analyzing, discover new facts, text mining
Crash Data, Highway-Rail Grade Crossing Crash, major worldwide concern, Approach, Railroad traffic safety, Forest and Logistic Regression, cost of vehicle damages, Text Mining, safety, crossing crashes by text, Mining Approach Railroad traffic, crashes at highway-rail grade
selection, KNN Today, time of networking, Web design elements, project, Internet, Internet provides enormous data, data, Web, text mining method, research, World Wide Web
Software Engineering, improve the efficiency, core research area, Engineering Lifecycle, proposed every day, study emphasizes the practical, algorithms and frameworks, numerous algorithms, Research Opportunities to Apply, Apply, Data, Apply Data Mining Techniques
Text, Research-Based Text Extraction, Today, Stages Framework Data Mining, biomedical domain combined, Data Mining Approach Today, Extraction with SVM Distinct, SVM Distinct Stages Framework, based Support Vector Machine, Text Pre-processing, Data, Distinct
Text Mining Investor sentiment, Study of Relationship, Text, Based, analysis based on text, Based on Text Mining, Finance and Economics Stock, field of Social Science, Social Science in recent, Stock, Investor, investor sentiment analysis based
text mining approach, idea of giving, amazon, Detection and Summarization, product, Summarization of Honest Reviews, incredibly valuable, Honest Reviews Using Text, Honest, purchasing and making business, making business decisions, Reviews
East Java The highway, Road condition monitoring, reach a specific location, motor vehicle, text mining system, Case Study, specific location or destination, home or work, monitoring road conditions, planning to return home, Road, area of East Java
word Simclin frequencies, clinical terms in electronic, Text mining, patient care, annual, health informatics, community care The number, mining of the clinical, electronic health records, SIMilar CLINical terms, records of annual falls, notes
Inland River Based, ship collision risk factors, Text Mining Inland waterway, Ship, Collision Accident in Inland, reduce the dimensionality, River Based on Text, waterway ship collision, Factors, typical high-risk maritime accident, Analysis Modeling for Ship, Risk Factors Analysis Modeling
methods to improve text, improve text mining, text data, development of technology, headlines Nowadays, text mining on market, currency is significantly expanded, technology and social, analysis of these types, proposed method utilized, training set selection methods, social media
Text, ever-growing resource of information, house of indeterminate, Summarization Technique The Internet, Implementation of Text Summarization, Real Life Implementation, text summarization process, Sum Basic, Life, managing the clogged data, Technique, indeterminate and ever-growing resource
commerce and industry, market, critical, movements Stock Market, growth of commerce, plays a crucial role, system mining critical indicators, market random forest-text mining, mining system, random, Stock, stock market movements Stock
contents of posts related, social media platforms tend, platforms tend to readily, Mining Approach for Evaluating, Twitter Users, Event Credibility on Twitter, credibility assessment of events, Evaluating Event Credibility, Approach, Text Mining, events, Users on social media
emergent mission or deliver, achieve an emergent mission, deliver the new desirable, integration of multiple complex, multiple complex systems, Systems, individual system engineers, problem faced, Text Mining, complex system context efficiently, Engineering, systems integrate to achieve
populer in Indonesia, Detection Based on Text, recently are very populer, Social, Based, Crime, Crime Rate Detection Based, Twitter and Facebook, Algorithm Social media recently, Based on Text Mining, analitics and predictive, Logistic Regression Algorithm Social
Text, supported by Japanese Society, process, systems put their weights, Society for Artificial Intelligence, Mining, multiple, Text Data Mining Recently, Knowledge, emergence, Data, Internet or comments
application of Internet, lot of online reviews, Internet technology, Quality Perceived Value Based, ten years, Based on Text Mining, Fuzzy Comprehensive Evaluation, Text Mining and Fuzzy, customers browse a lot, satisfactory product, online reviews to understand, Product Quality
Graph, questionnaire free-texts data based, analytical support of questionnaire, words, Hierarchical Keyword Graph, lot of companies, based, answer by free description, method, companies carry, grasp the outlines, Visualization and analytical support
yearbook from the Korea, text-mining algorithm The development, trends in the Meteorological, computer technology has enabled, forms of documents, Internet and computer technology, Analysis of the yearbook, textual data generated, Administration using a text-mining, Korea Meteorological Administration, storage of digital, digital forms
grid enterprises, Power Grid Safety, Grid, Grid Safety Hazard Identification, hidden danger management efficiently, explains the content, in-depth study of power, danger investigation standards, observe the textual characteristics, Identification Text data mining, management efficiently and conveniently, analysis for power grid
Text Classification in English, Text, natural language, Support Vector Machine Based, field that attempts, Enhanced Support Vector, English Texts Text mining, Machine Based Pattern Classification, unique field, patterns of the text, convey information from natural, English
topic of predicting, study focused, SPE, Logistic Regression, Naive Bayes, Area under Curve, included Support Vector, Short-Answer Questions Text, Support Vector Machine, Proactive Personality, Weibo Text, Text Mining Based
observed texts using natural, high frequency appearance, paper presents a text, time series model, based on time series, computing the correlations, rhythmicities of terms, Text analysis based, natural language processing techniques, mining application for searching, terms with high frequency, time
pilots and air traffic, Cockpit, directly reflects the special, cockpit voice recorder directly, Processing Technology of Cockpit, Text Processing, special situation, text data mining technology, Voice Based, realize the consistency, air traffic controllers recorded, Based on the text
annotated but have large, behavioral change, result in unexpected behavioral, essential genes, survival and growth, SRB, text mining, genes in Desulfovibrio alaskensis, biological network analysis, growth of any organism, interpretation of complex relationships, access essential
text mining approach, facing community restrictions, analyze public opinion, Naive Bayes, Pandemic Social Media Analysis, Bayes and Support Vector, Media Analysis With Text, Support Vector Machine, Pandemic, Pro and Cons classes, opinion regarding Indonesia situation, situation in facing community
lack of effective, technology The current decision, risk, current decision tree based, tree based electric power, method, power, text mining technology, text, risk prediction method, customer demand risk prediction, electric power customers' demands
genes, frequent, extracting high quality information, mining, gene-disease association extraction, quality information from biomedical, process of extracting high, Literature search tool, method, search, text, Biomedical text
extract and collate data, research aims to create, filtering in location based, Hybrid model for information, social, recommendation deficiencies remain, Social Recommendation users, remain regarding the effectiveness, collate data geolocated, techniques from Machine Learning, networks using text mining, location based social networks
Text, signal into additive components, component analysis search scheme, Analysis, Independent Component Analysis, algorithm, Swarm, Particle, Particle Swarm Optimization, multivariate signal into additive, separate a multivariate signal, attention in recent
text mining and machine, Text, experienced call center agents, efficiency of registering customer, increase the efficiency, compared to experienced call, machine learning, Claim, Customer, Automating Customer Claim Registration, Claim Registration by Text, call centers to increase
ontologically identify and compare, Opioid, research is to ontologically, Problems, text mining vs. diagnostic, diagnostic coding approaches, patients on long-term opioid, compare the incidence, OUPs, therapy using text mining, Approach The aim, Identify Opioid Use Problems
swift disaster prevention measures, Korea ’s increasing elderly, GIS analysis, Korea, study identified heat waves, Utilizing text mining, text mining and GIS, necessitates swift disaster, elderly population living, GIS, living alone necessitates swift, vulnerable disaster type
Defect Diagnosis, Text, optimize the hyper-parameters, Diagnosis Method of Main, Operation and Maintenance, faults are usually recorded, Main, electrical equipment like power, Mining During the operation, Maintenance Text Mining, classifying transformer defects, recorded by text data
