named English, books named English, Century English, English learning, Grammar, Century English grammar, books named, Grammar Books, English, Gutenberg Project, English words, English Grammar Books
text mining, mining, knowledge mining association, mining algorithm based, deep neural, based on deep, text knowledge characteristics, text knowledge, text knowledge mining, deep neural network, text mining algorithm, knowledge
Text Mining, Based on Text, government application, Experimental Evaluation, intelligent government application, performance is evaluated, System Based, challenge in China, e-Government System Based, Intelligent, Intelligent e-Government System, evaluated experimentally
Text Mining, Framework, event and post, Big Data, Text Preprocessing Framework, post own activity, Big Data Infrastructure, Data, social media, comment appearance, Text, Text Preprocessing
region policy addresses, aimed at analyzing, Macau special administrative, administrative region policy, policy addresses, special, region policy, special administrative region, Support Vector Machine, relationship of Macau, Macau, Macau special
Text Mining, designing infrastructure, Methods, Methods Traffic, Traffic safety, goals when designing, Methods Traffic safety, Text Mining Methods, infrastructure or vehicles, Road Accident Analysis, Mining Methods Traffic, accident data
cognition and judgment, Text Naming Recognition, Naming Recognition Algorithm, text mining method, judgment of things, series of operations, affects scholars', affects scholars' cognition, Text, Recognition Algorithm Based, Text Naming, Algorithm Based
natural language process, language processing technology, preventing of cheating, students' learning behavior, Education data mining, MOOCs interactive part, mine interactive text, natural language, processing technology, homework effect, analyze students' learning, students posting
Text Mining, Combining Data, Data Mining, text mining techniques, Data Analysis Support, Analysis, Mining, text data, Combining Data Mining, Data, Text, Support by Combining
Learning Research, Text Mining, Learning, Machine Learning Research, Analysis, Mining, Machine, Machine Learning, Text, aims to identify, paper aims, Research
Palestinian Government Case, supports Human, Text Mining, supports Human Resources, Staff Perfomance Appraisals, Study The objective, Human Resources Management, Case Study, Government Case Study, Human Resources, mining based approach, text mining based
people, Text Mining, classify, model to classify, text mining techniques, aims to develop, people management practice, initial stage, stage and aims, Text, people management, automatic model
agent-based text mining, challenging for researchers, text mining, identification of scientific, searched from databases, context identification, agent-based text, scientific papers, match their interests, papers, algorithm, text mining algorithm
Text Mining, Digitization makes data, recent years, Review Text-based Recommendation, Recommendation System, Digitization, Text Mining Digitization, Mining Digitization makes, data inflation, inflation in recent, Text-based Recommendation System, Recommendation
Chi-square Automatic Interaction, Words, Text Mining, Legal Texts Words, Legal Texts, Text Mining tools, Automatic Interaction Detector, Analysis, Texts Words, Legal, Text, text documents
Text-mining, Terms, Development Text-mining, soft and hard, Terms of Methodology, Methodology, gaining popularity, attained the status, Development, status of cross-field, hard sciences, Methodology and Development
Optical Character Recognition, constitute a rich, owing to large-scale, increasingly readily, readily accessible, increasingly readily accessible, diverse source, large-scale digitisation efforts, applying Optical Character, OCR, digitisation efforts, rich and diverse
subject and scope, mining supporting initial, Thesis, Text mining, Text, development area, Text mining supporting, literature review, area, scope of interest, supporting initial literature, initial literature review
significant portion, Text Mining, portion of medical, Symptoms Nowadays, Positive Rate, Classifying Disease, False Positive Rate, medical errors, Support Vector Machine, Nowadays, misdiagnoses account, Applying Text Mining
bring together meaningful, Text categorization, information from natural, reduction Text mining, field that attempts, Automatic Text, attempts to bring, meaningful information, natural language text, Automatic Text categorization, Text, categorization and summarization
LSA, text mining, latent semantic analysis, Latent Dirichlet Allocation, questionnaire text mining, based on LSA, text mining model, Latent Dirichlet, mining model building, improve Latent Dirichlet, latent semantic, open questionnaire based
sentence, Conceptual Rule, Text classification, objectives of natural, natural language processing, document, Conceptual Rule Mining, Mining, natural language, conceptual, Text, significant objectives
Potentials Increased, Innovation Potentials, Potentials Increased competitive, Increased competitive, competitive pressure, innovative capacity, Innovation Potentials Increased, pressure requires companies, Increased competitive pressure, competitive pressure requires, Semantic Modelling, Product Context
Word Discovery, Power Equipment Defect, grid equipment operation, feature fusion Constructed, power grid equipment, Equipment Defect Text, Feature Fusion, Defect Text, Defect Text Mining, Text Mining Based, grid equipment, defect text records
cluster based approach, document clustering methods, intelligent information system, information system, text document clustering, clustering methods attempt, important task, approach Text clustering, cluster based, Text, ontology-based text-mining method, based approach Text
text mining, extracting hidden, social, mining, hidden predictive information, hidden predictive, mining methods Data, social media, technique of extracting, text, methods Data mining, extracting hidden predictive
research, Highly Cited, Text Mining, Science Library Science, Data Mining Data, Data Mining, Highly Cited Publications, Library Science research, Mining Data mining, Mining, data mining research, Data
possibility to share, online social media, share and communicate, Cybercrime profiling, development in online, online social, communicate information, predict criminal activities, information and ideas, Text mining techniques, globe the possibility, exponential development
Indonesian stemming algorithm, text mining, Mining Indonesian Text, stemming process, Algorithm, Stemming Algorithm, text data, Stemming, Indonesian, Indonesian slang, Text, Indonesian Text
data, Text Data Mining, text mining, mining, text mining process, Total Environment, large amount, text data, support users, text, discover or create, knowledge
research, mining, Idea mining, strategic decision making, interesting field, areas of information, information retrieval research, text, text Idea mining, retrieval research, information retrieval, idea
important factors threatening, important factors, Text Mining, Severity Level Based, XGBboost Vulnerabilities, Intelligent Prediction, Severity Level, information systems, threatening the security, Prediction of Vulnerability, Vulnerability Severity Level, factors threatening
Text Mining, Mindset, Text Mining technique, world is busy, Bayes Classifier method, Indonesia, Naive Bayes Classifier, Perception and Mindset, People of Indonesia, Pandemic, Text Mining Method, Indonesian people
Text Mining, SRS Penguin Software, Approach in SRS, Penguin Software requirement, text mining method, SRS Penguin, Class Diagrams, Cohen Kappa, Text Mining Approach, Software requirement specification, Sequence Diagrams, Class Diagrams Based
Traditional Chinese, Text Mining, text mining methods, Diabetes TCM, TCM Records Based, Traditional Chinese Medicine, patients' TCM syndromes, Chinese Medicine, taking patients' TCM, diabetes Traditional Chinese, Diabetes TCM Records, key medicines
Internet, text mining, amounts of unstructured, mining, extracting previously unknown, large amounts, text data generated, text data, unstructured text data, text, high commercial, data
process of extracting, text mining, knowledge from large, mining, mining Text, Extracting knowledge, probabilistic classifier, text, text mining Text, mining Text mining, large text documents, large text
Text Mining, Feature extraction process, Evaluation, Language Processing Model, text mining process, Efficient Analysis, Natural Language Processing, Text, Processing, Model Text mining, Natural Language, Processing Model Text
Text Mining, Paragraph Text, related information topic, read related information, Keywords Generator, Mining in Bahasa, Bahasa Indonesia, search engine, Text, Generator From Paragraph, reading a document, Indonesia When reading
Solve, analyzes the possibilities, Text Mining, text mining methods, Solve Project Management, Technology to Solve, Mining, Text Mining Technology, methods to solve, Text, Solve Project, Project Management Problems
fundamental preliminary element, Opinion Mining, element for discovering, Characteristics Using Process, Storing Seismic Event, discovering knowledge, Escuela Politécnica Nacional, Design for Storing, seismic events, preliminary element, Seismic Event Characteristics, Opinion Mining Techniques
pattern, text mining, text mining methods, digital form, digital, pattern revealing technique, Operational pattern, results, pattern detection method, pattern revealing, methods, Operational pattern revealing
term association method, Text Mining, Based Term, corpus is presented, based text mining, Co-occurrence Based Term, computing term association, Machine Learning Algorithms, lack of relationship, Machine Learning, problem of lack, Based Term Association
Customer Complaints Clusterization, effective platforms, Social Media, Government Drinking Water, Text Mining Social, Water Company, Social, Clusterization of Government, Media Twitter, platforms to communicate, Drinking Water Company, Social Media Twitter
relevant document, discovery, pattern, text mining, term based approaches, pattern discovery, discovered patterns, mining, document, relevant, term based, text
environment Chemical Text, Text mining, accelerated Chemical Text, mining, GPU accelerated Chemical, disease and drug, Chemical Text, Text mining tools, Text, Chemical, reveal interesting patterns, Chemical Text mining
Automatic Selection, Text Mining, Selection, Topics based, topic selection approach, manual work, Specifications Topics selection, educational material, Text Mining Approach, Topics, Academic Course Topics, Academic
information, information professionals, Text mining, professionals, mining, explosion and availability, centres and nature, information centres, Information explosion, changed the shape, Text, challenges Information explosion
Distribution Line Trip, results trip provided, text mining method, accumulated large number, power distribution line, strong subjective factors, distribution trip provided, trip provided text, Line Trip Filling, Intelligent Mining Method, intelligent power distribution, Trip Filling Text
Text Mining Processes, Text Mining, Enhanced Text Classification, Processes using Rapid, KNN and Nave, Rapid Miner, Nave Bayes Classification, Information Gain, Text Classification Methods, mining procedures, Weight Information Gain, Nave Bayes
Text Mining, relevant literature studies, Optimising the Determination, Relevant Studies, influences the identification, Text Mining Algorithm, Algorithm, language and abstract, abstract and keywords, literature studies, Studies, Mining Algorithm Optimising
day life, Text mining, unstructured, day to day, documents, unstructured documents, Finding, day, Finding right documents, Text, data, large collection
promote sustainable development, Government Research Bulletin, promote sustainable, Sustainable Energy Development, Contextual Text Mining, United Nations proposed, Associative Analysis Framework, Sustainable Development Goals, Development Goals, United Nations, Sustainable, Sustainable Energy
Production Documentation Analysis, high technology, Text Mining, vital core resource, Documentation Analysis, landscape of high, Integrated Text Mining, core resource, high technology companies, Text Mining Architecture, Knowledge-based Production Documentation, vital core
Text Mining, Turkish, Big Data, Big Data Tools, Data Tools Gigantic, Language, social media, Mining, Tools Gigantic amount, Text, Tools, Turkish Language
developed countries, Dhaka Stock Exchange, natural language processing, stock market, stock, natural language, world developing countries, world developing, market, major components, components of economy, countries
gained increasing, recent years, gained increasing popularity, Text mining, Medical text, popularity in recent, machine translation approach, statistical machine translation, Medical text mining, Medical, report, Text
Wacana Christian University, Text Mining, Investigate Undergraduate Research, Satya Wacana, Satya Wacana Christian, text mining techniques, Informatics Dept., Mining to Investigate, University Library, research topics written, Undergraduate Research Topic, University Library database
Text Mining, growth of published, Gene, data has lead, Gene Drug Association, genomic data, Gene Drug, genomic text, growth of genomic, genomic text submitted, submitted by researchers, explosive growth
African Country, Text Mining, Country This paper, paper identified, Decade Of Focal, audio data sources, identified the emerging, video and audio, African, online and offline, Focal Development Trends, based on online
digital banking application, banking industry, Digital Banking, Text Mining, Philippines, Digital, Mining Digital banks, Analysing Digital, Text Mining Digital, started late, Banking, Analysing Digital Banking
HathiTrust Research Center, data mining, tutorial will introduce, HathiTrust Digital Library, Digital Library collection, text data mining, tools and services, data mining research, Center, Research Center, text analysis research, Text
foremost requirements, Text Mining, man is undoubtedly, information, possibility to access, minimal effort, modern man, access the desired, Python Libraries, requirements of modern, Text, undoubtedly the possibility
extracting interesting, data mining, mining, non-retrieval patterns, Knowledge discovery, interesting or non-retrieval, refers generally, text, Knowledge, process of extracting, textual database refers, database refers generally
achieve bi-directional prediction, relies on masking, inadequate context-deep semantic, emotion classification model, model based, classification model based, Based on XLNet-BiLSTM, Analysis Based, BERT model relies, BERT model, context-deep semantic mining, represent text information
humans interact, proposed to find, text Most forms, Mining typos, typos, text, forms of text, understanding, significance in understanding, understanding the occurrence, paid to understanding, indirect significance
detect Indonesian swear, Twitter Twitter, swear words, famous social media, Naive Bayes, social media, Naive Bayes classifier, nearest neighbor, Indonesian, Twitter, Indonesian swear, swear
countries are moving, increasing number, online services, moving towards participatory, increased connectivity, Support Vector Machine, proposals Enabled, decision making, connectivity and ease, participatory decision making, ease of access, access to online
stop words, Eliminating all stop, text mining, mining, stop, domain Eliminating, feature space, infrastructure domain Eliminating, text, standard practice, text mining accuracy, stop word selection
management policy, Text Mining, Environmental Costs Expenditure, corporate behavior, corporate management policy, 2000-2011 in Japan, text mining technique, Environmental Costs, Costs Expenditure, listed companies, policy and strategy, Time Series Data
scientific communications, text mining, addressed repeatedly, domain knowledge, Expanding domain knowledge, literature review, Performing literature review, full texts, Expanding, abbreviation identification, Part, Expanding domain
grammar, text mining, describes an investigation, mining, work describes, ontology, formal grammar, formal, investigation of formal, text, Application, Application of formal
Industry Town Products, Intelligent Analysis, Volume of Leisure, Intelligent Analysis Mechanism, Sales Volume, Town Products Based, Sales, Industry Town, Online Sales, e-commerce is growing, Leisure Industry Town, Online Sales Volume
information explosion, Internet, rapid development, information, redundant information, lot of redundant, Web Mining, entered an era, Web, Web mining technology, Network, development of Internet
Text Mining, Text Analyst, software Text Analyst, mining software Text, Applications Based, Analyst and Word, Mining, analyzes their characteristics, software Text, Text Mining Software, Text, Word Stat
Text Summarization, Representation Multidimensional knowledge, Knowledge Representation Multidimensional, Extractive Text Summarization, MKR knowledge base, Knowledge Representation, Multidimensional, Representation, Multidimensional Knowledge, Multidimensional Knowledge Representation, Text, integrative text mining
Text Mining, Discourse, Mining Discourse processing, uncover linguistic structures, discourse analysis, Natural Language Processing, NLP, suite of Natural, Language, Natural, Processing, Natural Language
Text Mining, Based on Text, text mining method, Peer Recommendation Based, Text Mining Algorithm, Algorithm, Based, Algorithm Ask friends, common situation, Recommendation, virtual environments, daily life
Text Mining, development history, research status, history and research, paper studies, studies the development, Sun Tzu, Mining, mining technology commonly, Art of War, Text Mining Technology, War of Sun
Mining activities pose, Indian Non-Coal Mines, mine safety data, Mines Mining activities, DGMS Fatality Reports, mine workers due, Natural Language Processing, Directorate General Mines, General Mines Safety, inherent risky nature, Non-Coal Mines Mining, specific mine safety
Component Analysis Based, Text Mining, produced daily, Independent Component Analysis, growing significantly, daily is growing, Natural Gradient, gradient independent component, Natural Gradient Algorithm, texts produced daily, Independent Component, natural gradient independent
social media platforms, Text Mining, Social Media, recent years, Twitter and MedHelp, major source, Health Social, Media Text, Social, Media, Health Social media, Media Text Mining
Text Data Mining, increased significantly, Developing a Taxonomy, Data Mining, Large Language Models, Roadmap, Roadmap on Developing, Text Data, unstructured text data, past decade, Text, Data
apply text mining, data mining techniques, data mining, mining, Likert scale question-based, evaluation survey, previous Likert scale, student evaluation comments, comments, extract knowledge, newly established, student evaluation
structural equation modeling, shifting from lower-class, equation modeling, large portion, consumer, automotive products sales, population are shifting, automotive financing company, growing by leap, affluent consumer socioeconomic, consumer socioeconomic category, leap and bound
guarantee the quality, big challenge, Text Mining, describing user preferences, quality of discovered, challenge to guarantee, popular text mining, discovered relevance features, Feature Discovery, Mining, Text, Relevance Feature Discovery
future business development, Text Mining, intellectual assets, Text Mining Technique, company future business, Integrated Reports, intangible assets, policies and strategies, management vision, integrated report summarizes, Universities' Integrated Reports, management philosophy
Traditional, Sentiment Analysis, Text Mining, pursuit of craftsmanship, local traditional, Crafts based, users, Crafts, Visualization System, inheritance and innovation, specific traditional crafts, Traditional Crafts
discover relevant, huge amounts, relevant information, Evaluation, information and relationship, text mining process, Evaluation of Character, Categorization Text categorization, aims to discover, Text Categorization, discover relevant information, Text
Scholar or Microsoft, search engines, Google Scholar, researcher can conveniently, Performing literature review, Microsoft Academic, access is unlimited, popularized utilization, conveniently access, academic search engines, Summarizing articles, academic search
Text Mining, text mining methods, Approach, Text Mining Text, natural language processing, Mining Text mining, Survey Research, popular research topic, Mining, Fuzzy Approach, Text, Approach for Text
vast area, Text Data Mining, area in modern, Approach, Data Mining, Mining, Based, NLP Based Approach, processing, Text, NLP Based, NLP
Text Mining, maximized the effectiveness, education field, work expecially, essay scoring system, Natural Language Processing, effectiveness and efficiency, efficiency of work, Automated Essay Scoring, Text Mining Method, Natural Language, Essay Scoring
Hierarchical Text Clustering, data mining study, Hierarchical Text, Categorisation, text dataset, Clustering and Categorisation, considered when conducting, text documents, extracting any hidden, Text, achieving any results, results or extracting
hypertensive patients, patients maintain, maintain a satisfactory, traditional physical, world-wide challenge, traditional physical therapies, challenge that hypertensive, satisfactory blood pressure, blood pressure control, blood pressure, satisfactory blood, hypertensive patients maintain
research, qualitative, text mining, applied, education, mining, qualitative research, tool, Qualitative research methodology, text, education research, tool for qualitative
text mining methods, text mining, researchers studied, literatures of text, massive online reviews, found that seldom, studied the utility, e-cigarettes based, preferences of e-cigarettes, seldom have researchers, viewing the literatures, utility of text
Pattern Discovery, Text Mining, builds a visualized, Weight, Weight Method, Based on TF-IDF, TF-IDF Weight Method, Visualized Pattern Discovery, Visualized Pattern, Text Mining Based, TF-IDF Weight, discovery model base
extracting significant information, Investigating the Benefits, Text Mining, Analysis Textual content, large volumes, Mining, Information Analysis Textual, extracting significant, Textual content mining, Benefits of Text, manner of extracting, Text
Analytics, Mining for Business, Data, Business Analytics, Mining, Analytics Minitrack, Business Analytics Minitrack, Web, Business, Introduction to Data, Text, Web Mining
heap of resources, synthetic intelligence, Text Mining, Enhancing Text Mining, Learning Models Text, gaining grounds nowadays, usage of heap, Deep Learning Models, business and analysis, Models Text mining, grounds nowadays, text mining technology
knowledge formation, Learning, technology can acquire, data mining technology, text information description, Text analysis, implicit knowledge, Based on Deep, discover implicit knowledge, Deep Learning, Text, Text analysis Based
Information, text mining, Text, Extraction, patterns is called, called text mining, Language, Language Processing technique, Natural Language Processing, Information Extraction, Natural, Natural Language
manual knowledge, central repository, role in communication, crucial role, text-mining Background, knowledge is research, research publications, plays a selection, selection of pertinent, scientific PubMed, scientific models, Google scholar
Text Mining, text mining techniques, process of analysis, Modelling, machine learning algorithms, Analysis Of Threats, Analysis, Mining, Text Mining Location-Based, Modelling And Analysis, Mining Location-Based Modelling, Text
overview on extractive, online information, textual information, text summarization, extractive text, domain to preserve, increasing of online, recourse texts, text, extractive text summarization, purpose of textual, preserve and show
Text Mining, keywords they contained, Hospital using text, Shimane University School, text mining techniques, Medical Incident, School of Medicine, Mining, Incident Reports, Medicine Hospital, Medical Incident Reports, University School
Managerial Decision Support, Minitrack This mini-track, decision support systems, develop decision support, Mining for Managerial, Data, Decision Support Minitrack, Web, Decision Support, Text, Web Mining, Support Minitrack
Taiwan Biographical Database, Taiwanese historical people, system for Taiwanese, TBDB, historical people Personage, text retrieval, retrieval and mining, historical people, study of history, personage biographies, mining system, important kind
Text Mining, problem of categorizing, Information Categorization, Solving the Problem, Intellectual Analysis, Text Data, categorizing data entering, text format, Text Mining algorithms, Analysis of Text, semantic analysis, Categorization The report
Transformer Failure Analysis, Text, unplanned or unseen, Text Mining Transformer, Substation Transformer Failure, Analysis, power transformer systems, Failure, occur in terms, Transformer Failure, unseen outage, Transformer
Single Chinese, traditional Chinese medicine, Chinese herbal, Single Chinese herbal, herbal medicine, TCM, traditional Chinese, mining Single Chinese, Radix Astragali, Chinese medicine, single CHM, Chinese herbal medicine
text mining, records to discover, major benefits, analyzing copious amounts, analyzing human experiences, medline medical records, facts on diabetes, effective method, discover new facts, analyzing copious, copious amounts, web and medline
Grade Crossing Crash, Grade Crossing, Crash Data, Highway-Rail Grade, Crossing Crash Data, Railroad traffic safety, Highway-Rail Grade Crossing, highway-rail crossing crashes, Text Mining Approach, Approach Railroad traffic, Mining Approach Railroad, major worldwide concern
Internet, research, Today, research project selection, Wide Web, Web design elements, time of networking, project, Web, KNN Today, World Wide Web, Web design
Data Mining Techniques, core research area, Apply Data, proposed every day, Apply Data Mining, Software Engineering Lifecycle, Research Opportunities, Exploring Research, Software Engineering, numerous algorithms, Exploring Research Opportunities, Opportunities to Apply
Mining Approach Today, Data Mining Approach, SVM Distinct, biomedical domain combined, Distinct Stages Framework, data mining applications, Data Mining, SVM Distinct Stages, Approach Today, Support Vector Machine, Research-Based Text Extraction, Stages Framework Data
Text Mining, Text Mining Investor, Based on Text, important influence, sentiment index based, Stock Price, Stock Price Based, Investor, Economics Stock Forum, Stock, Investor Sentiment, Study of Relationship
Text Mining, Detection and Summarization, making business, Honest Reviews, purchasing and making, Reviews, Summarization of Honest, incredibly valuable, online reviews, Text, making business decisions, Honest
Road condition, specific location, location or destination, East Java, text mining system, return home, Case Study, motor vehicle, reach a specific, Road, condition monitoring application, Road condition monitoring
patient care, Text mining, clinical, electronic health records, electronic health, clinical notes, health informatics, health, Simclin frequencies, health records, Text, home community care
Inland waterway ship, Inland River Based, River inland waterway, high-risk maritime accident, inland river collision, Analysis Modeling, Risk Factors Analysis, typical high-risk maritime, Factors Analysis Modeling, River Based, Yangtze River inland, Ship Collision
training set selection, set selection, text mining, training set, people opinions, technology and social, development of technology, social media, significantly expanded, set selection methods, headlines Nowadays, improve text mining
Internet, Text Summarization, Text Summarization Technique, Life, Real Life, Implementation, Real Life Implementation, house of indeterminate, ever-growing resource, Text, indeterminate and ever-growing, Implementation of Text
Stock market random, movements Stock Market, market movements Stock, Stock market, free market economy, market random, forest-text mining system, market random forest-text, stock market movements, free market, market, movements Stock
social media platforms, Text Mining, Approach for Evaluating, platforms tend, media platforms tend, tend to readily, Evaluating Event, Users on social, contents of posts, Evaluating Event Credibility, Text Mining Approach, Twitter Users
integration of multiple, contextual specificity, Text Mining Technique, mission or deliver, multiple complex systems, desirable goal, Systems Engineering, integrate to achieve, emergent mission, problem faced, achieve an emergent, Systems
Crime Rate Detection, Social Media, Text Mining, Logistic Regression, media recently, Based, Rate Detection Based, Algorithm Social media, Regression Algorithm Social, Social media recently, populer in Indonesia, Logistic Regression Algorithm
Text Data Mining, Data Mining, Total, Data Mining Recently, Total Environment, Text Data, Environment, Mining, TETDM, Recently, Text, Data
Product Quality Perceived, Internet technology, Based on Text, Fuzzy Comprehensive Evaluation, Text Mining, Quality Perceived, application of Internet, Fuzzy Comprehensive, Product Quality, Perceived Value Based, ten years, past ten years
questionnaire free-texts data, words, Graph, hierarchical graph, free-texts data based, method, lot of companies, Hierarchical Keyword Graph, hierarchical graph structure, companies carry, analytical support, Keyword Graph
text-mining algorithm, Korea Meteorological Administration, data generated, storage of digital, computer technology, algorithm The development, technology has enabled, enabled the storage, digital forms, Korea Meteorological, Internet and computer, textual data generated
grid hidden, Identification Text data, hidden danger investigation, grid hidden danger, Safety Hazard Identification, Grid Safety Hazard, safety hidden danger, Hazard Identification Text, Text Mining Technology, power grid enterprises, Power Grid, Power Grid Safety
Enhanced Support Vector, Pattern Classification Method, Based Pattern Classification, Vector Machine Based, Vector Machine, Support Vector Machine, Texts Text mining, natural language text, Support Vector, Machine Based Pattern, Enhanced Support, English Texts Text
Proactive, Weibo, Weibo Text, Short-Answer Questions Text, Support Vector Machine, participants' Weibo text, Questions Text, Weibo text datasets, Text, Text Mining Based, Questions, Proactive Personality
application for searching, high frequency, terms with high, high frequency appearance, time series, searching and computing, computing the correlations, rhythmicities of terms, Text analysis based, time series model, text mining application, paper presents
Cockpit Voice Based, Cockpit Voice, data mining technology, traffic controllers recorded, Text Processing Technology, air traffic controllers, voice recorder directly, recorder directly reflects, Data Mining, cockpit voice recorder, text data mining, Text Processing
essential, text mining, result in unexpected, genes, essential genes relies, unexpected behavioral change, SRB, access essential genes, behavioral change, essential genes, survival and growth, Desulfovibrio alaskensis
Pandemic Social Media, Social Media, analyze public opinion, Text Mining, text mining approach, Media Analysis, Social Media Analysis, Naive Bayes, Support Vector Machine, situation in facing, facing community restrictions, aimed to analyze
text mining, risk prediction method, prediction, risk prediction, electric power, power customers' demands, electric power customers', based electric power, decision tree based, tree based electric, current decision tree, text mining technology
itemset mining Biomedical, Biomedical text, mining, mining Biomedical text, Biomedical text mining, extracting high quality, extraction, search tool, process of extracting, Biomedical, Literature search tool, high quality information
Social Recommendation users, Learning to extract, location based social, aiming to promote, information filtering, model for information, collate data geolocated, Text Mining techniques, Machine Learning, Hybrid model, based social networks, Social Network
Swarm Optimization Independent, Independent Component Analysis, separate a multivariate, Particle Swarm Optimization, Analysis, Text Classification, Component Analysis, Optimization Independent component, Independent Component, Independent, Text, Component
Text Mining, efficiency of registering, registering customer claims, improving customer satisfaction, Customer, Customer Claim Registration, improving customer, call center agents, call center, Automating Customer Claim, Claim Registration, machine learning
Text-Mining Approach, text mining, compare the incidence, diagnostic coding approaches, long-term opioid therapy, coding approaches, therapy using text, Identify Opioid, patients on long-term, ontologically identify, Opioid Use Problems, Approach The aim
necessitates swift disaster, increasing elderly population, GIS analysis, vulnerable disaster type, living alone Korea, disaster prevention measures, Utilizing text, mining and GIS, swift disaster prevention, Utilizing text mining, Korea ’s increasing, prevention measures
Main Transformer Based, Text Mining, Defect Diagnosis, Maintenance Text, power text data, text data, Maintenance Text Mining, Diagnosis Method, Defect Diagnosis Method, Operation and Maintenance, Method of Main, classifying transformer defects
Text Mining, Text Mining Analysis, Validating Requirement Specification, Analysis Requirement elicitation, Text, obtaining the users', Mining Analysis Requirement, Requirement Specification, Specification, focus on obtaining, Requirement, software developers focus
communications and social, media have produced, data mining, textual data mining, digital revolution, social media, proposed algorithm, Mining, development of communications, Lightweight Algorithm, produced billions, Lightweight
text mining, text mining model, government policy inclinations, Latent Dirichlet, Intelligent Elderly Care, Latent Dirichlet Allocation-Based, China Intelligent Elderly, Elderly Care Policy, China Intelligent, policy text mining, Elderly Care, Dirichlet Allocation-Based Model
Chinese-English Comparable Corpus, machine translation platform, Comparable Corpus based, Text Mining, Machine Translation Equivalent, Pairs in Chinese-English, Machine Translation, Extraction Method, Corpus based, Translation Equivalent Pairs, Equivalent Pairs, control corpus
tool helped students, Text Mining, presents a mining, extract graphs, write summaries, Support Text Summarization, Mining, Support Text, Text Mining Tool, text summarization method, Mining Tool, paper presents
Text Mining, Software Requirements Specification, Based on Text, SRS document, built are successful, Mining on SRS, SRS Digibrary, Sequence Diagram Based, Step Performed, SRS, SRS document consistency, Performed and Sequence
data mining technique, text mining, Pattern, Pattern discovery, mining, large amount, art of extracting, technique, extracting data, text, text mining Text, mining Text mining
model combining BERT, apply text mining, sentiment analysis model, educational text, intelligence technology, text sentiment analysis, BERT and FastText, artificial intelligence technology, text sentiment, educational text sentiment, Combining BERT, text mining technology
