Grammar Books, English Grammar Books, named English, order to systematically, adopted to study, English learning, English Grammar, Century English, Century English grammar, named English Grammar, important materials, English, books named English, Gutenberg Project, Text Mining, books named, unstructured data, Grammar, Books, English words
Systematic Literature Review, Literature, Mining Methods, order to automate, includes the application, Continued Supporting, Applying Text, Supporting, Systematic Literature, Text Mining Methods, text classification, Supporting a Systematic, Text Mining, Literature Review, Systematic, Applying Text Mining, Mining, Review by Applying, present paper, scientific publications
Analogical, studies the ability, Summarization and Classification, Application, paper studies, Analogical proportions, Arabic Text Summarization, differs, proportions, Application to Arabic, Analogical Text, promising tool, Text Mining, Text Summarization, Arabic Text, valid analogical proportion, Analogical Text Mining, Mining, Text, Summarization
support early, Text Mining Tools, early testcase, support early testcase, prediction Text Mining, early testcase prediction, testcase prediction Text, Affiliation Rule Mining, prediction Text, data, Techniques support early, Techniques support, Text Mining, Tools and Techniques, Mining Tools, World Wide Web, testcase prediction, Mining, Text, past or recorded
identify the strength, tool to identify, mining approach Descriptive, approach Descriptive feedback, Bayes text, Bayes text classification, Southern Leyte State, Naive Bayes text, Descriptive Feedback, Leyte State University, powerful tool, text mining approach, Descriptive, text mining application, text, text mining, Interns’ Performance, approach Descriptive, mining approach, Feedback on Interns’
find valuable, database CKNI, find valuable references, emergence of text, mining publicly, mining, understand, information from Internet, role of text, valuable references, Application of text, Internet, methods of text, articles, text, find, text mining, Chinese database CKNI, references, valuable
process of extracting, extracting interesting, Natural Language, patterns or knowledge, text documents, Mining Approach, Machine Learning, Natural Language Processing, non-trivial patterns, interesting and non-trivial, Improving Product, text data mining, Text Mining, Improving Product Quality, Language Processing, Text Mining Approach, Product Quality Enhancement, Quality Enhancement, Product Quality, Text
knowledge mining, text knowledge mining, text mining algorithm, mining algorithm based, text knowledge characteristics, knowledge mining association, external characteristics constitute, knowledge, deep neural network, mining algorithm, mining, deep neural, algorithm based, text, mapping text knowledge, text mining, text knowledge, knowledge mining method, mining association reveals, neural network
e-Government System, Based, Intelligent e-Government, Intelligent, performance is evaluated, e-Government System Based, problem mining based, Experimental Evaluation, government application, System, Evaluation of Intelligent, evaluated experimentally, Text Mining, message hot spots, Intelligent e-Government System, intelligent government application, e-Government, Based on Text, Text, System Based
media to comment, Data Infrastructure, event and post, Big Data, Text Preprocessing, social media, text preprocessing task, Framework, Text Preprocessing Framework, comment appearance, efficient text preprocessing, Data, Big Data Infrastructure, Preprocessing Framework, Text Mining, text mining areas, Mining, Preprocessing, post own activity, Text
region, Macau, text mining method, administrative, study aimed, special administrative, Macau special administrative, special, region policy, region policy addresses, Support Vector Machine, relationship of Macau, Macau special, special administrative region, administrative region, administrative region policy, text mining, aimed at analyzing, annual policy addresses, policy addresses
infrastructure or vehicles, data mining, Mining Methods, accident data, designing infrastructure, goals when designing, Traffic safety, Road Accident Analysis, data, Accident, Methods, Text Mining Methods, Analysis, Text Mining, data mining methods, Mining Methods Traffic, Mining, Methods Traffic safety, Insights into Road, Methods Traffic
Algorithm Based, judgment of things, affects scholars', affects scholars' cognition, text mining method, Naming, scientific research, cognition and judgment, Text Naming Recognition, Text Naming, Recognition Algorithm, Naming Recognition Algorithm, Text Mining, Naming Recognition, series of operations, scholars' cognition, Recognition Algorithm Based, Research, Text, text naming method
natural language, text in MOOCs, MOOCs interactive part, data mining, students' learning behavior, language processing technology, homework effect, language processing, students' learning desire, preventing of cheating, analyze students' learning, mine interactive text, MOOCs interactive, Education data mining, interactive part, natural language process, students posting, processing technology, natural language processing, language process
mining techniques, text mining techniques, Data Analysis Support, Data Analysis, text mining tools, review text analysis, Data mining techniques, Data Mining, Data, text analysis, Combining, Analysis, Text Mining, Combining Data, Support by Combining, recent years, Combining Data Mining, Mining, Text, text data
Machine, aims, machine learning published, Learning Research, research articles, Machine Learning, aims to identify, paper aims, Learning, text mining methods, data, Analysis, Text Mining, Machine Learning Research, Research Using Text, Research, Mining, Text, identify, textual data
Government Case Study, Government Case, Case Study, supports Human, Human Resources Management, Human Resources, text mining based, Study The objective, Resources Management, Staff Perfomance Appraisals, Detecting Subjectivity, Staff Perfomance, Subjectivity, Perfomance Appraisals, supports Human Resources, Text Mining, mining based, mining based approach, Palestinian Government Case, Teachers Appraisals
mining techniques, text mining techniques, automatic model, amounts of text, model to classify, stage and aims, initial stage, Mining to classify, people management, classify, management, management practice, people management practice, analysing large amounts, aims to develop, Text Mining, Mining, people, develop an automatic, Text
agent-based text mining, potentially relevant papers, relevant papers published, scientific papers, papers, text mining algorithm, interests when searched, context identification, identification of scientific, searched, agent-based text, mining algorithm, algorithm, prototype, agent-based, match their interests, searched from databases, text, text mining, challenging for researchers
Text-based Recommendation, Mining Digitization makes, recommendation system approach, Text Mining Digitization, Review Text-based Recommendation, Recommendation System, inflation in recent, Latent Dirichlet Allocation, Digitization makes, System, Text Mining, System in Text, Recommendation, recent years, data inflation, Text-based Recommendation System, Mining Digitization, Digitization, Text, Digitization makes data
Interaction Detector, powerful Text Mining, Legal Texts Words, text documents, Legal Texts, documents, Words, Legal, Analysis of Legal, Automatic Interaction Detector, Analysis, observing judicial precedent, Text Mining, main tool, Texts Words, Text Mining tools, Chi-square Automatic Interaction, Mining, Text, Mining tools
Methodology and Development, Methodology, Development Text-mining, brings together soft, Terms of Methodology, Text-mining in Terms, language units' identification, sciences, Text-mining, cross-field technology, Terms, status of cross-field, Linguistics, gaining popularity, ancient texts reconstruction, soft and hard, attained the status, Development, make, hard sciences
OCR, diverse source, Character Recognition, rich and diverse, Optical Character, readily accessible, OCR correction, Optical Character Recognition, increasingly readily accessible, historical, increasingly readily, digitisation efforts, owing to large-scale, text archives constitute, text, large-scale digitisation efforts, applying Optical Character, constitute a rich, large-scale digitisation, Customised OCR correction
initial literature, literature, mining supporting, supporting initial literature, development area, scope of interest, review, mining supporting initial, Text, mining, supporting initial, area, Text mining, literature review, Text mining supporting, initial literature review, Thesis, subject and scope, health literacy, health literacy area
Positive Rate, False Positive Rate, Disease from Symptoms, portion of medical, medical errors, text mining technique, Symptoms Nowadays, Symptoms, Neural Network, physician, Support Vector Machine, True Positive Rate, Applying Text, Classifying Disease, Text Mining, Nowadays, Receiver Operating Characteristic, misdiagnoses account, Applying Text Mining, significant portion
categorization, natural language, class labels, attempts to bring, natural language text, categorization and summarization, Text, rule reduction Text, Automatic Text categorization, meaningful information, Automatic Text, language text, input text, Text mining, field that attempts, information from natural, Text categorization, bring together meaningful, summarization, reduction Text mining
latent semantic analysis, text mining model, mining model building, Latent Dirichlet, open questionnaire, questionnaire text, Latent Dirichlet Allocation, questionnaire text mining, open questionnaire based, latent semantic, Dirichlet Allocation, semantic analysis, built based, mining model, improve Latent Dirichlet, based on LSA, text mining, open questionnaire text, LDA model, LSA
document, natural language, Mining conceptual rules, conceptual, based mining model, language processing, objectives of natural, sentence, Rule Mining, probability Text classification, Conceptual Rule, Conceptual Rule Mining, text clustering, conceptual text clustering, Text classification, Mining, significant objectives, natural language processing, support text classification, Text
Potentials Increased, pressure requires companies, Semantic Modelling, innovative capacity, Innovation Potentials Increased, Product, companies to increase, Product Context, requires companies, competitive pressure, Innovation Potentials, Increased competitive pressure, Innovation, Potentials Increased competitive, Increased competitive, Text Mining, affect the product, pressure requires, competitive pressure requires, text data
power grid, grid equipment, word features, Defect Text Mining, network defect text, defect text records, Text Mining Based, feature fusion Constructed, effectively mine defect, Feature Fusion, Equipment Defect Text, grid equipment operation, power grid equipment, equipment operation, defect text information, Equipment Defect, Power Equipment, Defect Text, Power Equipment Defect, Word Discovery
approach Text clustering, clustering methods attempt, cluster approach based, text document clustering, group, cluster, cluster based approach, information system, cluster based, ontology-based text-mining, ontology-based text-mining method, information, based approach Text, important task, intelligent information, based, intelligent information system, document clustering methods, based approach, Text
mining methods Data, technique of extracting, social media, extracting hidden, social, mining, information, mining methods, Data, text mining methods, hidden predictive, text, methods Data mining, text mining, Data mining, hidden predictive information, social audience, social audience identification, extracting hidden predictive, large databases
Science Library Science, text mining techniques, data mining research, research, Highly Cited Publications, Cited Publications, Mining Data, Data Mining, Mining Data mining, popular research area, cited research publications, Data, Science research area, Text Mining, highly cited research, Data Mining Data, Mining, Library Science research, Highly Cited, mining research
globe the possibility, mining techniques, ideas freely, exponential development, activities in microblog, share and communicate, social media, Text mining techniques, Cybercrime profiling, possibility to share, communicate information, predict criminal, online social, online social media, development in online, predict criminal activities, Text mining, information and ideas, criminal activities, Arab Spring
stemming process, Algorithm, Mining Indonesian, text mining process, Mining Indonesian Text, Stemming Algorithm, Slang, Indonesian, Social Media, Indonesian text data, Indonesian slang, Stemming, Indonesian stemming algorithm, Indonesian stemming, Social Media Stemming, text mining, Mining, Indonesian Text, Text, text data
Text Data Mining, text mining tasks, text mining process, building text mining, conducting text mining, large amount, knowledge, Data Mining, mining, Total Environment, data, Constructing knowledge, text, discover or create, text mining, text mining applications, support users, exploratory text mining, create knowledge, text data
interesting field, strategic decision making, information retrieval research, research, review, methods, Idea mining, retrieval, retrieval research, review of methods, mining, areas of information, information, text Idea mining, improve strategic decision, field, information retrieval, text, areas, idea
factors threatening, threatening the security, vulnerability text description, Prediction, endless vulnerabilities pose, Level Based, XGBboost Vulnerabilities, Intelligent Prediction, important factors, Vulnerability Severity Level, Vulnerabilities, Vulnerability Severity, information systems, Severity Level Based, Severity Level, Text Mining, important factors threatening, Vulnerability, Prediction of Vulnerability, Text
Indonesian people, world is busy, Perception and Mindset, Text Mining Method, Mining Method, Naive Bayes Classifier, Indonesia, Indonesian, People of Indonesia, Mindset, Perception, Bayes Classifier method, Pandemic, Text Mining, Deal, Indonesian Ministry, Text Mining technique, Ministry of Health, newly discovered coronavirus, Text
Penguin Software requirement, Software requirement specification, text mining method, Diagrams, Sequence Diagrams, Mining Approach, score, SRS Penguin, Penguin Software, Cohen kappa score, Class, SRS Penguin Software, Text Mining, Class Diagrams, Diagrams Based, Text Mining Approach, Class Diagrams Based, Software requirement, Cohen Kappa, Approach in SRS
key medicines, patients' TCM syndromes, TCM Records, TCM syndrome variables, Traditional Chinese Medicine, diabetes Traditional, Records Based, Chinese segmentation method, Diabetes TCM, TCM syndrome, TCM Records Based, TCM, text mining methods, Traditional Chinese, Text Mining, Diabetes TCM Records, Chinese Medicine, TCM syndrome elements, taking patients' TCM, diabetes Traditional Chinese
text mining work, classify text mining, amounts, unstructured text data, review, large amounts, amounts of unstructured, mining, data, unstructured text, Internet, extracting previously unknown, text data generated, high commercial, data generated, text, text mining, large, text data, mining is believed
process of extracting, classifier for text, probabilistic, large text documents, text documents, mining Text, knowledge, mining Text mining, mining, Extracting knowledge, probabilistic classifier, text, knowledge from large, text mining Text, text mining, probability, large text, classifier, Extracting, probabilistic classifier indexes
Natural Language, Model Text, text mining process, Evaluation, Processing Model Text, Natural Language Processing, natural language representation, Model Text mining, data, Language Processing Model, Evaluation of Text, Processing, Feature extraction process, Text Mining, Language Processing, Feature and Evaluation, Mining, Text, Processing Model, Efficient Analysis
document text, read related information, reading a document, Indonesia, related information, inputted paragraph text, Bahasa, Indonesia When reading, Paragraph Text, search engine, Keywords Generator, search, related information topic, read related, Generator, Mining in Bahasa, Text Mining, Bahasa Indonesia, Text, tend to read
Management Problems, Project Management Problems, analyzes the possibilities, Solve, Solve Project, Solve Project Management, Mining Technology, methods to solve, Text Mining Technology, text mining methods, Management, paper analyzes, text mining algorithms, Technology to Solve, Application of Text, Text Mining, Mining, Project Management, Text, Project
fundamental preliminary, discovering knowledge, Characteristics Using Process, Event Characteristics, Opinion Mining Techniques, Storing Seismic, Escuela Politécnica Nacional, Seismic Event Characteristics, event log, Storing Seismic Event, Opinion Mining, element for discovering, fundamental preliminary element, preliminary element, Design for Storing, Log, opinion mining applied, Mining Techniques, intention mining techniques, seismic events
form, pattern, Operational pattern revealing, methods, digital form, pattern revealing technique, results, pattern detection method, Operational, text mining methods, revealing technique, digital, pattern revealing, Operational pattern, digital era, text mining, revealing, technique in text, technique, information is made
Machine Learning Algorithms, Term Association, computing term, Based Term Association, Co-occurrence Based, text corpus, computing term association, Based Term, keyword based text, Machine Learning, Learning, Co-occurrence Based Term, term association method, Text Mining, Learning Algorithms, based text, Mining, based text mining, corpus is presented, Text
Social, Drinking Water Company, drinking water companies, Text Mining Social, Media Twitter, effective platforms, Government Drinking Water, Customer Complaints Clusterization, Clusterization of Government, Social Media Twitter, Media, Mining Social media, Complaints Clusterization, Social Media, Text Mining, Government Drinking, platforms to communicate, Clusterization, Water Company, Drinking Water
document, pattern, discovered patterns, relevant document, discovered, discovery, based approaches, relevant, mining, text mining methods, pattern evolving, term based, data, term based approaches, retrieve relevant document, pattern discovery, text, text mining, patterns, techniques
interesting patterns, Graphical Processing Unit, environment Chemical, Chemical Text, environment Chemical Text, Text mining techniques, parallel Text mining, heterogeneous environment Chemical, reveal interesting, mining, drug from biomedical, Chemical Text mining, reveal interesting patterns, Chemical, accelerated Chemical Text, GPU accelerated Chemical, Text mining tools, Text mining, disease and drug, Text
Topics, Academic Course Topics, automated topic selection, Selection of Academic, manual work, Mining Approach, Topics based, educational material, Automatic Selection, manual, Selection, Topics selection, Academic, selection approach, topic selection approach, Specifications Topics, Specifications Topics selection, Text Mining, Text Mining Approach, manual selection
nature of information, information profession, text mining products, challenges Information explosion, centres and nature, explosion and availability, mining, profession, information, changed the shape, information centres, availability of information, information professionals, Information explosion, Text mining, find, professionals, shape of information, profession and professionals, Text
distribution network, Intelligent Mining Method, text mining method, Filling Text, intelligent power distribution, Mining Method, Line Trip Filling, Distribution Line, Trip Filling, accumulated large number, distribution trip provided, Distribution Line Trip, results trip provided, text mining, strong subjective factors, Trip Filling Text, power distribution line, distribution line tripping, Line Trip, trip provided text
Weight Information, KNN and Nave, Weighting Methods, Text Classification, Weight Information Gain, Information Gain, Enhanced Text Classification, Processes using Rapid, Rapid Miner, Text Mining Processes, Nave Bayes Classification, Bayes Classification, Classification, mining procedures, Classification Methods, Text Classification Methods, Text Mining, text mining procedures, Nave Bayes, Mining Processes
Optimising, process, Studies, Algorithm, literature studies, relevant literature, detection process includes, Mining Algorithm Optimising, Optimising the Determination, influences the identification, Algorithm Optimising, detection process, Relevant Studies, Text Mining, Determination, Mining Algorithm, Text Mining Algorithm, relevant literature studies, Mining, Text
large collection, collection, include books journals, Finding right documents, forms, Text, life, unstructured documents, documents, data, collection of unstructured, day to day, day life, Text mining, day, unstructured data, Finding, unstructured, large, unstructured text
energy technology, Contextual Text, Nations proposed, Sustainable Energy, promote sustainable, technology development, GRB text, Sustainable, Development Goals, Sustainable Development Goals, promote sustainable development, Contextual Text Mining, Government Research Bulletin, Associative Analysis Framework, Sustainable Development, Text Mining, United Nations proposed, Sustainable Energy Development, United Nations, Development
Production Documentation Analysis, landscape of high, high technology companies, vital core resource, vital core, Knowledge-based Production, integrative text mining, Knowledge-based Production Documentation, Mining Architecture, core resource, Production Documentation, Integrated Text, Documentation Analysis, Text Mining Architecture, Analysis, Text Mining, Documentation, technology companies, Integrated Text Mining, high technology
Text Mining Analysis, social media text, Big Data, Tools Gigantic, Tools Gigantic amount, social media, Data Tools, social, Big Data Tools, Gigantic, media, Gigantic amount, Tools, Text Mining, Data Tools Gigantic, Turkish Language, Mining, Turkish, Text, Language
natural language, Dhaka Stock Exchange, stock market, language processing, market, world developing, countries, developing countries, language, processing Stock market, developed countries, language processing Stock, Stock Exchange, world developing countries, text, components of economy, text mining, stock, major components, natural language processing
machine translation approach, translation approach Medical, report, radiology, increasing popularity, Medical text mining, Medical text, text mining system, gained increasing, gained increasing popularity, mining, medical text data, approach Medical text, Medical, machine translation, Text mining, recent years, statistical machine translation, popularity in recent, Text
mining techniques, study investigated, text mining techniques, research topics written, University Library, Investigate Undergraduate Research, Wacana Christian University, Wacana Christian, Undergraduate Research, Informatics Dept., Christian University, Satya Wacana, Text Mining, Undergraduate Research Topic, Satya Wacana Christian, Mining to Investigate, University Library database, Mining, Text, Investigate Undergraduate
Gene Drug, genomic data, genomic text, Drug, genomic text submitted, growth of genomic, Gene, published literature, gene drugs, Text Mining, Drug Association, Gene Drug Association, data has lead, growth, growth of published, submitted by researchers, analyzing gene drugs, Text, explosive growth, Analysis of Gene
Focal Development, emerging developmental trends, identified the emerging, based on online, Country This paper, adopted text mining, African Country, text mining technique, mining processes, Country, paper identified, Focal Development Trends, audio data sources, Decade Of Focal, Text Mining, video and audio, African, Development Trends, online and offline, text mining processes
Analysing Digital, Digital banks, banking application reviews, Philippines, started late, Banking, Digital Banking Reviews, Digital Banking, Mining Digital, Text Mining Digital, text mining methods, Analysing Digital Banking, banking industry, Text Mining, banking application, Mining Digital banks, Digital, analyse digital banking, digital banking application, digital banking features
computational text analysis, tools and services, data mining research, data mining, text analysis research, Text, Center, introduce attendees, analysis research, HathiTrust Research Center, text analysis, tutorial will introduce, Research Center, services for computational, text data mining, Research, Mining, HathiTrust Digital Library, Digital Library, Digital Library collection
undoubtedly the possibility, Libraries, requirements of modern, access the desired, modern man, storing information digitally, minimal effort, man is undoubtedly, information, text document, Information Extraction, Text Mining paved, Text Mining, Computational Linguistics, desired information, Mining, Text, Python Libraries, possibility to access, foremost requirements
process of extracting, database refers, extracting interesting, mining Knowledge, textual database, data mining, textual database refers, patterns or knowledge, text documents, Knowledge, mining, interesting or non-retrieval, mining Knowledge discovery, non-retrieval patterns, text mining Knowledge, text, database refers generally, text mining, Knowledge discovery, refers generally
masking part, relies on masking, dependency and inadequate, context-deep semantic mining, masked and unmasked, achieve bi-directional, classification model based, context-dependent word vectors, achieve bi-directional prediction, inadequate context-deep semantic, association between masked, model based, BERT model relies, represent text information, long-term dependency, bi-directional prediction, BERT model, Based on XLNet-BiLSTM, Analysis Based, emotion classification model
understanding, paid to understanding, human interaction, forms, interact through text, understanding the occurrence, attention, typos, proposed to find, humans interact, indirect significance, forms of text, text Most forms, Mining typos, algorithms, text, find, proposed, significance in understanding, Mining
Twitter Twitter, nearest neighbor, social media, Twitter, word, Indonesian, decision tree, Naive Bayes, swear, Indonesian swear, swear words, detect Indonesian swear, tree to detect, famous social media, Indonesian swear word, detect Indonesian, Bayes classifier, words, Naive Bayes classifier, tweet
proposals Enabled, access to online, decision making, involve community associations, countries are moving, increasing number, participatory decision making, complaints and proposals, increased connectivity, directly involve community, ease of access, Support Vector Machine, connectivity and ease, participatory decision, Enabled, community complaints, number of countries, moving towards participatory, text mining, online services
text mining accuracy, Eliminating, stop word selection, standard practice, Optimal stop word, word selection, text mining algorithm, feature space, infrastructure domain Eliminating, stop words, mining, domain Eliminating, stop, Eliminating all stop, presented methodology, text, text mining, words, improved text mining, methodology
Text Mining Analysis, environmental report, Environmental Costs Expenditure, mining technique, corporate management, text mining technique, listed companies, Environmental Costs, corporate behavior, Costs Expenditure, Time Series Data, Time series analysis, corporate management policy, strategy would promote, Text Mining, Time Series, policy and strategy, management policy, Expenditure as Time, promote the motivation
domain knowledge, abbreviations, literature, Performing literature review, scientific, review, Expanding domain knowledge, concepts, full texts, mining, abbreviation identification, Performing literature, Part, text, Expanding, literature review, text mining, addressed repeatedly, scientific communications, Expanding domain
Application, type of data, Application of formal, data mining, ontology, describes an investigation, investigation of formal, mining, formal grammar, work describes, application to text, construction, describes, data, grammar, investigation, work, text, text mining, formal
Online Sales Volume, e-commerce is growing, Sales, Industry Town, widespread application, Leisure Industry Town, Analysis Mechanism, growing fast, Intelligent Analysis Mechanism, Sales Volume, Online Sales, Text Mining Technology, Town Products Based, Volume of Leisure, Industry Town Products, Online, Text Mining, Intelligent Analysis, Leisure Industry, Based on Text
Web Mining, entered an era, information explosion, Algorithm, development of Internet, massive information resources, lot of redundant, Web structure mining, Technology, Web content mining, redundant information, information, Network, Web mining technology, Research on Technology, Internet, mining technology, rapid development, Web, Mining
mining software Text, software Text, analyzes their characteristics, Analyst and Word, Based, Word, Mining Software, Software, application cases, Applications Based, Text Analyst, Word Stat, paper analyzes, Stat, Analyst, Text Mining, software Text Analyst, Text Mining Software, Mining, Text
Multidimensional, Multidimensional Knowledge, MKR knowledge base, Multidimensional Knowledge Representation, Representation Multidimensional, Representation, integrative text mining, Knowledge, text mining methods, knowledge base, Representation Multidimensional knowledge, Extractive Text, Knowledge Representation, MKR knowledge, Text Summarization, Knowledge Representation Multidimensional, Extractive Text Summarization, text mining, individual text mining, Text
Discourse, Natural Language, suite of Natural, structure, uncover linguistic, discourse analysis, uncover linguistic structures, Natural Language Processing, Discourse Processing, NLP, Processing, Applications, Text Mining, Natural, text mining applications, Language Processing, Text Mining Discourse, Text, Mining Discourse processing, Language
person, daily life, text mining method, Peer Recommendation, Based, subject, Algorithm, Algorithm Ask friends, Peer Recommendation Based, Peer, virtual environments, Recommendation Based, Text Mining, Recommendation, common situation, Mining Algorithm, Text Mining Algorithm, Mining, Based on Text, Text
paper studies, development history, Sun, source Python modules, Art of War, Technology, Mining Technology, mining technology commonly, status of text, War, Text Mining Technology, studies the development, Sun Tzu, Text Mining, research status, obtain valuable information, War of Sun, Mining, Text, history and research
Directorate General Mines, Natural Language, Mining activities pose, Mines Mining activities, pose a major, specific mine safety, risky nature, Non-Coal Mines Mining, DGMS Fatality Reports, Natural Language Processing, inherent risky, Non-Coal Mines, mine workers due, Language Processing, activities pose, General Mines Safety, inherent risky nature, major threat, mine safety data, Indian Non-Coal Mines
texts produced daily, Independent Component, produced daily, gradient independent component, natural gradient independent, Mining The volume, Independent Component Analysis, daily is growing, proposed model, texts produced, growing significantly, Component Analysis, Gradient Algorithm, Text Mining, Natural Gradient Algorithm, proposed, Natural Gradient, Analysis Based, Text, Component Analysis Based
Social, Health, Naive Bayes Classifier, data analytics, Media Text, Media Text Mining, Health Social, HealthMine, Twitter and MedHelp, Health Social media, Media, Social Media, information, Social Media Text, major source, Text Mining, recent years, social media platforms, Mining, Text
Text Data, Developing a Taxonomy, Text Data Mining, scientific, research, analysis, unstructured text data, Data Mining, text data analysis, Data, Roadmap, Developing, Large Language Models, Roadmap on Developing, increased significantly, Large Language, Mining, past decade, Text, unstructured text
mining techniques, student evaluation comments, apply data mining, evaluation, established course evaluation, data mining, extract knowledge, evaluation survey, previous Likert scale, mining, newly established, student evaluation, Likert scale question-based, comments, data mining techniques, text mining, techniques to extract, evaluation comments, apply text mining, extract
customer loyalty, leap and bound, automotive financing company, automotive products, structural equation, structural equation modeling, consumer socioeconomic category, automotive products sales, affluent consumer socioeconomic, equation modeling, including automotive products, loyalty, socioeconomic category, population are shifting, growing by leap, shifting from lower-class, large portion, financing company based, consumer, automotive
existing popular text, guarantee the quality, describing user preferences, Feature Discovery, Relevance Feature Discovery, Relevance Feature, methods, big challenge, text documents, discovered relevance, user preferences, challenge to guarantee, Text Mining, quality of discovered, large scale, Mining, describing user, discovered relevance features, Text, popular text mining
Integrated Reports, financial data, policies and strategies, integrated report summarizes, summarizes a company, Universities' Integrated, integrated report represents, management philosophy, Mining Technique, future business development, Universities' Integrated Reports, publish integrated reports, Text Mining, management vision, Text Mining Technique, intangible assets, company future business, intellectual assets, based on information, business development
Traditional Crafts based, Traditional Crafts, inheritance and innovation, users, Visualization System, Crafts, visualize traditional crafts, traditional crafts comprehensively, pursuit of craftsmanship, varied traditional crafts, traditional crafts enables, local traditional crafts, Traditional, local traditional, Crafts based, specific traditional crafts, Text Mining, System for Traditional, Sentiment Analysis, traditional crafts designated
aims to discover, discover relevant information, huge amounts, text mining process, Evaluation, Text Categorization, relevant information, mining, discover relevant, Character Level, Support Vector Machine, information and relationship, Text Categorization Text, Categorization Text categorization, Evaluation of Character, mining process, Categorization, text mining, Categorization Text, Text
researcher can conveniently, Owing, Performing literature review, Google Scholar, academic search, Microsoft Academic, access is unlimited, Summarizing articles, search engines, conveniently access, academic search engines, academic, Part III, Performing literature, popularized utilization, literature review, Summarizing, text mining, TextRank Owing, Scholar or Microsoft
popular research topic, text mining techniques, Mining Text, Fuzzy Approach, popular research, methods, Approach for Text, text mining methods, Fuzzy, Survey Research, Text Mining, Mining Text mining, Text Mining Text, fuzzy logic, Research, Mining, research topic, natural language processing, Approach, Text
Text Data, Text Data Mining, Based, NLP Based, vast area, processing, language processing, Data Mining, area in modern, Artificial Intelligence, Data, Based Approach, NLP, language, NLP Based Approach, text mining, Mining, natural language processing, Approach, Text
Essay Scoring, Natural Language, work expecially, Text Mining Method, language processing proposed, effectiveness and efficiency, maximized the effectiveness, efficiency of work, human natural language, Automated Essay, Natural Language Processing, Essay, Processing And Text, essay scoring system, Text Mining, Natural, Language Processing, Automated Essay Scoring, education field, Language
